[16:56:08] allocating 2× 128 KB buffers
[16:56:09] entering high-launch-rate memcpy loop
[16:56:09] copies=10000 rate=95894/s BW=25.1 GB/s elapsed=0.1s
[16:56:09] copies=20000 rate=95353/s BW=25.0 GB/s elapsed=0.2s
[16:56:09] copies=30000 rate=95184/s BW=25.0 GB/s elapsed=0.3s
[16:56:09] copies=40000 rate=94882/s BW=24.9 GB/s elapsed=0.4s
[16:56:09] copies=50000 rate=94663/s BW=24.8 GB/s elapsed=0.5s
[16:56:10] copies=60000 rate=94237/s BW=24.7 GB/s elapsed=0.6s
[16:56:10] copies=70000 rate=94423/s BW=24.8 GB/s elapsed=0.7s
[16:56:10] copies=80000 rate=94630/s BW=24.8 GB/s elapsed=0.8s
[16:56:10] copies=90000 rate=94571/s BW=24.8 GB/s elapsed=1.0s
[16:56:10] copies=100000 rate=94562/s BW=24.8 GB/s elapsed=1.1s
[16:56:10] copies=110000 rate=94550/s BW=24.8 GB/s elapsed=1.2s
[16:56:10] copies=120000 rate=94697/s BW=24.8 GB/s elapsed=1.3s
[16:56:10] copies=130000 rate=94826/s BW=24.9 GB/s elapsed=1.4s
[16:56:10] copies=140000 rate=94939/s BW=24.9 GB/s elapsed=1.5s
[16:56:10] copies=150000 rate=94947/s BW=24.9 GB/s elapsed=1.6s
[16:56:11] copies=160000 rate=94902/s BW=24.9 GB/s elapsed=1.7s
[16:56:11] copies=170000 rate=94989/s BW=24.9 GB/s elapsed=1.8s
[16:56:11] copies=180000 rate=95065/s BW=24.9 GB/s elapsed=1.9s
[16:56:11] copies=190000 rate=95079/s BW=24.9 GB/s elapsed=2.0s
[16:56:11] copies=200000 rate=95004/s BW=24.9 GB/s elapsed=2.1s
[16:56:11] copies=210000 rate=95054/s BW=24.9 GB/s elapsed=2.2s
[16:56:11] copies=220000 rate=95114/s BW=24.9 GB/s elapsed=2.3s
[16:56:11] copies=230000 rate=95234/s BW=25.0 GB/s elapsed=2.4s
[16:56:11] copies=240000 rate=95315/s BW=25.0 GB/s elapsed=2.5s
[16:56:12] copies=250000 rate=95352/s BW=25.0 GB/s elapsed=2.6s
[16:56:12] copies=260000 rate=95344/s BW=25.0 GB/s elapsed=2.7s
[16:56:12] copies=270000 rate=95411/s BW=25.0 GB/s elapsed=2.8s
[16:56:12] copies=280000 rate=95477/s BW=25.0 GB/s elapsed=2.9s
[16:56:12] copies=290000 rate=95534/s BW=25.0 GB/s elapsed=3.0s
[16:56:12] copies=300000 rate=95419/s BW=25.0 GB/s elapsed=3.1s
[16:56:12] copies=310000 rate=95464/s BW=25.0 GB/s elapsed=3.2s
[16:56:12] copies=320000 rate=95498/s BW=25.0 GB/s elapsed=3.4s
[16:56:12] copies=330000 rate=95532/s BW=25.0 GB/s elapsed=3.5s
[16:56:12] copies=340000 rate=95536/s BW=25.0 GB/s elapsed=3.6s
[16:56:13] copies=350000 rate=95548/s BW=25.0 GB/s elapsed=3.7s
[16:56:13] copies=360000 rate=95523/s BW=25.0 GB/s elapsed=3.8s
[16:56:13] copies=370000 rate=95555/s BW=25.0 GB/s elapsed=3.9s
[16:56:13] copies=380000 rate=95586/s BW=25.1 GB/s elapsed=4.0s
[16:56:13] copies=390000 rate=95609/s BW=25.1 GB/s elapsed=4.1s
[16:56:13] copies=400000 rate=95537/s BW=25.0 GB/s elapsed=4.2s
[16:56:13] copies=410000 rate=95574/s BW=25.1 GB/s elapsed=4.3s
[16:56:13] copies=420000 rate=95605/s BW=25.1 GB/s elapsed=4.4s
[16:56:13] copies=430000 rate=95633/s BW=25.1 GB/s elapsed=4.5s
[16:56:14] copies=440000 rate=95661/s BW=25.1 GB/s elapsed=4.6s
[16:56:14] copies=450000 rate=95677/s BW=25.1 GB/s elapsed=4.7s
[16:56:14] copies=460000 rate=95661/s BW=25.1 GB/s elapsed=4.8s
[16:56:14] copies=470000 rate=95695/s BW=25.1 GB/s elapsed=4.9s
[16:56:14] copies=480000 rate=95715/s BW=25.1 GB/s elapsed=5.0s
[16:56:14] copies=490000 rate=95735/s BW=25.1 GB/s elapsed=5.1s
[16:56:14] copies=500000 rate=95691/s BW=25.1 GB/s elapsed=5.2s
[16:56:14] copies=510000 rate=95719/s BW=25.1 GB/s elapsed=5.3s
[16:56:14] copies=520000 rate=95734/s BW=25.1 GB/s elapsed=5.4s
[16:56:14] copies=530000 rate=95748/s BW=25.1 GB/s elapsed=5.5s
[16:56:15] copies=540000 rate=95761/s BW=25.1 GB/s elapsed=5.6s
[16:56:15] copies=550000 rate=95761/s BW=25.1 GB/s elapsed=5.7s
[16:56:15] copies=560000 rate=95738/s BW=25.1 GB/s elapsed=5.8s
[16:56:15] copies=570000 rate=95751/s BW=25.1 GB/s elapsed=6.0s
[16:56:15] copies=580000 rate=95765/s BW=25.1 GB/s elapsed=6.1s
[16:56:15] copies=590000 rate=95776/s BW=25.1 GB/s elapsed=6.2s
[16:56:15] copies=600000 rate=95726/s BW=25.1 GB/s elapsed=6.3s
[16:56:15] copies=610000 rate=95735/s BW=25.1 GB/s elapsed=6.4s
[16:56:15] copies=620000 rate=95745/s BW=25.1 GB/s elapsed=6.5s
[16:56:15] copies=630000 rate=95757/s BW=25.1 GB/s elapsed=6.6s
[16:56:16] copies=640000 rate=95771/s BW=25.1 GB/s elapsed=6.7s
[16:56:16] copies=650000 rate=95749/s BW=25.1 GB/s elapsed=6.8s
[16:56:16] copies=660000 rate=95726/s BW=25.1 GB/s elapsed=6.9s
[16:56:16] copies=670000 rate=95739/s BW=25.1 GB/s elapsed=7.0s
[16:56:16] copies=680000 rate=95749/s BW=25.1 GB/s elapsed=7.1s
[16:56:16] copies=690000 rate=95758/s BW=25.1 GB/s elapsed=7.2s
[16:56:16] copies=700000 rate=95721/s BW=25.1 GB/s elapsed=7.3s
[16:56:16] copies=710000 rate=95731/s BW=25.1 GB/s elapsed=7.4s
[16:56:16] copies=720000 rate=95739/s BW=25.1 GB/s elapsed=7.5s
[16:56:17] copies=730000 rate=95746/s BW=25.1 GB/s elapsed=7.6s
[16:56:17] copies=740000 rate=95755/s BW=25.1 GB/s elapsed=7.7s
[16:56:17] copies=750000 rate=95761/s BW=25.1 GB/s elapsed=7.8s
[16:56:17] copies=760000 rate=95746/s BW=25.1 GB/s elapsed=7.9s
[16:56:17] copies=770000 rate=95758/s BW=25.1 GB/s elapsed=8.0s
[16:56:17] copies=780000 rate=95755/s BW=25.1 GB/s elapsed=8.1s
[16:56:17] copies=790000 rate=95759/s BW=25.1 GB/s elapsed=8.2s
[16:56:17] copies=800000 rate=95737/s BW=25.1 GB/s elapsed=8.4s
[16:56:17] copies=810000 rate=95741/s BW=25.1 GB/s elapsed=8.5s
[16:56:17] copies=820000 rate=95751/s BW=25.1 GB/s elapsed=8.6s
[16:56:18] copies=830000 rate=95761/s BW=25.1 GB/s elapsed=8.7s
[16:56:18] copies=840000 rate=95771/s BW=25.1 GB/s elapsed=8.8s
[16:56:18] copies=850000 rate=95758/s BW=25.1 GB/s elapsed=8.9s
[16:56:18] copies=860000 rate=95738/s BW=25.1 GB/s elapsed=9.0s
[16:56:18] copies=870000 rate=95749/s BW=25.1 GB/s elapsed=9.1s
[16:56:18] copies=880000 rate=95759/s BW=25.1 GB/s elapsed=9.2s
[16:56:18] copies=890000 rate=95769/s BW=25.1 GB/s elapsed=9.3s
[16:56:18] copies=900000 rate=95746/s BW=25.1 GB/s elapsed=9.4s
[16:56:18] copies=910000 rate=95753/s BW=25.1 GB/s elapsed=9.5s
[16:56:19] copies=920000 rate=95759/s BW=25.1 GB/s elapsed=9.6s
[16:56:19] copies=930000 rate=95770/s BW=25.1 GB/s elapsed=9.7s
[16:56:19] copies=940000 rate=95776/s BW=25.1 GB/s elapsed=9.8s
[16:56:19] copies=950000 rate=95786/s BW=25.1 GB/s elapsed=9.9s
[16:56:19] copies=960000 rate=95774/s BW=25.1 GB/s elapsed=10.0s
[16:56:19] copies=970000 rate=95782/s BW=25.1 GB/s elapsed=10.1s
[16:56:19] copies=980000 rate=95789/s BW=25.1 GB/s elapsed=10.2s
[16:56:19] copies=990000 rate=95793/s BW=25.1 GB/s elapsed=10.3s
[16:56:19] copies=1000000 rate=95780/s BW=25.1 GB/s elapsed=10.4s
[16:56:19] copies=1010000 rate=95779/s BW=25.1 GB/s elapsed=10.5s
[16:56:20] copies=1020000 rate=95783/s BW=25.1 GB/s elapsed=10.6s
[16:56:20] copies=1030000 rate=95787/s BW=25.1 GB/s elapsed=10.8s
[16:56:20] copies=1040000 rate=95781/s BW=25.1 GB/s elapsed=10.9s
[16:56:20] copies=1050000 rate=95780/s BW=25.1 GB/s elapsed=11.0s
[16:56:20] copies=1060000 rate=95787/s BW=25.1 GB/s elapsed=11.1s
[16:56:20] copies=1070000 rate=95795/s BW=25.1 GB/s elapsed=11.2s
[16:56:20] copies=1080000 rate=95802/s BW=25.1 GB/s elapsed=11.3s
[16:56:20] copies=1090000 rate=95803/s BW=25.1 GB/s elapsed=11.4s
[16:56:20] copies=1100000 rate=95772/s BW=25.1 GB/s elapsed=11.5s
[16:56:21] copies=1110000 rate=95782/s BW=25.1 GB/s elapsed=11.6s
[16:56:21] copies=1120000 rate=95789/s BW=25.1 GB/s elapsed=11.7s
[16:56:21] copies=1130000 rate=95799/s BW=25.1 GB/s elapsed=11.8s
[16:56:21] copies=1140000 rate=95800/s BW=25.1 GB/s elapsed=11.9s
[16:56:21] copies=1150000 rate=95791/s BW=25.1 GB/s elapsed=12.0s
[16:56:21] copies=1160000 rate=95795/s BW=25.1 GB/s elapsed=12.1s
[16:56:21] copies=1170000 rate=95802/s BW=25.1 GB/s elapsed=12.2s
[16:56:21] copies=1180000 rate=95811/s BW=25.1 GB/s elapsed=12.3s
[16:56:21] copies=1190000 rate=95810/s BW=25.1 GB/s elapsed=12.4s
[16:56:21] copies=1200000 rate=95795/s BW=25.1 GB/s elapsed=12.5s
[16:56:22] copies=1210000 rate=95805/s BW=25.1 GB/s elapsed=12.6s
[16:56:22] copies=1220000 rate=95812/s BW=25.1 GB/s elapsed=12.7s
[16:56:22] copies=1230000 rate=95818/s BW=25.1 GB/s elapsed=12.8s
[16:56:22] copies=1240000 rate=95815/s BW=25.1 GB/s elapsed=12.9s
[16:56:22] copies=1250000 rate=95804/s BW=25.1 GB/s elapsed=13.0s
[16:56:22] copies=1260000 rate=95808/s BW=25.1 GB/s elapsed=13.2s
[16:56:22] copies=1270000 rate=95813/s BW=25.1 GB/s elapsed=13.3s
[16:56:22] copies=1280000 rate=95820/s BW=25.1 GB/s elapsed=13.4s
[16:56:22] copies=1290000 rate=95818/s BW=25.1 GB/s elapsed=13.5s
[16:56:22] copies=1300000 rate=95802/s BW=25.1 GB/s elapsed=13.6s
[16:56:23] copies=1310000 rate=95802/s BW=25.1 GB/s elapsed=13.7s
[16:56:23] copies=1320000 rate=95801/s BW=25.1 GB/s elapsed=13.8s
[16:56:23] copies=1330000 rate=95804/s BW=25.1 GB/s elapsed=13.9s
[16:56:23] copies=1340000 rate=95784/s BW=25.1 GB/s elapsed=14.0s
[16:56:23] copies=1350000 rate=95774/s BW=25.1 GB/s elapsed=14.1s
[16:56:23] copies=1360000 rate=95785/s BW=25.1 GB/s elapsed=14.2s
[16:56:23] copies=1370000 rate=95793/s BW=25.1 GB/s elapsed=14.3s
[16:56:23] copies=1380000 rate=95806/s BW=25.1 GB/s elapsed=14.4s
[16:56:23] copies=1390000 rate=95808/s BW=25.1 GB/s elapsed=14.5s
[16:56:24] copies=1400000 rate=95613/s BW=25.1 GB/s elapsed=14.6s
[16:56:24] copies=1410000 rate=95604/s BW=25.1 GB/s elapsed=14.7s
[16:56:24] copies=1420000 rate=95603/s BW=25.1 GB/s elapsed=14.9s
[16:56:24] copies=1430000 rate=95619/s BW=25.1 GB/s elapsed=15.0s
[16:56:24] copies=1440000 rate=95626/s BW=25.1 GB/s elapsed=15.1s
[16:56:24] copies=1450000 rate=95624/s BW=25.1 GB/s elapsed=15.2s
[16:56:24] copies=1460000 rate=95634/s BW=25.1 GB/s elapsed=15.3s
[16:56:24] copies=1470000 rate=95633/s BW=25.1 GB/s elapsed=15.4s
[16:56:24] copies=1480000 rate=95638/s BW=25.1 GB/s elapsed=15.5s
[16:56:24] copies=1490000 rate=95644/s BW=25.1 GB/s elapsed=15.6s
[16:56:25] copies=1500000 rate=95638/s BW=25.1 GB/s elapsed=15.7s
[16:56:25] copies=1510000 rate=95650/s BW=25.1 GB/s elapsed=15.8s
[16:56:25] copies=1520000 rate=95663/s BW=25.1 GB/s elapsed=15.9s
[16:56:25] copies=1530000 rate=95589/s BW=25.1 GB/s elapsed=16.0s
[16:56:25] copies=1540000 rate=95441/s BW=25.0 GB/s elapsed=16.1s
[16:56:25] copies=1550000 rate=95284/s BW=25.0 GB/s elapsed=16.3s
[16:56:25] copies=1560000 rate=95148/s BW=24.9 GB/s elapsed=16.4s
[16:56:25] copies=1570000 rate=95010/s BW=24.9 GB/s elapsed=16.5s
[16:56:26] copies=1580000 rate=94880/s BW=24.9 GB/s elapsed=16.7s
[16:56:26] copies=1590000 rate=94740/s BW=24.8 GB/s elapsed=16.8s
[16:56:26] copies=1600000 rate=94603/s BW=24.8 GB/s elapsed=16.9s
[16:56:26] copies=1610000 rate=94475/s BW=24.8 GB/s elapsed=17.0s
[16:56:26] copies=1620000 rate=94349/s BW=24.7 GB/s elapsed=17.2s
