[19:08:31] allocating 2× 128 KB buffers
[19:08:32] entering high-launch-rate memcpy loop
[19:08:32] copies=10000 rate=105459/s BW=27.6 GB/s elapsed=0.1s
[19:08:32] copies=20000 rate=105744/s BW=27.7 GB/s elapsed=0.2s
[19:08:32] copies=30000 rate=105308/s BW=27.6 GB/s elapsed=0.3s
[19:08:32] copies=40000 rate=105268/s BW=27.6 GB/s elapsed=0.4s
[19:08:32] copies=50000 rate=104505/s BW=27.4 GB/s elapsed=0.5s
[19:08:32] copies=60000 rate=104593/s BW=27.4 GB/s elapsed=0.6s
[19:08:32] copies=70000 rate=104716/s BW=27.5 GB/s elapsed=0.7s
[19:08:33] copies=80000 rate=104449/s BW=27.4 GB/s elapsed=0.8s
[19:08:33] copies=90000 rate=104660/s BW=27.4 GB/s elapsed=0.9s
[19:08:33] copies=100000 rate=104683/s BW=27.4 GB/s elapsed=1.0s
[19:08:33] copies=110000 rate=104348/s BW=27.4 GB/s elapsed=1.1s
[19:08:33] copies=120000 rate=104363/s BW=27.4 GB/s elapsed=1.1s
[19:08:33] copies=130000 rate=104377/s BW=27.4 GB/s elapsed=1.2s
[19:08:33] copies=140000 rate=104392/s BW=27.4 GB/s elapsed=1.3s
[19:08:33] copies=150000 rate=104359/s BW=27.4 GB/s elapsed=1.4s
[19:08:33] copies=160000 rate=104297/s BW=27.3 GB/s elapsed=1.5s
[19:08:33] copies=170000 rate=104321/s BW=27.3 GB/s elapsed=1.6s
[19:08:33] copies=180000 rate=104356/s BW=27.4 GB/s elapsed=1.7s
[19:08:34] copies=190000 rate=104366/s BW=27.4 GB/s elapsed=1.8s
[19:08:34] copies=200000 rate=104358/s BW=27.4 GB/s elapsed=1.9s
[19:08:34] copies=210000 rate=104300/s BW=27.3 GB/s elapsed=2.0s
[19:08:34] copies=220000 rate=104286/s BW=27.3 GB/s elapsed=2.1s
[19:08:34] copies=230000 rate=104268/s BW=27.3 GB/s elapsed=2.2s
[19:08:34] copies=240000 rate=104247/s BW=27.3 GB/s elapsed=2.3s
[19:08:34] copies=250000 rate=104248/s BW=27.3 GB/s elapsed=2.4s
[19:08:34] copies=260000 rate=104158/s BW=27.3 GB/s elapsed=2.5s
[19:08:34] copies=270000 rate=104181/s BW=27.3 GB/s elapsed=2.6s
[19:08:34] copies=280000 rate=104203/s BW=27.3 GB/s elapsed=2.7s
[19:08:35] copies=290000 rate=104222/s BW=27.3 GB/s elapsed=2.8s
[19:08:35] copies=300000 rate=104122/s BW=27.3 GB/s elapsed=2.9s
[19:08:35] copies=310000 rate=104157/s BW=27.3 GB/s elapsed=3.0s
[19:08:35] copies=320000 rate=104176/s BW=27.3 GB/s elapsed=3.1s
[19:08:35] copies=330000 rate=104194/s BW=27.3 GB/s elapsed=3.2s
[19:08:35] copies=340000 rate=104180/s BW=27.3 GB/s elapsed=3.3s
[19:08:35] copies=350000 rate=104183/s BW=27.3 GB/s elapsed=3.4s
[19:08:35] copies=360000 rate=104146/s BW=27.3 GB/s elapsed=3.5s
[19:08:35] copies=370000 rate=104166/s BW=27.3 GB/s elapsed=3.6s
[19:08:35] copies=380000 rate=104147/s BW=27.3 GB/s elapsed=3.6s
[19:08:36] copies=390000 rate=104168/s BW=27.3 GB/s elapsed=3.7s
[19:08:36] copies=400000 rate=104100/s BW=27.3 GB/s elapsed=3.8s
[19:08:36] copies=410000 rate=104140/s BW=27.3 GB/s elapsed=3.9s
[19:08:36] copies=420000 rate=104155/s BW=27.3 GB/s elapsed=4.0s
[19:08:36] copies=430000 rate=104168/s BW=27.3 GB/s elapsed=4.1s
[19:08:36] copies=440000 rate=104180/s BW=27.3 GB/s elapsed=4.2s
[19:08:36] copies=450000 rate=104199/s BW=27.3 GB/s elapsed=4.3s
[19:08:36] copies=460000 rate=104168/s BW=27.3 GB/s elapsed=4.4s
[19:08:36] copies=470000 rate=104173/s BW=27.3 GB/s elapsed=4.5s
[19:08:36] copies=480000 rate=104187/s BW=27.3 GB/s elapsed=4.6s
[19:08:36] copies=490000 rate=104203/s BW=27.3 GB/s elapsed=4.7s
[19:08:37] copies=500000 rate=104172/s BW=27.3 GB/s elapsed=4.8s
[19:08:37] copies=510000 rate=104194/s BW=27.3 GB/s elapsed=4.9s
[19:08:37] copies=520000 rate=104211/s BW=27.3 GB/s elapsed=5.0s
[19:08:37] copies=530000 rate=104227/s BW=27.3 GB/s elapsed=5.1s
[19:08:37] copies=540000 rate=104237/s BW=27.3 GB/s elapsed=5.2s
[19:08:37] copies=550000 rate=104259/s BW=27.3 GB/s elapsed=5.3s
[19:08:37] copies=560000 rate=104233/s BW=27.3 GB/s elapsed=5.4s
[19:08:37] copies=570000 rate=104246/s BW=27.3 GB/s elapsed=5.5s
[19:08:37] copies=580000 rate=104256/s BW=27.3 GB/s elapsed=5.6s
[19:08:37] copies=590000 rate=104268/s BW=27.3 GB/s elapsed=5.7s
[19:08:38] copies=600000 rate=104249/s BW=27.3 GB/s elapsed=5.8s
[19:08:38] copies=610000 rate=104241/s BW=27.3 GB/s elapsed=5.9s
[19:08:38] copies=620000 rate=104254/s BW=27.3 GB/s elapsed=5.9s
[19:08:38] copies=630000 rate=104278/s BW=27.3 GB/s elapsed=6.0s
[19:08:38] copies=640000 rate=104290/s BW=27.3 GB/s elapsed=6.1s
[19:08:38] copies=650000 rate=104314/s BW=27.3 GB/s elapsed=6.2s
[19:08:38] copies=660000 rate=104280/s BW=27.3 GB/s elapsed=6.3s
[19:08:38] copies=670000 rate=104274/s BW=27.3 GB/s elapsed=6.4s
[19:08:38] copies=680000 rate=104275/s BW=27.3 GB/s elapsed=6.5s
[19:08:38] copies=690000 rate=104274/s BW=27.3 GB/s elapsed=6.6s
[19:08:38] copies=700000 rate=104258/s BW=27.3 GB/s elapsed=6.7s
[19:08:39] copies=710000 rate=104268/s BW=27.3 GB/s elapsed=6.8s
[19:08:39] copies=720000 rate=104254/s BW=27.3 GB/s elapsed=6.9s
[19:08:39] copies=730000 rate=104274/s BW=27.3 GB/s elapsed=7.0s
[19:08:39] copies=740000 rate=104281/s BW=27.3 GB/s elapsed=7.1s
[19:08:39] copies=750000 rate=104296/s BW=27.3 GB/s elapsed=7.2s
[19:08:39] copies=760000 rate=104274/s BW=27.3 GB/s elapsed=7.3s
[19:08:39] copies=770000 rate=104280/s BW=27.3 GB/s elapsed=7.4s
[19:08:39] copies=780000 rate=104281/s BW=27.3 GB/s elapsed=7.5s
[19:08:39] copies=790000 rate=104284/s BW=27.3 GB/s elapsed=7.6s
[19:08:39] copies=800000 rate=104262/s BW=27.3 GB/s elapsed=7.7s
[19:08:40] copies=810000 rate=104268/s BW=27.3 GB/s elapsed=7.8s
[19:08:40] copies=820000 rate=104276/s BW=27.3 GB/s elapsed=7.9s
[19:08:40] copies=830000 rate=104284/s BW=27.3 GB/s elapsed=8.0s
[19:08:40] copies=840000 rate=104290/s BW=27.3 GB/s elapsed=8.1s
[19:08:40] copies=850000 rate=104312/s BW=27.3 GB/s elapsed=8.1s
[19:08:40] copies=860000 rate=104278/s BW=27.3 GB/s elapsed=8.2s
[19:08:40] copies=870000 rate=104277/s BW=27.3 GB/s elapsed=8.3s
[19:08:40] copies=880000 rate=104277/s BW=27.3 GB/s elapsed=8.4s
[19:08:40] copies=890000 rate=104275/s BW=27.3 GB/s elapsed=8.5s
[19:08:40] copies=900000 rate=104270/s BW=27.3 GB/s elapsed=8.6s
[19:08:40] copies=910000 rate=104279/s BW=27.3 GB/s elapsed=8.7s
[19:08:41] copies=920000 rate=104285/s BW=27.3 GB/s elapsed=8.8s
[19:08:41] copies=930000 rate=104277/s BW=27.3 GB/s elapsed=8.9s
[19:08:41] copies=940000 rate=104285/s BW=27.3 GB/s elapsed=9.0s
[19:08:41] copies=950000 rate=104304/s BW=27.3 GB/s elapsed=9.1s
[19:08:41] copies=960000 rate=104286/s BW=27.3 GB/s elapsed=9.2s
[19:08:41] copies=970000 rate=104291/s BW=27.3 GB/s elapsed=9.3s
[19:08:41] copies=980000 rate=104295/s BW=27.3 GB/s elapsed=9.4s
[19:08:41] copies=990000 rate=104302/s BW=27.3 GB/s elapsed=9.5s
[19:08:41] copies=1000000 rate=104285/s BW=27.3 GB/s elapsed=9.6s
[19:08:41] copies=1010000 rate=104285/s BW=27.3 GB/s elapsed=9.7s
[19:08:42] copies=1020000 rate=104289/s BW=27.3 GB/s elapsed=9.8s
[19:08:42] copies=1030000 rate=104295/s BW=27.3 GB/s elapsed=9.9s
[19:08:42] copies=1040000 rate=104293/s BW=27.3 GB/s elapsed=10.0s
[19:08:42] copies=1050000 rate=104288/s BW=27.3 GB/s elapsed=10.1s
[19:08:42] copies=1060000 rate=104292/s BW=27.3 GB/s elapsed=10.2s
[19:08:42] copies=1070000 rate=104295/s BW=27.3 GB/s elapsed=10.3s
[19:08:42] copies=1080000 rate=104300/s BW=27.3 GB/s elapsed=10.4s
[19:08:42] copies=1090000 rate=104300/s BW=27.3 GB/s elapsed=10.5s
[19:08:42] copies=1100000 rate=104291/s BW=27.3 GB/s elapsed=10.5s
[19:08:42] copies=1110000 rate=104294/s BW=27.3 GB/s elapsed=10.6s
[19:08:43] copies=1120000 rate=104290/s BW=27.3 GB/s elapsed=10.7s
[19:08:43] copies=1130000 rate=104287/s BW=27.3 GB/s elapsed=10.8s
[19:08:43] copies=1140000 rate=104265/s BW=27.3 GB/s elapsed=10.9s
[19:08:43] copies=1150000 rate=104238/s BW=27.3 GB/s elapsed=11.0s
[19:08:43] copies=1160000 rate=104249/s BW=27.3 GB/s elapsed=11.1s
[19:08:43] copies=1170000 rate=104254/s BW=27.3 GB/s elapsed=11.2s
[19:08:43] copies=1180000 rate=104259/s BW=27.3 GB/s elapsed=11.3s
[19:08:43] copies=1190000 rate=104264/s BW=27.3 GB/s elapsed=11.4s
[19:08:43] copies=1200000 rate=104248/s BW=27.3 GB/s elapsed=11.5s
[19:08:43] copies=1210000 rate=104251/s BW=27.3 GB/s elapsed=11.6s
[19:08:43] copies=1220000 rate=104255/s BW=27.3 GB/s elapsed=11.7s
[19:08:44] copies=1230000 rate=104259/s BW=27.3 GB/s elapsed=11.8s
[19:08:44] copies=1240000 rate=104261/s BW=27.3 GB/s elapsed=11.9s
[19:08:44] copies=1250000 rate=104251/s BW=27.3 GB/s elapsed=12.0s
[19:08:44] copies=1260000 rate=104254/s BW=27.3 GB/s elapsed=12.1s
[19:08:44] copies=1270000 rate=104258/s BW=27.3 GB/s elapsed=12.2s
[19:08:44] copies=1280000 rate=104263/s BW=27.3 GB/s elapsed=12.3s
[19:08:44] copies=1290000 rate=104265/s BW=27.3 GB/s elapsed=12.4s
[19:08:44] copies=1300000 rate=104249/s BW=27.3 GB/s elapsed=12.5s
[19:08:44] copies=1310000 rate=104248/s BW=27.3 GB/s elapsed=12.6s
[19:08:44] copies=1320000 rate=104251/s BW=27.3 GB/s elapsed=12.7s
[19:08:45] copies=1330000 rate=104256/s BW=27.3 GB/s elapsed=12.8s
[19:08:45] copies=1340000 rate=104261/s BW=27.3 GB/s elapsed=12.9s
[19:08:45] copies=1350000 rate=104253/s BW=27.3 GB/s elapsed=12.9s
[19:08:45] copies=1360000 rate=104257/s BW=27.3 GB/s elapsed=13.0s
[19:08:45] copies=1370000 rate=104261/s BW=27.3 GB/s elapsed=13.1s
[19:08:45] copies=1380000 rate=104265/s BW=27.3 GB/s elapsed=13.2s
[19:08:45] copies=1390000 rate=104271/s BW=27.3 GB/s elapsed=13.3s
[19:08:45] copies=1400000 rate=104260/s BW=27.3 GB/s elapsed=13.4s
[19:08:45] copies=1410000 rate=104270/s BW=27.3 GB/s elapsed=13.5s
[19:08:45] copies=1420000 rate=104270/s BW=27.3 GB/s elapsed=13.6s
[19:08:45] copies=1430000 rate=104268/s BW=27.3 GB/s elapsed=13.7s
[19:08:46] copies=1440000 rate=104272/s BW=27.3 GB/s elapsed=13.8s
[19:08:46] copies=1450000 rate=104262/s BW=27.3 GB/s elapsed=13.9s
[19:08:46] copies=1460000 rate=104266/s BW=27.3 GB/s elapsed=14.0s
[19:08:46] copies=1470000 rate=104270/s BW=27.3 GB/s elapsed=14.1s
[19:08:46] copies=1480000 rate=104275/s BW=27.3 GB/s elapsed=14.2s
[19:08:46] copies=1490000 rate=104284/s BW=27.3 GB/s elapsed=14.3s
[19:08:46] copies=1500000 rate=104273/s BW=27.3 GB/s elapsed=14.4s
[19:08:46] copies=1510000 rate=104286/s BW=27.3 GB/s elapsed=14.5s
[19:08:46] copies=1520000 rate=104290/s BW=27.3 GB/s elapsed=14.6s
[19:08:46] copies=1530000 rate=104293/s BW=27.3 GB/s elapsed=14.7s
[19:08:47] copies=1540000 rate=104302/s BW=27.3 GB/s elapsed=14.8s
[19:08:47] copies=1550000 rate=104294/s BW=27.3 GB/s elapsed=14.9s
[19:08:47] copies=1560000 rate=104289/s BW=27.3 GB/s elapsed=15.0s
[19:08:47] copies=1570000 rate=104300/s BW=27.3 GB/s elapsed=15.1s
[19:08:47] copies=1580000 rate=104303/s BW=27.3 GB/s elapsed=15.1s
[19:08:47] copies=1590000 rate=104309/s BW=27.3 GB/s elapsed=15.2s
[19:08:47] copies=1600000 rate=104294/s BW=27.3 GB/s elapsed=15.3s
[19:08:47] copies=1610000 rate=104305/s BW=27.3 GB/s elapsed=15.4s
[19:08:47] copies=1620000 rate=104308/s BW=27.3 GB/s elapsed=15.5s
[19:08:47] copies=1630000 rate=104311/s BW=27.3 GB/s elapsed=15.6s
[19:08:47] copies=1640000 rate=104318/s BW=27.3 GB/s elapsed=15.7s
[19:08:48] copies=1650000 rate=104309/s BW=27.3 GB/s elapsed=15.8s
[19:08:48] copies=1660000 rate=104313/s BW=27.3 GB/s elapsed=15.9s
[19:08:48] copies=1670000 rate=104315/s BW=27.3 GB/s elapsed=16.0s
[19:08:48] copies=1680000 rate=104308/s BW=27.3 GB/s elapsed=16.1s
[19:08:48] copies=1690000 rate=104310/s BW=27.3 GB/s elapsed=16.2s
[19:08:48] copies=1700000 rate=104300/s BW=27.3 GB/s elapsed=16.3s
[19:08:48] copies=1710000 rate=104308/s BW=27.3 GB/s elapsed=16.4s
[19:08:48] copies=1720000 rate=104311/s BW=27.3 GB/s elapsed=16.5s
[19:08:48] copies=1730000 rate=104316/s BW=27.3 GB/s elapsed=16.6s
[19:08:48] copies=1740000 rate=104327/s BW=27.3 GB/s elapsed=16.7s
[19:08:49] copies=1750000 rate=104319/s BW=27.3 GB/s elapsed=16.8s
[19:08:49] copies=1760000 rate=104322/s BW=27.3 GB/s elapsed=16.9s
[19:08:49] copies=1770000 rate=104325/s BW=27.3 GB/s elapsed=17.0s
[19:08:49] copies=1780000 rate=104329/s BW=27.3 GB/s elapsed=17.1s
[19:08:49] copies=1790000 rate=104340/s BW=27.4 GB/s elapsed=17.2s
[19:08:49] copies=1800000 rate=104330/s BW=27.3 GB/s elapsed=17.3s
[19:08:49] copies=1810000 rate=104341/s BW=27.4 GB/s elapsed=17.3s
[19:08:49] copies=1820000 rate=104344/s BW=27.4 GB/s elapsed=17.4s
[19:08:49] copies=1830000 rate=104347/s BW=27.4 GB/s elapsed=17.5s
[19:08:49] copies=1840000 rate=104359/s BW=27.4 GB/s elapsed=17.6s
[19:08:49] copies=1850000 rate=104352/s BW=27.4 GB/s elapsed=17.7s
[19:08:50] copies=1860000 rate=104351/s BW=27.4 GB/s elapsed=17.8s
[19:08:50] copies=1870000 rate=104350/s BW=27.4 GB/s elapsed=17.9s
[19:08:50] copies=1880000 rate=104350/s BW=27.4 GB/s elapsed=18.0s
[19:08:50] copies=1890000 rate=104359/s BW=27.4 GB/s elapsed=18.1s
[19:08:50] copies=1900000 rate=104348/s BW=27.4 GB/s elapsed=18.2s
[19:08:50] copies=1910000 rate=104358/s BW=27.4 GB/s elapsed=18.3s
[19:08:50] copies=1920000 rate=104360/s BW=27.4 GB/s elapsed=18.4s
[19:08:50] copies=1930000 rate=104363/s BW=27.4 GB/s elapsed=18.5s
[19:08:50] copies=1940000 rate=104373/s BW=27.4 GB/s elapsed=18.6s
[19:08:50] copies=1950000 rate=104368/s BW=27.4 GB/s elapsed=18.7s
[19:08:51] copies=1960000 rate=104372/s BW=27.4 GB/s elapsed=18.8s
[19:08:51] copies=1970000 rate=104374/s BW=27.4 GB/s elapsed=18.9s
[19:08:51] copies=1980000 rate=104377/s BW=27.4 GB/s elapsed=19.0s
[19:08:51] copies=1990000 rate=104386/s BW=27.4 GB/s elapsed=19.1s
[19:08:51] copies=2000000 rate=104378/s BW=27.4 GB/s elapsed=19.2s
[19:08:51] copies=2010000 rate=104387/s BW=27.4 GB/s elapsed=19.3s
[19:08:51] copies=2020000 rate=104390/s BW=27.4 GB/s elapsed=19.4s
[19:08:51] copies=2030000 rate=104382/s BW=27.4 GB/s elapsed=19.4s
[19:08:51] copies=2040000 rate=104390/s BW=27.4 GB/s elapsed=19.5s
[19:08:51] copies=2050000 rate=104383/s BW=27.4 GB/s elapsed=19.6s
[19:08:52] copies=2060000 rate=104391/s BW=27.4 GB/s elapsed=19.7s
[19:08:52] copies=2070000 rate=104394/s BW=27.4 GB/s elapsed=19.8s
[19:08:52] copies=2080000 rate=104393/s BW=27.4 GB/s elapsed=19.9s
[19:08:52] copies=2090000 rate=104390/s BW=27.4 GB/s elapsed=20.0s
[19:08:52] copies=2100000 rate=104393/s BW=27.4 GB/s elapsed=20.1s
[19:08:52] copies=2110000 rate=104401/s BW=27.4 GB/s elapsed=20.2s
[19:08:52] copies=2120000 rate=104409/s BW=27.4 GB/s elapsed=20.3s
[19:08:52] copies=2130000 rate=104415/s BW=27.4 GB/s elapsed=20.4s
[19:08:52] copies=2140000 rate=104410/s BW=27.4 GB/s elapsed=20.5s
[19:08:52] copies=2150000 rate=104412/s BW=27.4 GB/s elapsed=20.6s
[19:08:52] copies=2160000 rate=104419/s BW=27.4 GB/s elapsed=20.7s
[19:08:53] copies=2170000 rate=104427/s BW=27.4 GB/s elapsed=20.8s
[19:08:53] copies=2180000 rate=104429/s BW=27.4 GB/s elapsed=20.9s
[19:08:53] copies=2190000 rate=104423/s BW=27.4 GB/s elapsed=21.0s
[19:08:53] copies=2200000 rate=104422/s BW=27.4 GB/s elapsed=21.1s
[19:08:53] copies=2210000 rate=104430/s BW=27.4 GB/s elapsed=21.2s
[19:08:53] copies=2220000 rate=104425/s BW=27.4 GB/s elapsed=21.3s
[19:08:53] copies=2230000 rate=104427/s BW=27.4 GB/s elapsed=21.4s
