[17:50:49] allocating 2× 128 KB buffers
[17:50:49] entering high-launch-rate memcpy loop
[17:50:50] copies=10000 rate=96844/s BW=25.4 GB/s elapsed=0.1s
[17:50:50] copies=20000 rate=96857/s BW=25.4 GB/s elapsed=0.2s
[17:50:50] copies=30000 rate=96049/s BW=25.2 GB/s elapsed=0.3s
[17:50:50] copies=40000 rate=96315/s BW=25.2 GB/s elapsed=0.4s
[17:50:50] copies=50000 rate=96070/s BW=25.2 GB/s elapsed=0.5s
[17:50:50] copies=60000 rate=95614/s BW=25.1 GB/s elapsed=0.6s
[17:50:50] copies=70000 rate=95895/s BW=25.1 GB/s elapsed=0.7s
[17:50:50] copies=80000 rate=95851/s BW=25.1 GB/s elapsed=0.8s
[17:50:50] copies=90000 rate=95990/s BW=25.2 GB/s elapsed=0.9s
[17:50:51] copies=100000 rate=95965/s BW=25.2 GB/s elapsed=1.0s
[17:50:51] copies=110000 rate=95871/s BW=25.1 GB/s elapsed=1.1s
[17:50:51] copies=120000 rate=95949/s BW=25.2 GB/s elapsed=1.3s
[17:50:51] copies=130000 rate=96038/s BW=25.2 GB/s elapsed=1.4s
[17:50:51] copies=140000 rate=96118/s BW=25.2 GB/s elapsed=1.5s
[17:50:51] copies=150000 rate=96063/s BW=25.2 GB/s elapsed=1.6s
[17:50:51] copies=160000 rate=96217/s BW=25.2 GB/s elapsed=1.7s
[17:50:51] copies=170000 rate=96316/s BW=25.2 GB/s elapsed=1.8s
[17:50:51] copies=180000 rate=96413/s BW=25.3 GB/s elapsed=1.9s
[17:50:51] copies=190000 rate=96441/s BW=25.3 GB/s elapsed=2.0s
[17:50:52] copies=200000 rate=96444/s BW=25.3 GB/s elapsed=2.1s
[17:50:52] copies=210000 rate=96424/s BW=25.3 GB/s elapsed=2.2s
[17:50:52] copies=220000 rate=96430/s BW=25.3 GB/s elapsed=2.3s
[17:50:52] copies=230000 rate=96512/s BW=25.3 GB/s elapsed=2.4s
[17:50:52] copies=240000 rate=96567/s BW=25.3 GB/s elapsed=2.5s
[17:50:52] copies=250000 rate=96574/s BW=25.3 GB/s elapsed=2.6s
[17:50:52] copies=260000 rate=96543/s BW=25.3 GB/s elapsed=2.7s
[17:50:52] copies=270000 rate=96592/s BW=25.3 GB/s elapsed=2.8s
[17:50:52] copies=280000 rate=96647/s BW=25.3 GB/s elapsed=2.9s
[17:50:52] copies=290000 rate=96672/s BW=25.3 GB/s elapsed=3.0s
[17:50:53] copies=300000 rate=96578/s BW=25.3 GB/s elapsed=3.1s
[17:50:53] copies=310000 rate=96629/s BW=25.3 GB/s elapsed=3.2s
[17:50:53] copies=320000 rate=96666/s BW=25.3 GB/s elapsed=3.3s
[17:50:53] copies=330000 rate=96695/s BW=25.3 GB/s elapsed=3.4s
[17:50:53] copies=340000 rate=96723/s BW=25.4 GB/s elapsed=3.5s
[17:50:53] copies=350000 rate=96736/s BW=25.4 GB/s elapsed=3.6s
[17:50:53] copies=360000 rate=96720/s BW=25.4 GB/s elapsed=3.7s
[17:50:53] copies=370000 rate=96755/s BW=25.4 GB/s elapsed=3.8s
[17:50:53] copies=380000 rate=96790/s BW=25.4 GB/s elapsed=3.9s
[17:50:54] copies=390000 rate=96828/s BW=25.4 GB/s elapsed=4.0s
[17:50:54] copies=400000 rate=96771/s BW=25.4 GB/s elapsed=4.1s
[17:50:54] copies=410000 rate=96809/s BW=25.4 GB/s elapsed=4.2s
[17:50:54] copies=420000 rate=96837/s BW=25.4 GB/s elapsed=4.3s
[17:50:54] copies=430000 rate=96865/s BW=25.4 GB/s elapsed=4.4s
[17:50:54] copies=440000 rate=96897/s BW=25.4 GB/s elapsed=4.5s
[17:50:54] copies=450000 rate=96912/s BW=25.4 GB/s elapsed=4.6s
[17:50:54] copies=460000 rate=96901/s BW=25.4 GB/s elapsed=4.7s
[17:50:54] copies=470000 rate=96921/s BW=25.4 GB/s elapsed=4.8s
[17:50:54] copies=480000 rate=96941/s BW=25.4 GB/s elapsed=5.0s
[17:50:55] copies=490000 rate=96969/s BW=25.4 GB/s elapsed=5.1s
[17:50:55] copies=500000 rate=96945/s BW=25.4 GB/s elapsed=5.2s
[17:50:55] copies=510000 rate=96968/s BW=25.4 GB/s elapsed=5.3s
[17:50:55] copies=520000 rate=96993/s BW=25.4 GB/s elapsed=5.4s
[17:50:55] copies=530000 rate=97016/s BW=25.4 GB/s elapsed=5.5s
[17:50:55] copies=540000 rate=97035/s BW=25.4 GB/s elapsed=5.6s
[17:50:55] copies=550000 rate=97052/s BW=25.4 GB/s elapsed=5.7s
[17:50:55] copies=560000 rate=97043/s BW=25.4 GB/s elapsed=5.8s
[17:50:55] copies=570000 rate=97069/s BW=25.4 GB/s elapsed=5.9s
[17:50:55] copies=580000 rate=97095/s BW=25.5 GB/s elapsed=6.0s
[17:50:56] copies=590000 rate=97119/s BW=25.5 GB/s elapsed=6.1s
[17:50:56] copies=600000 rate=97067/s BW=25.4 GB/s elapsed=6.2s
[17:50:56] copies=610000 rate=97086/s BW=25.5 GB/s elapsed=6.3s
[17:50:56] copies=620000 rate=97106/s BW=25.5 GB/s elapsed=6.4s
[17:50:56] copies=630000 rate=97124/s BW=25.5 GB/s elapsed=6.5s
[17:50:56] copies=640000 rate=97144/s BW=25.5 GB/s elapsed=6.6s
[17:50:56] copies=650000 rate=97129/s BW=25.5 GB/s elapsed=6.7s
[17:50:56] copies=660000 rate=97115/s BW=25.5 GB/s elapsed=6.8s
[17:50:56] copies=670000 rate=97128/s BW=25.5 GB/s elapsed=6.9s
[17:50:56] copies=680000 rate=97143/s BW=25.5 GB/s elapsed=7.0s
[17:50:57] copies=690000 rate=97159/s BW=25.5 GB/s elapsed=7.1s
[17:50:57] copies=700000 rate=97131/s BW=25.5 GB/s elapsed=7.2s
[17:50:57] copies=710000 rate=97146/s BW=25.5 GB/s elapsed=7.3s
[17:50:57] copies=720000 rate=97163/s BW=25.5 GB/s elapsed=7.4s
[17:50:57] copies=730000 rate=97175/s BW=25.5 GB/s elapsed=7.5s
[17:50:57] copies=740000 rate=97190/s BW=25.5 GB/s elapsed=7.6s
[17:50:57] copies=750000 rate=97205/s BW=25.5 GB/s elapsed=7.7s
[17:50:57] copies=760000 rate=97195/s BW=25.5 GB/s elapsed=7.8s
[17:50:57] copies=770000 rate=97210/s BW=25.5 GB/s elapsed=7.9s
[17:50:58] copies=780000 rate=97212/s BW=25.5 GB/s elapsed=8.0s
[17:50:58] copies=790000 rate=97219/s BW=25.5 GB/s elapsed=8.1s
[17:50:58] copies=800000 rate=97201/s BW=25.5 GB/s elapsed=8.2s
[17:50:58] copies=810000 rate=97213/s BW=25.5 GB/s elapsed=8.3s
[17:50:58] copies=820000 rate=97224/s BW=25.5 GB/s elapsed=8.4s
[17:50:58] copies=830000 rate=97237/s BW=25.5 GB/s elapsed=8.5s
[17:50:58] copies=840000 rate=97251/s BW=25.5 GB/s elapsed=8.6s
[17:50:58] copies=850000 rate=97250/s BW=25.5 GB/s elapsed=8.7s
[17:50:58] copies=860000 rate=97233/s BW=25.5 GB/s elapsed=8.8s
[17:50:58] copies=870000 rate=97231/s BW=25.5 GB/s elapsed=8.9s
[17:50:59] copies=880000 rate=97232/s BW=25.5 GB/s elapsed=9.1s
[17:50:59] copies=890000 rate=97231/s BW=25.5 GB/s elapsed=9.2s
[17:50:59] copies=900000 rate=97209/s BW=25.5 GB/s elapsed=9.3s
[17:50:59] copies=910000 rate=97216/s BW=25.5 GB/s elapsed=9.4s
[17:50:59] copies=920000 rate=97222/s BW=25.5 GB/s elapsed=9.5s
[17:50:59] copies=930000 rate=97229/s BW=25.5 GB/s elapsed=9.6s
[17:50:59] copies=940000 rate=97236/s BW=25.5 GB/s elapsed=9.7s
[17:50:59] copies=950000 rate=97243/s BW=25.5 GB/s elapsed=9.8s
[17:50:59] copies=960000 rate=97228/s BW=25.5 GB/s elapsed=9.9s
[17:50:59] copies=970000 rate=97236/s BW=25.5 GB/s elapsed=10.0s
[17:51:00] copies=980000 rate=97246/s BW=25.5 GB/s elapsed=10.1s
[17:51:00] copies=990000 rate=97256/s BW=25.5 GB/s elapsed=10.2s
[17:51:00] copies=1000000 rate=97245/s BW=25.5 GB/s elapsed=10.3s
[17:51:00] copies=1010000 rate=97252/s BW=25.5 GB/s elapsed=10.4s
[17:51:00] copies=1020000 rate=97253/s BW=25.5 GB/s elapsed=10.5s
[17:51:00] copies=1030000 rate=97256/s BW=25.5 GB/s elapsed=10.6s
[17:51:00] copies=1040000 rate=97251/s BW=25.5 GB/s elapsed=10.7s
