[18:48:11] allocating 2× 128 KB buffers
[18:48:11] entering high-launch-rate memcpy loop
[18:48:11] copies=10000 rate=104384/s BW=27.4 GB/s elapsed=0.1s
[18:48:11] copies=20000 rate=103953/s BW=27.3 GB/s elapsed=0.2s
[18:48:12] copies=30000 rate=104022/s BW=27.3 GB/s elapsed=0.3s
[18:48:12] copies=40000 rate=103945/s BW=27.2 GB/s elapsed=0.4s
[18:48:12] copies=50000 rate=103380/s BW=27.1 GB/s elapsed=0.5s
[18:48:12] copies=60000 rate=103282/s BW=27.1 GB/s elapsed=0.6s
[18:48:12] copies=70000 rate=103078/s BW=27.0 GB/s elapsed=0.7s
[18:48:12] copies=80000 rate=103138/s BW=27.0 GB/s elapsed=0.8s
[18:48:12] copies=90000 rate=103183/s BW=27.0 GB/s elapsed=0.9s
[18:48:12] copies=100000 rate=102990/s BW=27.0 GB/s elapsed=1.0s
[18:48:12] copies=110000 rate=102893/s BW=27.0 GB/s elapsed=1.1s
[18:48:12] copies=120000 rate=102914/s BW=27.0 GB/s elapsed=1.2s
[18:48:13] copies=130000 rate=102932/s BW=27.0 GB/s elapsed=1.3s
[18:48:13] copies=140000 rate=102931/s BW=27.0 GB/s elapsed=1.4s
[18:48:13] copies=150000 rate=102887/s BW=27.0 GB/s elapsed=1.5s
[18:48:13] copies=160000 rate=102803/s BW=26.9 GB/s elapsed=1.6s
[18:48:13] copies=170000 rate=102829/s BW=27.0 GB/s elapsed=1.7s
[18:48:13] copies=180000 rate=102821/s BW=27.0 GB/s elapsed=1.8s
[18:48:13] copies=190000 rate=102953/s BW=27.0 GB/s elapsed=1.8s
[18:48:13] copies=200000 rate=103002/s BW=27.0 GB/s elapsed=1.9s
[18:48:13] copies=210000 rate=102958/s BW=27.0 GB/s elapsed=2.0s
[18:48:13] copies=220000 rate=102980/s BW=27.0 GB/s elapsed=2.1s
[18:48:14] copies=230000 rate=103003/s BW=27.0 GB/s elapsed=2.2s
[18:48:14] copies=240000 rate=103023/s BW=27.0 GB/s elapsed=2.3s
[18:48:14] copies=250000 rate=102951/s BW=27.0 GB/s elapsed=2.4s
[18:48:14] copies=260000 rate=102948/s BW=27.0 GB/s elapsed=2.5s
[18:48:14] copies=270000 rate=102983/s BW=27.0 GB/s elapsed=2.6s
[18:48:14] copies=280000 rate=103007/s BW=27.0 GB/s elapsed=2.7s
[18:48:14] copies=290000 rate=103039/s BW=27.0 GB/s elapsed=2.8s
[18:48:14] copies=300000 rate=102959/s BW=27.0 GB/s elapsed=2.9s
[18:48:14] copies=310000 rate=103017/s BW=27.0 GB/s elapsed=3.0s
[18:48:14] copies=320000 rate=103044/s BW=27.0 GB/s elapsed=3.1s
[18:48:14] copies=330000 rate=103030/s BW=27.0 GB/s elapsed=3.2s
[18:48:15] copies=340000 rate=103023/s BW=27.0 GB/s elapsed=3.3s
[18:48:15] copies=350000 rate=103037/s BW=27.0 GB/s elapsed=3.4s
[18:48:15] copies=360000 rate=103017/s BW=27.0 GB/s elapsed=3.5s
[18:48:15] copies=370000 rate=103002/s BW=27.0 GB/s elapsed=3.6s
[18:48:15] copies=380000 rate=103026/s BW=27.0 GB/s elapsed=3.7s
[18:48:15] copies=390000 rate=103043/s BW=27.0 GB/s elapsed=3.8s
[18:48:15] copies=400000 rate=102989/s BW=27.0 GB/s elapsed=3.9s
[18:48:15] copies=410000 rate=103035/s BW=27.0 GB/s elapsed=4.0s
[18:48:15] copies=420000 rate=103066/s BW=27.0 GB/s elapsed=4.1s
[18:48:15] copies=430000 rate=103096/s BW=27.0 GB/s elapsed=4.2s
[18:48:16] copies=440000 rate=103121/s BW=27.0 GB/s elapsed=4.3s
[18:48:16] copies=450000 rate=103153/s BW=27.0 GB/s elapsed=4.4s
[18:48:16] copies=460000 rate=103137/s BW=27.0 GB/s elapsed=4.5s
[18:48:16] copies=470000 rate=103161/s BW=27.0 GB/s elapsed=4.6s
[18:48:16] copies=480000 rate=103183/s BW=27.0 GB/s elapsed=4.7s
[18:48:16] copies=490000 rate=103206/s BW=27.1 GB/s elapsed=4.7s
[18:48:16] copies=500000 rate=103177/s BW=27.0 GB/s elapsed=4.8s
[18:48:16] copies=510000 rate=103201/s BW=27.1 GB/s elapsed=4.9s
[18:48:16] copies=520000 rate=103214/s BW=27.1 GB/s elapsed=5.0s
[18:48:16] copies=530000 rate=103229/s BW=27.1 GB/s elapsed=5.1s
[18:48:17] copies=540000 rate=103238/s BW=27.1 GB/s elapsed=5.2s
[18:48:17] copies=550000 rate=103258/s BW=27.1 GB/s elapsed=5.3s
[18:48:17] copies=560000 rate=103261/s BW=27.1 GB/s elapsed=5.4s
[18:48:17] copies=570000 rate=103291/s BW=27.1 GB/s elapsed=5.5s
[18:48:17] copies=580000 rate=103318/s BW=27.1 GB/s elapsed=5.6s
[18:48:17] copies=590000 rate=103341/s BW=27.1 GB/s elapsed=5.7s
[18:48:17] copies=600000 rate=103335/s BW=27.1 GB/s elapsed=5.8s
[18:48:17] copies=610000 rate=103363/s BW=27.1 GB/s elapsed=5.9s
[18:48:17] copies=620000 rate=103382/s BW=27.1 GB/s elapsed=6.0s
[18:48:17] copies=630000 rate=103408/s BW=27.1 GB/s elapsed=6.1s
[18:48:17] copies=640000 rate=103432/s BW=27.1 GB/s elapsed=6.2s
[18:48:18] copies=650000 rate=103449/s BW=27.1 GB/s elapsed=6.3s
[18:48:18] copies=660000 rate=103412/s BW=27.1 GB/s elapsed=6.4s
[18:48:18] copies=670000 rate=103429/s BW=27.1 GB/s elapsed=6.5s
[18:48:18] copies=680000 rate=103431/s BW=27.1 GB/s elapsed=6.6s
[18:48:18] copies=690000 rate=103448/s BW=27.1 GB/s elapsed=6.7s
[18:48:18] copies=700000 rate=103450/s BW=27.1 GB/s elapsed=6.8s
[18:48:18] copies=710000 rate=103455/s BW=27.1 GB/s elapsed=6.9s
[18:48:18] copies=720000 rate=103466/s BW=27.1 GB/s elapsed=7.0s
[18:48:18] copies=730000 rate=103481/s BW=27.1 GB/s elapsed=7.1s
[18:48:18] copies=740000 rate=103498/s BW=27.1 GB/s elapsed=7.1s
[18:48:19] copies=750000 rate=103517/s BW=27.1 GB/s elapsed=7.2s
[18:48:19] copies=760000 rate=103513/s BW=27.1 GB/s elapsed=7.3s
[18:48:19] copies=770000 rate=103527/s BW=27.1 GB/s elapsed=7.4s
[18:48:19] copies=780000 rate=103541/s BW=27.1 GB/s elapsed=7.5s
[18:48:19] copies=790000 rate=103555/s BW=27.1 GB/s elapsed=7.6s
[18:48:19] copies=800000 rate=103539/s BW=27.1 GB/s elapsed=7.7s
[18:48:19] copies=810000 rate=103556/s BW=27.1 GB/s elapsed=7.8s
[18:48:19] copies=820000 rate=103571/s BW=27.2 GB/s elapsed=7.9s
[18:48:19] copies=830000 rate=103585/s BW=27.2 GB/s elapsed=8.0s
[18:48:19] copies=840000 rate=103588/s BW=27.2 GB/s elapsed=8.1s
[18:48:19] copies=850000 rate=103612/s BW=27.2 GB/s elapsed=8.2s
[18:48:20] copies=860000 rate=103600/s BW=27.2 GB/s elapsed=8.3s
[18:48:20] copies=870000 rate=103612/s BW=27.2 GB/s elapsed=8.4s
[18:48:20] copies=880000 rate=103626/s BW=27.2 GB/s elapsed=8.5s
[18:48:20] copies=890000 rate=103638/s BW=27.2 GB/s elapsed=8.6s
[18:48:20] copies=900000 rate=103637/s BW=27.2 GB/s elapsed=8.7s
[18:48:20] copies=910000 rate=103645/s BW=27.2 GB/s elapsed=8.8s
