#Time         gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk  pviol  tviol     fb   bar1   ccpm 
#HH:MM:SS     Idx      W      C      C      %      %      %      %      %      %    MHz    MHz      %   bool     MB     MB     MB 
 11:26:08       0     93     29     30      -      -      -      -      -      -   1215   1410      0      0   6666      7      0 
 11:26:10       0     96     29     30      -      -      -      -      -      -   1215   1410      0      0   6666      7      0 
 11:26:12       0     98     29     30      -      -      -      -      -      -   1215   1410      0      0   6666      7      0 
 11:26:14       0    100     29     30      -      -      -      -      -      -   1215   1410      0      0   6666      7      0 
 11:26:16       0     91     29     30      -      -      -      -      -      -   1215   1410      0      0   6666      7      0 
 11:26:18       0     92     30     30      -      -      -      -      -      -   1215   1410      0      0   6666      7      0 
 11:26:20       0     93     29     30      -      -      -      -      -      -   1215   1410      0      0   6666      7      0 
 11:26:22       0     92     29     30      -      -      -      -      -      -   1215   1410      0      0   6666      7      0 
 11:26:24       0     92     29     30      -      -      -      -      -      -   1215   1410      0      0   6666      7      0 
 11:26:26       0     93     29     30      -      -      -      -      -      -   1215   1410      0      0   6664      7      0 
 11:26:28       0     94     29     30      -      -      -      -      -      -   1215   1410      0      0   6666      7      0 
 11:26:30       0     99     30     30      -      -      -      -      -      -   1215   1410      0      0   6666      7      0 
 11:26:32       0    104     30     30      -      -      -      -      -      -   1215   1410      0      0   6666      7      0 
 11:26:34       0     90     30     30      -      -      -      -      -      -   1215   1410      0      0   6666      7      0 
 11:26:36       0     91     29     30      -      -      -      -      -      -   1215   1410      0      0   6666      7      0 
 11:26:38       0     90     29     30      -      -      -      -      -      -   1215   1410      0      0   6666      7      0 
 11:26:40       0     92     30     30      -      -      -      -      -      -   1215   1410      0      0   6666      7      0 
 11:26:42       0     94     30     30      -      -      -      -      -      -   1215   1410      0      0   6666      7      0 
 11:26:44       0     94     30     30      -      -      -      -      -      -   1215   1410      0      0   6666      7      0 
 11:26:46       0     94     29     30      -      -      -      -      -      -   1215   1410      0      0   6666      7      0 
 11:26:48       0    100     29     30      -      -      -      -      -      -   1215   1410      0      0   6666      7      0 
 11:26:50       0    101     29     30      -      -      -      -      -      -   1215   1410      0      0   6666      7      0 
 11:26:52       0     89     30     30      -      -      -      -      -      -   1215   1410      0      0   6666      7      0 
#Time         gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk  pviol  tviol     fb   bar1   ccpm 
#HH:MM:SS     Idx      W      C      C      %      %      %      %      %      %    MHz    MHz      %   bool     MB     MB     MB 
 11:26:54       0     92     30     30      -      -      -      -      -      -   1215   1410      0      0   6666      7      0 
 11:26:56       0     92     30     30      -      -      -      -      -      -   1215   1410      0      0   6664      7      0 
 11:26:58       0     93     29     30      -      -      -      -      -      -   1215   1410      0      0   6666      7      0 
 11:27:00       0     91     29     30      -      -      -      -      -      -   1215   1410      0      0   6666      7      0 
 11:27:02       0     93     29     30      -      -      -      -      -      -   1215   1410      0      0   6666      7      0 
 11:27:04       0     95     30     30      -      -      -      -      -      -   1215   1410      0      0   6666      7      0 
 11:27:06       0     99     29     30      -      -      -      -      -      -   1215   1410      0      0   6666      7      0 
 11:27:08       0    108     29     30      -      -      -      -      -      -   1215   1410      0      0   6666      7      0 
 11:27:10       0     92     29     30      -      -      -      -      -      -   1215   1410      0      0   6666      7      0 
 11:27:12       0     92     29     30      -      -      -      -      -      -   1215   1410      0      0   6666      7      0 
 11:27:14       0     91     29     30      -      -      -      -      -      -   1215   1410      0      0   6666      7      0 
 11:27:16       0     92     29     30      -      -      -      -      -      -   1215   1410      0      0   6666      7      0 
 11:27:18       0     91     29     30      -      -      -      -      -      -   1215   1410      0      0   6666      7      0 
 11:27:20       0     93     29     30      -      -      -      -      -      -   1215   1410      0      0   6666      7      0 
 11:27:23       0     94     29     30      -      -      -      -      -      -   1215   1410      0      0   6666      7      0 
 11:27:25       0     98     29     30      -      -      -      -      -      -   1215   1410      0      0   6666      7      0 
 11:27:27       0    101     29     30      -      -      -      -      -      -   1215   1410      0      0   6666      7      0 
 11:27:29       0     89     29     30      -      -      -      -      -      -   1215   1410      0      0   6666      7      0 
 11:27:31       0     92     29     30      -      -      -      -      -      -   1215   1410      0      0   6666      7      0 
 11:27:33       0     92     29     30      -      -      -      -      -      -   1215   1410      0      0   6666      7      0 
 11:27:35       0     91     29     30      -      -      -      -      -      -   1215   1410      0      0   6666      7      0 
 11:27:37       0     91     30     30      -      -      -      -      -      -   1215   1410      0      0   6666      7      0 
 11:27:39       0     92     29     30      -      -      -      -      -      -   1215   1410      0      0   6666      7      0 
 11:27:41       0     93     29     30      -      -      -      -      -      -   1215   1410      0      0   6666      7      0 
 11:27:43       0     96     29     30      -      -      -      -      -      -   1215   1410      0      0   6666      7      0 
 11:27:45       0    102     29     30      -      -      -      -      -      -   1215   1410      0      0   6666      7      0 
 11:27:47       0     90     29     30      -      -      -      -      -      -   1215   1410      0      0   6666      7      0 
 11:27:49       0     93     29     30      -      -      -      -      -      -   1215   1410      0      0   6666      7      0 
 11:27:51       0     91     29     30      -      -      -      -      -      -   1215   1410      0      0   6666      7      0 
 11:27:53       0     92     29     30      -      -      -      -      -      -   1215   1410      0      0   6666      7      0 
 11:27:55       0     92     29     30      -      -      -      -      -      -   1215   1410      0      0   6666      7      0 
 11:27:57       0     92     29     30      -      -      -      -      -      -   1215   1410      0      0   6666      7      0 
 11:27:59       0     95     29     30      -      -      -      -      -      -   1215   1410      0      0   6666      7      0 
 11:28:01       0     94     29     30      -      -      -      -      -      -   1215   1410      0      0   6666      7      0 
 11:28:03       0     99     29     30      -      -      -      -      -      -   1215   1410      0      0   6666      7      0 
 11:28:05       0     91     29     30      -      -      -      -      -      -   1215   1410      0      0   6664      7      0 
 11:28:07       0     92     29     30      -      -      -      -      -      -   1215   1410      0      0   6666      7      0 
 11:28:09       0     92     29     30      -      -      -      -      -      -   1215   1410      0      0   6666      7      0 
 11:28:11       0     91     29     30      -      -      -      -      -      -   1215   1410      0      0   6666      7      0 
 11:28:13       0     91     29     30      -      -      -      -      -      -   1215   1410      0      0   6666      7      0 
 11:28:15       0     93     29     30      -      -      -      -      -      -   1215   1410      0      0   6666      7      0 
 11:28:17       0     94     29     30      -      -      -      -      -      -   1215   1410      0      0   6666      7      0 
 11:28:19       0     98     29     30      -      -      -      -      -      -   1215   1410      0      0   6666      7      0 
 11:28:21       0    106     29     30      -      -      -      -      -      -   1215   1410      0      0   6666      7      0 
#Time         gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk  pviol  tviol     fb   bar1   ccpm 
#HH:MM:SS     Idx      W      C      C      %      %      %      %      %      %    MHz    MHz      %   bool     MB     MB     MB 
 11:28:23       0     92     29     30      -      -      -      -      -      -   1215   1410      0      0   6666      7      0 
 11:28:25       0     92     29     30      -      -      -      -      -      -   1215   1410      0      0   6666      7      0 
 11:28:27       0     92     29     30      -      -      -      -      -      -   1215   1410      0      0   6666      7      0 
 11:28:29       0     92     29     30      -      -      -      -      -      -   1215   1410      0      0   6666      7      0 
 11:28:31       0     91     29     30      -      -      -      -      -      -   1215   1410      0      0   6664      7      0 
 11:28:33       0     94     29     30      -      -      -      -      -      -   1215   1410      0      0   6666      7      0 
 11:28:35       0     95     29     30      -      -      -      -      -      -   1215   1410      0      0   6666      7      0 
 11:28:37       0     98     29     30      -      -      -      -      -      -   1215   1410      0      0   6666      7      0 
 11:28:39       0    100     29     30      -      -      -      -      -      -   1215   1410      0      0   6666      7      0 
 11:28:41       0     92     29     30      -      -      -      -      -      -   1215   1410      0      0   6666      7      0 
 11:28:43       0     90     29     30      -      -      -      -      -      -   1215   1410      0      0   6666      7      0 
 11:28:45       0     92     29     30      -      -      -      -      -      -   1215   1410      0      0   6666      7      0 
 11:28:47       0     91     29     30      -      -      -      -      -      -   1215   1410      0      0   6666      7      0 
 11:28:49       0     92     29     30      -      -      -      -      -      -   1215   1410      0      0   6666      7      0 
 11:28:51       0     91     29     30      -      -      -      -      -      -   1215   1410      0      0   6664      7      0 
 11:28:53       0     94     29     30      -      -      -      -      -      -   1215   1410      0      0   6666      7      0 
 11:28:55       0     96     29     30      -      -      -      -      -      -   1215   1410      0      0   6666      7      0 
 11:28:57       0    100     29     30      -      -      -      -      -      -   1215   1410      0      0   6666      7      0 
 11:28:59       0     91     29     30      -      -      -      -      -      -   1215   1410      0      0   6664      7      0 
 11:29:01       0     92     29     30      -      -      -      -      -      -   1215   1410      0      0   6664      7      0 
 11:29:03       0     91     29     30      -      -      -      -      -      -   1215   1410      0      0   6666      7      0 
 11:29:05       0     91     29     29      -      -      -      -      -      -   1215   1410      0      0   6666      7      0 
 11:29:07       0     92     29     30      -      -      -      -      -      -   1215   1410      0      0   6666      7      0 
 11:29:09       0     94     29     30      -      -      -      -      -      -   1215   1410      0      0   6666      7      0 
 11:29:11       0     93     29     30      -      -      -      -      -      -   1215   1410      0      0   6666      7      0 
 11:29:13       0     95     29     30      -      -      -      -      -      -   1215   1410      0      0   6666      7      0 
 11:29:15       0     99     29     30      -      -      -      -      -      -   1215   1410      0      0   6666      7      0 
 11:29:17       0    100     29     30      -      -      -      -      -      -   1215   1410      0      0   6666      7      0 
 11:29:19       0     91     29     30      -      -      -      -      -      -   1215   1410      0      0   6666      7      0 
 11:29:21       0     91     29     30      -      -      -      -      -      -   1215   1410      0      0   6666      7      0 
 11:29:23       0     92     29     30      -      -      -      -      -      -   1215   1410      0      0   6664      7      0 
 11:29:25       0     60     28     28      -      -      -      -      -      -   1215   1410      0      0     75      1      0 
