Time (%),Total Time (ns),Count,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Operation
48.9,121821,4,30455.3,17711.5,1024,85374,39734.9,[CUDA memcpy Host-to-Device]
38.9,96831,2,48415.5,48415.5,2240,94591,65302.0,[CUDA memset]
9.2,22815,14,1629.6,1632.0,1440,1696,59.4,[CUDA memcpy Device-to-Device]
3.0,7456,4,1864.0,1840.0,1472,2304,393.1,[CUDA memcpy Device-to-Host]
