config,family,resource_layout,n_trials,l1_baseline_active_ms,l1_active_ms,l1_active_p99_ms,l1_slowdown,nrx_ms,e2e_ms,e2e_p99_ms,transport_us,completion_throughput_slots_s,qwen_itps,notes
MIG same,MIG,4g L1+NRx | 3g Qwen,3,1.835162285466989,2.975052109499772,3.2362119774023683,1.6211384317669315,1.7820586665074032,6.19110315,7.0008167199999995,0.0,322.83161279362054,10.22,"Direct TRT, CUDA Graph, ring depth 2"
Cross P2P,P2P,2g L1 | 2g NRx | 3g Qwen,3,2.4286132929722473,2.5327394164204597,2.6658304133017854,1.0428747235097187,3.113829734802246,6.383415995,6.56316072,76.84083733333334,312.94746026068384,10.23,"Direct same-GPU MIG P2P, ring depth 2"
MIG+MPS same,MIG+MPS,4g L1+NRx MPS client | 3g Qwen,3,1.821837309877078,3.100418390532335,3.350343639850616,1.7018085938428413,1.8319022089640298,6.383469786666667,7.26069184,0.0,313.12762370828904,10.22,One combined L1+NRx MPS client; MPS does not isolate its streams
Full MPS Qwen 30%,MPS,Full 7g shared by L1+NRx and Qwen,3,1.9605425513585406,2.864203776061535,3.120950614213943,1.460924055984814,1.5230836055278776,5.864978286666666,6.307097273333333,0.0,340.8890834590038,7.92,L1+NRx combined MPS client at 100%; Qwen client capped
Full MPS Qwen 50%,MPS,Full 7g shared by L1+NRx and Qwen,3,1.903242240190506,3.047525036772092,3.424972811539968,1.6012281423866719,1.6724674545923868,6.225571491666666,6.78172249,0.0,321.04706874218533,11.14,L1+NRx combined MPS client at 100%; Qwen client capped
Full MPS Qwen 70%,MPS,Full 7g shared by L1+NRx and Qwen,3,1.987737940688928,3.181230421900749,4.312494134108225,1.6004274792874202,1.8712152743736903,6.656167526333334,8.06565745,0.0,300.37029725777194,17.24,L1+NRx combined MPS client at 100%; Qwen client capped
Full MPS Qwen 100%,MPS,Full 7g shared by L1+NRx and Qwen,3,2.6810996059179306,4.127662760098776,6.487326683203379,1.5395409969058513,2.4994833091100057,8.568648510000001,11.180114549999999,0.0,233.26201164359463,21.11,L1+NRx combined MPS client at 100%; Qwen client capped
Cross NIC GDR,NIC GDR,2g L1 | 2g NRx | 3g Qwen,2,nan,nan,nan,nan,nan,6.326206718,6.845851034999999,nan,158.09547154766224,10.24,"Zero-copy direct TRT; request/response depth 1, so throughput is not comparable to ring-depth-2 P2P"
