config,resource_layout,n_trials,e2e_mean_ms,e2e_p99_ms,l1_active_ms,nrx_ms,transport_us,completion_throughput_slots_s,qwen_itps
MIG same depth 1,4g L1+NRx | 3g Qwen,3,3.3381704489999997,3.5010680033333337,1.8140579849680265,1.3906640255451201,0.0,300.2501886116485,10.22
Cross P2P depth 1,2g L1 | 2g NRx | 3g Qwen,3,5.888355278666666,6.22430899,2.6256100697517395,3.039706120014191,76.54733733333335,169.80425267187715,10.22
Cross NIC GDR depth 1,2g L1 | 2g NRx | 3g Qwen,2,6.326206718,6.845851034999999,nan,nan,nan,158.09547154766224,10.24
