[12:49:39] allocating 2× 128 KB buffers
[12:49:40] entering high-launch-rate memcpy loop
[12:49:40] copies=10000 rate=90052/s BW=23.6 GB/s elapsed=0.1s
[12:49:40] copies=20000 rate=89191/s BW=23.4 GB/s elapsed=0.2s
[12:49:40] copies=30000 rate=89757/s BW=23.5 GB/s elapsed=0.3s
[12:49:40] copies=40000 rate=88469/s BW=23.2 GB/s elapsed=0.5s
[12:49:40] copies=50000 rate=88035/s BW=23.1 GB/s elapsed=0.6s
[12:49:40] copies=60000 rate=85488/s BW=22.4 GB/s elapsed=0.7s
[12:49:40] copies=70000 rate=82453/s BW=21.6 GB/s elapsed=0.8s
[12:49:41] copies=80000 rate=80444/s BW=21.1 GB/s elapsed=1.0s
[12:49:41] copies=90000 rate=78946/s BW=20.7 GB/s elapsed=1.1s
[12:49:41] copies=100000 rate=77783/s BW=20.4 GB/s elapsed=1.3s
[12:49:41] copies=110000 rate=76857/s BW=20.1 GB/s elapsed=1.4s
[12:49:41] copies=120000 rate=76106/s BW=20.0 GB/s elapsed=1.6s
[12:49:41] copies=130000 rate=75476/s BW=19.8 GB/s elapsed=1.7s
[12:49:41] copies=140000 rate=74948/s BW=19.6 GB/s elapsed=1.9s
[12:49:42] copies=150000 rate=74494/s BW=19.5 GB/s elapsed=2.0s
[12:49:42] copies=160000 rate=74097/s BW=19.4 GB/s elapsed=2.2s
[12:49:42] copies=170000 rate=73761/s BW=19.3 GB/s elapsed=2.3s
[12:49:42] copies=180000 rate=73463/s BW=19.3 GB/s elapsed=2.5s
[12:49:42] copies=190000 rate=73202/s BW=19.2 GB/s elapsed=2.6s
[12:49:42] copies=200000 rate=72972/s BW=19.1 GB/s elapsed=2.7s
[12:49:42] copies=210000 rate=72761/s BW=19.1 GB/s elapsed=2.9s
[12:49:43] copies=220000 rate=72571/s BW=19.0 GB/s elapsed=3.0s
[12:49:43] copies=230000 rate=72401/s BW=19.0 GB/s elapsed=3.2s
[12:49:43] copies=240000 rate=72246/s BW=18.9 GB/s elapsed=3.3s
[12:49:43] copies=250000 rate=72096/s BW=18.9 GB/s elapsed=3.5s
[12:49:43] copies=260000 rate=71962/s BW=18.9 GB/s elapsed=3.6s
[12:49:43] copies=270000 rate=71841/s BW=18.8 GB/s elapsed=3.8s
[12:49:44] copies=280000 rate=71728/s BW=18.8 GB/s elapsed=3.9s
[12:49:44] copies=290000 rate=71624/s BW=18.8 GB/s elapsed=4.0s
[12:49:44] copies=300000 rate=71527/s BW=18.8 GB/s elapsed=4.2s
[12:49:44] copies=310000 rate=71436/s BW=18.7 GB/s elapsed=4.3s
[12:49:44] copies=320000 rate=71349/s BW=18.7 GB/s elapsed=4.5s
[12:49:44] copies=330000 rate=71266/s BW=18.7 GB/s elapsed=4.6s
[12:49:44] copies=340000 rate=71188/s BW=18.7 GB/s elapsed=4.8s
[12:49:45] copies=350000 rate=71166/s BW=18.7 GB/s elapsed=4.9s
[12:49:45] copies=360000 rate=71096/s BW=18.6 GB/s elapsed=5.1s
[12:49:45] copies=370000 rate=71032/s BW=18.6 GB/s elapsed=5.2s
[12:49:45] copies=380000 rate=70970/s BW=18.6 GB/s elapsed=5.4s
[12:49:45] copies=390000 rate=70913/s BW=18.6 GB/s elapsed=5.5s
[12:49:45] copies=400000 rate=70858/s BW=18.6 GB/s elapsed=5.6s
[12:49:45] copies=410000 rate=70807/s BW=18.6 GB/s elapsed=5.8s
[12:49:46] copies=420000 rate=70757/s BW=18.5 GB/s elapsed=5.9s
[12:49:46] copies=430000 rate=70710/s BW=18.5 GB/s elapsed=6.1s
[12:49:46] copies=440000 rate=70665/s BW=18.5 GB/s elapsed=6.2s
[12:49:46] copies=450000 rate=70622/s BW=18.5 GB/s elapsed=6.4s
[12:49:46] copies=460000 rate=70581/s BW=18.5 GB/s elapsed=6.5s
[12:49:46] copies=470000 rate=70542/s BW=18.5 GB/s elapsed=6.7s
[12:49:46] copies=480000 rate=70505/s BW=18.5 GB/s elapsed=6.8s
[12:49:47] copies=490000 rate=70469/s BW=18.5 GB/s elapsed=7.0s
[12:49:47] copies=500000 rate=70434/s BW=18.5 GB/s elapsed=7.1s
[12:49:47] copies=510000 rate=70401/s BW=18.5 GB/s elapsed=7.2s
[12:49:47] copies=520000 rate=70369/s BW=18.4 GB/s elapsed=7.4s
[12:49:47] copies=530000 rate=70339/s BW=18.4 GB/s elapsed=7.5s
[12:49:47] copies=540000 rate=70310/s BW=18.4 GB/s elapsed=7.7s
[12:49:47] copies=550000 rate=70281/s BW=18.4 GB/s elapsed=7.8s
[12:49:48] copies=560000 rate=70254/s BW=18.4 GB/s elapsed=8.0s
[12:49:48] copies=570000 rate=70228/s BW=18.4 GB/s elapsed=8.1s
[12:49:48] copies=580000 rate=70203/s BW=18.4 GB/s elapsed=8.3s
[12:49:48] copies=590000 rate=70178/s BW=18.4 GB/s elapsed=8.4s
[12:49:48] copies=600000 rate=70155/s BW=18.4 GB/s elapsed=8.6s
[12:49:48] copies=610000 rate=70132/s BW=18.4 GB/s elapsed=8.7s
[12:49:48] copies=620000 rate=70110/s BW=18.4 GB/s elapsed=8.8s
[12:49:49] copies=630000 rate=70088/s BW=18.4 GB/s elapsed=9.0s
[12:49:49] copies=640000 rate=70068/s BW=18.4 GB/s elapsed=9.1s
[12:49:49] copies=650000 rate=70047/s BW=18.4 GB/s elapsed=9.3s
[12:49:49] copies=660000 rate=70028/s BW=18.4 GB/s elapsed=9.4s
[12:49:49] copies=670000 rate=70009/s BW=18.4 GB/s elapsed=9.6s
[12:49:49] copies=680000 rate=69991/s BW=18.3 GB/s elapsed=9.7s
[12:49:49] copies=690000 rate=69973/s BW=18.3 GB/s elapsed=9.9s
[12:49:50] copies=700000 rate=69956/s BW=18.3 GB/s elapsed=10.0s
[12:49:50] copies=710000 rate=69940/s BW=18.3 GB/s elapsed=10.2s
[12:49:50] copies=720000 rate=69923/s BW=18.3 GB/s elapsed=10.3s
[12:49:50] copies=730000 rate=69907/s BW=18.3 GB/s elapsed=10.4s
[12:49:50] copies=740000 rate=69892/s BW=18.3 GB/s elapsed=10.6s
[12:49:50] copies=750000 rate=69877/s BW=18.3 GB/s elapsed=10.7s
[12:49:50] copies=760000 rate=69862/s BW=18.3 GB/s elapsed=10.9s
[12:49:51] copies=770000 rate=69848/s BW=18.3 GB/s elapsed=11.0s
[12:49:51] copies=780000 rate=69835/s BW=18.3 GB/s elapsed=11.2s
[12:49:51] copies=790000 rate=69821/s BW=18.3 GB/s elapsed=11.3s
[12:49:51] copies=800000 rate=69808/s BW=18.3 GB/s elapsed=11.5s
[12:49:51] copies=810000 rate=69795/s BW=18.3 GB/s elapsed=11.6s
[12:49:51] copies=820000 rate=69783/s BW=18.3 GB/s elapsed=11.8s
[12:49:51] copies=830000 rate=69771/s BW=18.3 GB/s elapsed=11.9s
[12:49:52] copies=840000 rate=69760/s BW=18.3 GB/s elapsed=12.0s
[12:49:52] copies=850000 rate=69748/s BW=18.3 GB/s elapsed=12.2s
[12:49:52] copies=860000 rate=69737/s BW=18.3 GB/s elapsed=12.3s
