[12:48:20] allocating 2× 128 KB buffers
[12:48:21] entering high-launch-rate memcpy loop
[12:48:21] copies=10000 rate=123282/s BW=32.3 GB/s elapsed=0.1s
[12:48:21] copies=20000 rate=125310/s BW=32.8 GB/s elapsed=0.2s
[12:48:21] copies=30000 rate=124845/s BW=32.7 GB/s elapsed=0.2s
[12:48:21] copies=40000 rate=126197/s BW=33.1 GB/s elapsed=0.3s
[12:48:21] copies=50000 rate=125353/s BW=32.9 GB/s elapsed=0.4s
[12:48:21] copies=60000 rate=126153/s BW=33.1 GB/s elapsed=0.5s
[12:48:21] copies=70000 rate=124700/s BW=32.7 GB/s elapsed=0.6s
[12:48:22] copies=80000 rate=119457/s BW=31.3 GB/s elapsed=0.7s
[12:48:22] copies=90000 rate=117720/s BW=30.9 GB/s elapsed=0.8s
[12:48:22] copies=100000 rate=114371/s BW=30.0 GB/s elapsed=0.9s
[12:48:22] copies=110000 rate=112469/s BW=29.5 GB/s elapsed=1.0s
[12:48:22] copies=120000 rate=111287/s BW=29.2 GB/s elapsed=1.1s
[12:48:22] copies=130000 rate=109994/s BW=28.8 GB/s elapsed=1.2s
[12:48:22] copies=140000 rate=109270/s BW=28.6 GB/s elapsed=1.3s
[12:48:22] copies=150000 rate=107846/s BW=28.3 GB/s elapsed=1.4s
[12:48:22] copies=160000 rate=106730/s BW=28.0 GB/s elapsed=1.5s
[12:48:22] copies=170000 rate=105650/s BW=27.7 GB/s elapsed=1.6s
[12:48:23] copies=180000 rate=103827/s BW=27.2 GB/s elapsed=1.7s
[12:48:23] copies=190000 rate=102947/s BW=27.0 GB/s elapsed=1.8s
[12:48:23] copies=200000 rate=100442/s BW=26.3 GB/s elapsed=2.0s
[12:48:23] copies=210000 rate=98282/s BW=25.8 GB/s elapsed=2.1s
[12:48:23] copies=220000 rate=96394/s BW=25.3 GB/s elapsed=2.3s
[12:48:23] copies=230000 rate=94733/s BW=24.8 GB/s elapsed=2.4s
[12:48:23] copies=240000 rate=93255/s BW=24.4 GB/s elapsed=2.6s
[12:48:24] copies=250000 rate=91944/s BW=24.1 GB/s elapsed=2.7s
[12:48:24] copies=260000 rate=90758/s BW=23.8 GB/s elapsed=2.9s
[12:48:24] copies=270000 rate=89690/s BW=23.5 GB/s elapsed=3.0s
[12:48:24] copies=280000 rate=88718/s BW=23.3 GB/s elapsed=3.2s
[12:48:24] copies=290000 rate=87829/s BW=23.0 GB/s elapsed=3.3s
[12:48:24] copies=300000 rate=87025/s BW=22.8 GB/s elapsed=3.4s
[12:48:24] copies=310000 rate=86285/s BW=22.6 GB/s elapsed=3.6s
[12:48:25] copies=320000 rate=85603/s BW=22.4 GB/s elapsed=3.7s
[12:48:25] copies=330000 rate=84973/s BW=22.3 GB/s elapsed=3.9s
[12:48:25] copies=340000 rate=84389/s BW=22.1 GB/s elapsed=4.0s
[12:48:25] copies=350000 rate=83845/s BW=22.0 GB/s elapsed=4.2s
[12:48:25] copies=360000 rate=83337/s BW=21.8 GB/s elapsed=4.3s
[12:48:25] copies=370000 rate=82866/s BW=21.7 GB/s elapsed=4.5s
[12:48:25] copies=380000 rate=82424/s BW=21.6 GB/s elapsed=4.6s
[12:48:26] copies=390000 rate=82008/s BW=21.5 GB/s elapsed=4.8s
[12:48:26] copies=400000 rate=81617/s BW=21.4 GB/s elapsed=4.9s
[12:48:26] copies=410000 rate=81249/s BW=21.3 GB/s elapsed=5.0s
[12:48:26] copies=420000 rate=80901/s BW=21.2 GB/s elapsed=5.2s
[12:48:26] copies=430000 rate=80571/s BW=21.1 GB/s elapsed=5.3s
[12:48:26] copies=440000 rate=80259/s BW=21.0 GB/s elapsed=5.5s
[12:48:26] copies=450000 rate=79960/s BW=21.0 GB/s elapsed=5.6s
[12:48:27] copies=460000 rate=79676/s BW=20.9 GB/s elapsed=5.8s
[12:48:27] copies=470000 rate=79410/s BW=20.8 GB/s elapsed=5.9s
[12:48:27] copies=480000 rate=79155/s BW=20.8 GB/s elapsed=6.1s
[12:48:27] copies=490000 rate=78910/s BW=20.7 GB/s elapsed=6.2s
[12:48:27] copies=500000 rate=78677/s BW=20.6 GB/s elapsed=6.4s
[12:48:27] copies=510000 rate=78456/s BW=20.6 GB/s elapsed=6.5s
[12:48:27] copies=520000 rate=78244/s BW=20.5 GB/s elapsed=6.6s
[12:48:28] copies=530000 rate=78042/s BW=20.5 GB/s elapsed=6.8s
[12:48:28] copies=540000 rate=77848/s BW=20.4 GB/s elapsed=6.9s
[12:48:28] copies=550000 rate=77662/s BW=20.4 GB/s elapsed=7.1s
[12:48:28] copies=560000 rate=77485/s BW=20.3 GB/s elapsed=7.2s
[12:48:28] copies=570000 rate=77314/s BW=20.3 GB/s elapsed=7.4s
[12:48:28] copies=580000 rate=77149/s BW=20.2 GB/s elapsed=7.5s
[12:48:29] copies=590000 rate=76990/s BW=20.2 GB/s elapsed=7.7s
[12:48:29] copies=600000 rate=76837/s BW=20.1 GB/s elapsed=7.8s
[12:48:29] copies=610000 rate=76690/s BW=20.1 GB/s elapsed=8.0s
[12:48:29] copies=620000 rate=76548/s BW=20.1 GB/s elapsed=8.1s
[12:48:29] copies=630000 rate=76411/s BW=20.0 GB/s elapsed=8.2s
[12:48:29] copies=640000 rate=76279/s BW=20.0 GB/s elapsed=8.4s
[12:48:29] copies=650000 rate=76151/s BW=20.0 GB/s elapsed=8.5s
[12:48:30] copies=660000 rate=76028/s BW=19.9 GB/s elapsed=8.7s
[12:48:30] copies=670000 rate=75908/s BW=19.9 GB/s elapsed=8.8s
[12:48:30] copies=680000 rate=75793/s BW=19.9 GB/s elapsed=9.0s
[12:48:30] copies=690000 rate=75681/s BW=19.8 GB/s elapsed=9.1s
[12:48:30] copies=700000 rate=75573/s BW=19.8 GB/s elapsed=9.3s
[12:48:30] copies=710000 rate=75468/s BW=19.8 GB/s elapsed=9.4s
[12:48:30] copies=720000 rate=75366/s BW=19.8 GB/s elapsed=9.6s
[12:48:31] copies=730000 rate=75267/s BW=19.7 GB/s elapsed=9.7s
[12:48:31] copies=740000 rate=75172/s BW=19.7 GB/s elapsed=9.8s
[12:48:31] copies=750000 rate=75079/s BW=19.7 GB/s elapsed=10.0s
[12:48:31] copies=760000 rate=74989/s BW=19.7 GB/s elapsed=10.1s
[12:48:31] copies=770000 rate=74901/s BW=19.6 GB/s elapsed=10.3s
[12:48:31] copies=780000 rate=74816/s BW=19.6 GB/s elapsed=10.4s
[12:48:31] copies=790000 rate=74733/s BW=19.6 GB/s elapsed=10.6s
[12:48:32] copies=800000 rate=74652/s BW=19.6 GB/s elapsed=10.7s
[12:48:32] copies=810000 rate=74573/s BW=19.5 GB/s elapsed=10.9s
[12:48:32] copies=820000 rate=74497/s BW=19.5 GB/s elapsed=11.0s
[12:48:32] copies=830000 rate=74422/s BW=19.5 GB/s elapsed=11.2s
[12:48:32] copies=840000 rate=74349/s BW=19.5 GB/s elapsed=11.3s
[12:48:32] copies=850000 rate=74279/s BW=19.5 GB/s elapsed=11.4s
[12:48:32] copies=860000 rate=74211/s BW=19.5 GB/s elapsed=11.6s
[12:48:33] copies=870000 rate=74144/s BW=19.4 GB/s elapsed=11.7s
[12:48:33] copies=880000 rate=74078/s BW=19.4 GB/s elapsed=11.9s
[12:48:33] copies=890000 rate=74014/s BW=19.4 GB/s elapsed=12.0s
[12:48:33] copies=900000 rate=73952/s BW=19.4 GB/s elapsed=12.2s
[12:48:33] copies=910000 rate=73891/s BW=19.4 GB/s elapsed=12.3s
[12:48:33] copies=920000 rate=73831/s BW=19.4 GB/s elapsed=12.5s
[12:48:33] copies=930000 rate=73772/s BW=19.3 GB/s elapsed=12.6s
[12:48:34] copies=940000 rate=73716/s BW=19.3 GB/s elapsed=12.8s
[12:48:34] copies=950000 rate=73661/s BW=19.3 GB/s elapsed=12.9s
[12:48:34] copies=960000 rate=73606/s BW=19.3 GB/s elapsed=13.0s
[12:48:34] copies=970000 rate=73553/s BW=19.3 GB/s elapsed=13.2s
[12:48:34] copies=980000 rate=73501/s BW=19.3 GB/s elapsed=13.3s
[12:48:34] copies=990000 rate=73450/s BW=19.3 GB/s elapsed=13.5s
[12:48:34] copies=1000000 rate=73400/s BW=19.2 GB/s elapsed=13.6s
[12:48:35] copies=1010000 rate=73351/s BW=19.2 GB/s elapsed=13.8s
[12:48:35] copies=1020000 rate=73303/s BW=19.2 GB/s elapsed=13.9s
[12:48:35] copies=1030000 rate=73254/s BW=19.2 GB/s elapsed=14.1s
[12:48:35] copies=1040000 rate=73208/s BW=19.2 GB/s elapsed=14.2s
[12:48:35] copies=1050000 rate=73163/s BW=19.2 GB/s elapsed=14.4s
