[12:53:10] allocating 2× 128 KB buffers
[12:53:11] entering high-launch-rate memcpy loop
[12:53:11] copies=10000 rate=131154/s BW=34.4 GB/s elapsed=0.1s
[12:53:11] copies=20000 rate=130691/s BW=34.3 GB/s elapsed=0.2s
[12:53:11] copies=30000 rate=128795/s BW=33.8 GB/s elapsed=0.2s
[12:53:11] copies=40000 rate=128972/s BW=33.8 GB/s elapsed=0.3s
[12:53:11] copies=50000 rate=128755/s BW=33.8 GB/s elapsed=0.4s
[12:53:11] copies=60000 rate=129520/s BW=34.0 GB/s elapsed=0.5s
[12:53:11] copies=70000 rate=129944/s BW=34.1 GB/s elapsed=0.5s
[12:53:11] copies=80000 rate=130257/s BW=34.1 GB/s elapsed=0.6s
[12:53:11] copies=90000 rate=130397/s BW=34.2 GB/s elapsed=0.7s
[12:53:11] copies=100000 rate=130525/s BW=34.2 GB/s elapsed=0.8s
[12:53:12] copies=110000 rate=130647/s BW=34.2 GB/s elapsed=0.8s
[12:53:12] copies=120000 rate=130903/s BW=34.3 GB/s elapsed=0.9s
[12:53:12] copies=130000 rate=130903/s BW=34.3 GB/s elapsed=1.0s
[12:53:12] copies=140000 rate=130946/s BW=34.3 GB/s elapsed=1.1s
[12:53:12] copies=150000 rate=130963/s BW=34.3 GB/s elapsed=1.1s
[12:53:12] copies=160000 rate=130990/s BW=34.3 GB/s elapsed=1.2s
[12:53:12] copies=170000 rate=131022/s BW=34.3 GB/s elapsed=1.3s
[12:53:12] copies=180000 rate=131034/s BW=34.3 GB/s elapsed=1.4s
[12:53:12] copies=190000 rate=131053/s BW=34.4 GB/s elapsed=1.4s
[12:53:12] copies=200000 rate=131088/s BW=34.4 GB/s elapsed=1.5s
[12:53:12] copies=210000 rate=131106/s BW=34.4 GB/s elapsed=1.6s
[12:53:12] copies=220000 rate=131082/s BW=34.4 GB/s elapsed=1.7s
[12:53:12] copies=230000 rate=131089/s BW=34.4 GB/s elapsed=1.8s
[12:53:13] copies=240000 rate=131082/s BW=34.4 GB/s elapsed=1.8s
[12:53:13] copies=250000 rate=131120/s BW=34.4 GB/s elapsed=1.9s
[12:53:13] copies=260000 rate=131169/s BW=34.4 GB/s elapsed=2.0s
[12:53:13] copies=270000 rate=131176/s BW=34.4 GB/s elapsed=2.1s
[12:53:13] copies=280000 rate=131200/s BW=34.4 GB/s elapsed=2.1s
[12:53:13] copies=290000 rate=131228/s BW=34.4 GB/s elapsed=2.2s
[12:53:13] copies=300000 rate=131258/s BW=34.4 GB/s elapsed=2.3s
[12:53:13] copies=310000 rate=131303/s BW=34.4 GB/s elapsed=2.4s
[12:53:13] copies=320000 rate=131340/s BW=34.4 GB/s elapsed=2.4s
[12:53:13] copies=330000 rate=131331/s BW=34.4 GB/s elapsed=2.5s
[12:53:13] copies=340000 rate=131349/s BW=34.4 GB/s elapsed=2.6s
[12:53:13] copies=350000 rate=131363/s BW=34.4 GB/s elapsed=2.7s
[12:53:13] copies=360000 rate=131371/s BW=34.4 GB/s elapsed=2.7s
[12:53:13] copies=370000 rate=131377/s BW=34.4 GB/s elapsed=2.8s
[12:53:14] copies=380000 rate=131386/s BW=34.4 GB/s elapsed=2.9s
[12:53:14] copies=390000 rate=131391/s BW=34.4 GB/s elapsed=3.0s
[12:53:14] copies=400000 rate=131401/s BW=34.4 GB/s elapsed=3.0s
[12:53:14] copies=410000 rate=131403/s BW=34.4 GB/s elapsed=3.1s
[12:53:14] copies=420000 rate=131400/s BW=34.4 GB/s elapsed=3.2s
[12:53:14] copies=430000 rate=131405/s BW=34.4 GB/s elapsed=3.3s
[12:53:14] copies=440000 rate=131404/s BW=34.4 GB/s elapsed=3.3s
[12:53:14] copies=450000 rate=131571/s BW=34.5 GB/s elapsed=3.4s
[12:53:14] copies=460000 rate=131663/s BW=34.5 GB/s elapsed=3.5s
[12:53:14] copies=470000 rate=131663/s BW=34.5 GB/s elapsed=3.6s
[12:53:14] copies=480000 rate=131665/s BW=34.5 GB/s elapsed=3.6s
[12:53:14] copies=490000 rate=131668/s BW=34.5 GB/s elapsed=3.7s
[12:53:14] copies=500000 rate=131673/s BW=34.5 GB/s elapsed=3.8s
[12:53:15] copies=510000 rate=131676/s BW=34.5 GB/s elapsed=3.9s
[12:53:15] copies=520000 rate=131683/s BW=34.5 GB/s elapsed=3.9s
[12:53:15] copies=530000 rate=131669/s BW=34.5 GB/s elapsed=4.0s
[12:53:15] copies=540000 rate=131712/s BW=34.5 GB/s elapsed=4.1s
[12:53:15] copies=550000 rate=131715/s BW=34.5 GB/s elapsed=4.2s
[12:53:15] copies=560000 rate=131717/s BW=34.5 GB/s elapsed=4.3s
[12:53:15] copies=570000 rate=131720/s BW=34.5 GB/s elapsed=4.3s
[12:53:15] copies=580000 rate=131725/s BW=34.5 GB/s elapsed=4.4s
[12:53:15] copies=590000 rate=131730/s BW=34.5 GB/s elapsed=4.5s
[12:53:15] copies=600000 rate=131737/s BW=34.5 GB/s elapsed=4.6s
[12:53:15] copies=610000 rate=131748/s BW=34.5 GB/s elapsed=4.6s
[12:53:15] copies=620000 rate=131748/s BW=34.5 GB/s elapsed=4.7s
[12:53:15] copies=630000 rate=131748/s BW=34.5 GB/s elapsed=4.8s
[12:53:16] copies=640000 rate=131759/s BW=34.5 GB/s elapsed=4.9s
[12:53:16] copies=650000 rate=131763/s BW=34.5 GB/s elapsed=4.9s
[12:53:16] copies=660000 rate=131766/s BW=34.5 GB/s elapsed=5.0s
[12:53:16] copies=670000 rate=131765/s BW=34.5 GB/s elapsed=5.1s
[12:53:16] copies=680000 rate=131764/s BW=34.5 GB/s elapsed=5.2s
[12:53:16] copies=690000 rate=131765/s BW=34.5 GB/s elapsed=5.2s
[12:53:16] copies=700000 rate=131768/s BW=34.5 GB/s elapsed=5.3s
[12:53:16] copies=710000 rate=131771/s BW=34.5 GB/s elapsed=5.4s
[12:53:16] copies=720000 rate=131775/s BW=34.5 GB/s elapsed=5.5s
[12:53:16] copies=730000 rate=131776/s BW=34.5 GB/s elapsed=5.5s
[12:53:16] copies=740000 rate=131790/s BW=34.5 GB/s elapsed=5.6s
[12:53:16] copies=750000 rate=131794/s BW=34.5 GB/s elapsed=5.7s
[12:53:16] copies=760000 rate=131795/s BW=34.5 GB/s elapsed=5.8s
[12:53:17] copies=770000 rate=131796/s BW=34.5 GB/s elapsed=5.8s
[12:53:17] copies=780000 rate=131799/s BW=34.6 GB/s elapsed=5.9s
[12:53:17] copies=790000 rate=131787/s BW=34.5 GB/s elapsed=6.0s
[12:53:17] copies=800000 rate=131790/s BW=34.5 GB/s elapsed=6.1s
[12:53:17] copies=810000 rate=131793/s BW=34.5 GB/s elapsed=6.1s
[12:53:17] copies=820000 rate=131799/s BW=34.6 GB/s elapsed=6.2s
[12:53:17] copies=830000 rate=131803/s BW=34.6 GB/s elapsed=6.3s
[12:53:17] copies=840000 rate=131807/s BW=34.6 GB/s elapsed=6.4s
[12:53:17] copies=850000 rate=131809/s BW=34.6 GB/s elapsed=6.4s
[12:53:17] copies=860000 rate=131810/s BW=34.6 GB/s elapsed=6.5s
[12:53:17] copies=870000 rate=131813/s BW=34.6 GB/s elapsed=6.6s
[12:53:17] copies=880000 rate=131817/s BW=34.6 GB/s elapsed=6.7s
[12:53:17] copies=890000 rate=131821/s BW=34.6 GB/s elapsed=6.8s
[12:53:17] copies=900000 rate=131825/s BW=34.6 GB/s elapsed=6.8s
[12:53:18] copies=910000 rate=131826/s BW=34.6 GB/s elapsed=6.9s
[12:53:18] copies=920000 rate=131826/s BW=34.6 GB/s elapsed=7.0s
[12:53:18] copies=930000 rate=131824/s BW=34.6 GB/s elapsed=7.1s
[12:53:18] copies=940000 rate=131821/s BW=34.6 GB/s elapsed=7.1s
[12:53:18] copies=950000 rate=131819/s BW=34.6 GB/s elapsed=7.2s
[12:53:18] copies=960000 rate=131819/s BW=34.6 GB/s elapsed=7.3s
[12:53:18] copies=970000 rate=131817/s BW=34.6 GB/s elapsed=7.4s
[12:53:18] copies=980000 rate=131815/s BW=34.6 GB/s elapsed=7.4s
[12:53:18] copies=990000 rate=131811/s BW=34.6 GB/s elapsed=7.5s
[12:53:18] copies=1000000 rate=131811/s BW=34.6 GB/s elapsed=7.6s
[12:53:18] copies=1010000 rate=131811/s BW=34.6 GB/s elapsed=7.7s
[12:53:18] copies=1020000 rate=131810/s BW=34.6 GB/s elapsed=7.7s
[12:53:18] copies=1030000 rate=131808/s BW=34.6 GB/s elapsed=7.8s
[12:53:19] copies=1040000 rate=131807/s BW=34.6 GB/s elapsed=7.9s
[12:53:19] copies=1050000 rate=131805/s BW=34.6 GB/s elapsed=8.0s
[12:53:19] copies=1060000 rate=131805/s BW=34.6 GB/s elapsed=8.0s
[12:53:19] copies=1070000 rate=131803/s BW=34.6 GB/s elapsed=8.1s
[12:53:19] copies=1080000 rate=131802/s BW=34.6 GB/s elapsed=8.2s
[12:53:19] copies=1090000 rate=131800/s BW=34.6 GB/s elapsed=8.3s
[12:53:19] copies=1100000 rate=131801/s BW=34.6 GB/s elapsed=8.3s
[12:53:19] copies=1110000 rate=131799/s BW=34.6 GB/s elapsed=8.4s
[12:53:19] copies=1120000 rate=131799/s BW=34.6 GB/s elapsed=8.5s
[12:53:19] copies=1130000 rate=131789/s BW=34.5 GB/s elapsed=8.6s
[12:53:19] copies=1140000 rate=131789/s BW=34.5 GB/s elapsed=8.7s
[12:53:19] copies=1150000 rate=131788/s BW=34.5 GB/s elapsed=8.7s
[12:53:19] copies=1160000 rate=131790/s BW=34.5 GB/s elapsed=8.8s
[12:53:20] copies=1170000 rate=131789/s BW=34.5 GB/s elapsed=8.9s
[12:53:20] copies=1180000 rate=131787/s BW=34.5 GB/s elapsed=9.0s
[12:53:20] copies=1190000 rate=131784/s BW=34.5 GB/s elapsed=9.0s
[12:53:20] copies=1200000 rate=131785/s BW=34.5 GB/s elapsed=9.1s
[12:53:20] copies=1210000 rate=131782/s BW=34.5 GB/s elapsed=9.2s
[12:53:20] copies=1220000 rate=131781/s BW=34.5 GB/s elapsed=9.3s
[12:53:20] copies=1230000 rate=131776/s BW=34.5 GB/s elapsed=9.3s
[12:53:20] copies=1240000 rate=131772/s BW=34.5 GB/s elapsed=9.4s
[12:53:20] copies=1250000 rate=131768/s BW=34.5 GB/s elapsed=9.5s
[12:53:20] copies=1260000 rate=131768/s BW=34.5 GB/s elapsed=9.6s
[12:53:20] copies=1270000 rate=131766/s BW=34.5 GB/s elapsed=9.6s
[12:53:20] copies=1280000 rate=131771/s BW=34.5 GB/s elapsed=9.7s
[12:53:20] copies=1290000 rate=131773/s BW=34.5 GB/s elapsed=9.8s
[12:53:21] copies=1300000 rate=131774/s BW=34.5 GB/s elapsed=9.9s
[12:53:21] copies=1310000 rate=131773/s BW=34.5 GB/s elapsed=9.9s
[12:53:21] copies=1320000 rate=131772/s BW=34.5 GB/s elapsed=10.0s
[12:53:21] copies=1330000 rate=131772/s BW=34.5 GB/s elapsed=10.1s
[12:53:21] copies=1340000 rate=131775/s BW=34.5 GB/s elapsed=10.2s
[12:53:21] copies=1350000 rate=131776/s BW=34.5 GB/s elapsed=10.2s
[12:53:21] copies=1360000 rate=131779/s BW=34.5 GB/s elapsed=10.3s
[12:53:21] copies=1370000 rate=131782/s BW=34.5 GB/s elapsed=10.4s
[12:53:21] copies=1380000 rate=131784/s BW=34.5 GB/s elapsed=10.5s
