[12:58:54] allocating 2× 128 KB buffers
[12:58:54] entering high-launch-rate memcpy loop
[12:58:54] copies=10000 rate=131889/s BW=34.6 GB/s elapsed=0.1s
[12:58:54] copies=20000 rate=131370/s BW=34.4 GB/s elapsed=0.2s
[12:58:55] copies=30000 rate=130173/s BW=34.1 GB/s elapsed=0.2s
[12:58:55] copies=40000 rate=130598/s BW=34.2 GB/s elapsed=0.3s
[12:58:55] copies=50000 rate=131038/s BW=34.4 GB/s elapsed=0.4s
[12:58:55] copies=60000 rate=131248/s BW=34.4 GB/s elapsed=0.5s
[12:58:55] copies=70000 rate=126591/s BW=33.2 GB/s elapsed=0.6s
[12:58:55] copies=80000 rate=127562/s BW=33.4 GB/s elapsed=0.6s
[12:58:55] copies=90000 rate=128149/s BW=33.6 GB/s elapsed=0.7s
[12:58:55] copies=100000 rate=128647/s BW=33.7 GB/s elapsed=0.8s
[12:58:55] copies=110000 rate=128637/s BW=33.7 GB/s elapsed=0.9s
[12:58:55] copies=120000 rate=129610/s BW=34.0 GB/s elapsed=0.9s
[12:58:55] copies=130000 rate=126506/s BW=33.2 GB/s elapsed=1.0s
[12:58:55] copies=140000 rate=126309/s BW=33.1 GB/s elapsed=1.1s
[12:58:55] copies=150000 rate=126810/s BW=33.2 GB/s elapsed=1.2s
[12:58:56] copies=160000 rate=127000/s BW=33.3 GB/s elapsed=1.3s
[12:58:56] copies=170000 rate=126734/s BW=33.2 GB/s elapsed=1.3s
[12:58:56] copies=180000 rate=127026/s BW=33.3 GB/s elapsed=1.4s
[12:58:56] copies=190000 rate=127381/s BW=33.4 GB/s elapsed=1.5s
[12:58:56] copies=200000 rate=127588/s BW=33.4 GB/s elapsed=1.6s
[12:58:56] copies=210000 rate=127883/s BW=33.5 GB/s elapsed=1.6s
[12:58:56] copies=220000 rate=128151/s BW=33.6 GB/s elapsed=1.7s
[12:58:56] copies=230000 rate=128300/s BW=33.6 GB/s elapsed=1.8s
[12:58:56] copies=240000 rate=127921/s BW=33.5 GB/s elapsed=1.9s
[12:58:56] copies=250000 rate=128164/s BW=33.6 GB/s elapsed=2.0s
[12:58:56] copies=260000 rate=128387/s BW=33.7 GB/s elapsed=2.0s
[12:58:56] copies=270000 rate=128309/s BW=33.6 GB/s elapsed=2.1s
[12:58:56] copies=280000 rate=128499/s BW=33.7 GB/s elapsed=2.2s
[12:58:57] copies=290000 rate=128664/s BW=33.7 GB/s elapsed=2.3s
[12:58:57] copies=300000 rate=128819/s BW=33.8 GB/s elapsed=2.3s
[12:58:57] copies=310000 rate=128959/s BW=33.8 GB/s elapsed=2.4s
[12:58:57] copies=320000 rate=129077/s BW=33.8 GB/s elapsed=2.5s
[12:58:57] copies=330000 rate=129177/s BW=33.9 GB/s elapsed=2.6s
[12:58:57] copies=340000 rate=129287/s BW=33.9 GB/s elapsed=2.6s
[12:58:57] copies=350000 rate=129393/s BW=33.9 GB/s elapsed=2.7s
[12:58:57] copies=360000 rate=129498/s BW=33.9 GB/s elapsed=2.8s
[12:58:57] copies=370000 rate=129587/s BW=34.0 GB/s elapsed=2.9s
[12:58:57] copies=380000 rate=129676/s BW=34.0 GB/s elapsed=2.9s
[12:58:57] copies=390000 rate=129760/s BW=34.0 GB/s elapsed=3.0s
[12:58:57] copies=400000 rate=129843/s BW=34.0 GB/s elapsed=3.1s
[12:58:57] copies=410000 rate=129924/s BW=34.1 GB/s elapsed=3.2s
[12:58:58] copies=420000 rate=129998/s BW=34.1 GB/s elapsed=3.2s
[12:58:58] copies=430000 rate=130068/s BW=34.1 GB/s elapsed=3.3s
[12:58:58] copies=440000 rate=130137/s BW=34.1 GB/s elapsed=3.4s
[12:58:58] copies=450000 rate=130198/s BW=34.1 GB/s elapsed=3.5s
[12:58:58] copies=460000 rate=130258/s BW=34.1 GB/s elapsed=3.5s
[12:58:58] copies=470000 rate=130315/s BW=34.2 GB/s elapsed=3.6s
[12:58:58] copies=480000 rate=130370/s BW=34.2 GB/s elapsed=3.7s
[12:58:58] copies=490000 rate=130420/s BW=34.2 GB/s elapsed=3.8s
[12:58:58] copies=500000 rate=130471/s BW=34.2 GB/s elapsed=3.8s
[12:58:58] copies=510000 rate=130518/s BW=34.2 GB/s elapsed=3.9s
[12:58:58] copies=520000 rate=130564/s BW=34.2 GB/s elapsed=4.0s
[12:58:58] copies=530000 rate=130595/s BW=34.2 GB/s elapsed=4.1s
[12:58:58] copies=540000 rate=130641/s BW=34.2 GB/s elapsed=4.1s
[12:58:59] copies=550000 rate=130685/s BW=34.3 GB/s elapsed=4.2s
[12:58:59] copies=560000 rate=130727/s BW=34.3 GB/s elapsed=4.3s
[12:58:59] copies=570000 rate=130764/s BW=34.3 GB/s elapsed=4.4s
[12:58:59] copies=580000 rate=130798/s BW=34.3 GB/s elapsed=4.4s
[12:58:59] copies=590000 rate=130838/s BW=34.3 GB/s elapsed=4.5s
[12:58:59] copies=600000 rate=130876/s BW=34.3 GB/s elapsed=4.6s
[12:58:59] copies=610000 rate=130910/s BW=34.3 GB/s elapsed=4.7s
[12:58:59] copies=620000 rate=130943/s BW=34.3 GB/s elapsed=4.7s
[12:58:59] copies=630000 rate=131075/s BW=34.4 GB/s elapsed=4.8s
[12:58:59] copies=640000 rate=131105/s BW=34.4 GB/s elapsed=4.9s
[12:58:59] copies=650000 rate=131143/s BW=34.4 GB/s elapsed=5.0s
[12:58:59] copies=660000 rate=131183/s BW=34.4 GB/s elapsed=5.0s
[12:58:59] copies=670000 rate=131219/s BW=34.4 GB/s elapsed=5.1s
[12:58:59] copies=680000 rate=131258/s BW=34.4 GB/s elapsed=5.2s
[12:59:00] copies=690000 rate=131295/s BW=34.4 GB/s elapsed=5.3s
[12:59:00] copies=700000 rate=131331/s BW=34.4 GB/s elapsed=5.3s
[12:59:00] copies=710000 rate=131367/s BW=34.4 GB/s elapsed=5.4s
[12:59:00] copies=720000 rate=131402/s BW=34.4 GB/s elapsed=5.5s
[12:59:00] copies=730000 rate=131435/s BW=34.5 GB/s elapsed=5.6s
[12:59:00] copies=740000 rate=131467/s BW=34.5 GB/s elapsed=5.6s
[12:59:00] copies=750000 rate=131497/s BW=34.5 GB/s elapsed=5.7s
[12:59:00] copies=760000 rate=131528/s BW=34.5 GB/s elapsed=5.8s
