gap_ns,prev_end_ns,next_start_ns,prev_kernel,next_kernel,ai_events_within_1ms
1039607,1780240220431740671,1780240220432780278,convert_kernel,windowedChEstPreNoDftSOfdmKernel,A3_M5c_resnet_ai/kernel/17/batch_norm_transform_input_kernel
1038103,1780240217710366400,1780240217711404503,convert_kernel,windowedChEstPreNoDftSOfdmKernel,A3_M5c_resnet_ai/kernel/24/batch_norm_transform_input_kernel
1036791,1780240220296660645,1780240220297697436,convert_kernel,windowedChEstPreNoDftSOfdmKernel,A3_M5c_resnet_ai/kernel/28/vectorized_elementwise_kernel
1035959,1780240217552322746,1780240217553358705,convert_kernel,windowedChEstPreNoDftSOfdmKernel,A3_M5c_resnet_ai/kernel/18/ampere_fp16_s16816gemm_fp16_128x128_ldg8_f2f_stages_32x5_nn
1035927,1780240218219342268,1780240218220378195,convert_kernel,windowedChEstPreNoDftSOfdmKernel,A3_M5c_resnet_ai/kernel/4/batch_norm_transform_input_kernel
1035255,1780240218420701539,1780240218421736794,convert_kernel,windowedChEstPreNoDftSOfdmKernel,A3_M5c_resnet_ai/kernel/7/batch_norm_transform_input_kernel
1030519,1780240220318844513,1780240220319875032,convert_kernel,windowedChEstPreNoDftSOfdmKernel,A3_M5c_resnet_ai/kernel/14/vectorized_elementwise_kernel
1026071,1780240220314607591,1780240220315633662,convert_kernel,windowedChEstPreNoDftSOfdmKernel,A3_M5c_resnet_ai/kernel/10/nhwcToNchwKernel
1022263,1780240217976021899,1780240217977044162,convert_kernel,windowedChEstPreNoDftSOfdmKernel,A3_M5c_resnet_ai/kernel/6/batch_norm_transform_input_kernel
1020919,1780240216459193693,1780240216460214612,convert_kernel,windowedChEstPreNoDftSOfdmKernel,A3_M5c_resnet_ai/kernel/12/batch_norm_transform_input_kernel
1019351,1780240217641822848,1780240217642842199,convert_kernel,windowedChEstPreNoDftSOfdmKernel,A3_M5c_resnet_ai/kernel/14/batch_norm_transform_input_kernel
1015959,1780240216760878664,1780240216761894623,convert_kernel,windowedChEstPreNoDftSOfdmKernel,A3_M5c_resnet_ai/kernel/16/vectorized_elementwise_kernel
