gap_ns,prev_end_ns,next_start_ns,prev_kernel,next_kernel,ai_events_within_1ms
1397076,1780240306649644840,1780240306651041916,convert_kernel,windowedChEstPreNoDftSOfdmKernel,A4_M8a_forecaster_ai/kernel/19/ampere_sgemm_32x128_tn;A4_M8a_resnet_ai/kernel/10/vectorized_elementwise_kernel
1390708,1780240306599365336,1780240306600756044,convert_kernel,windowedChEstPreNoDftSOfdmKernel,A4_M8a_forecaster_ai/kernel/4/ampere_sgemm_64x64_tn;A4_M8a_resnet_ai/kernel/7/vectorized_elementwise_kernel
1383860,1780240306740469883,1780240306741853743,cupy_copy__float32_float32,convert_kernel,A4_M8a_forecaster_ai/kernel/5/globalKernel;A4_M8a_resnet_ai/kernel/10/nhwcToNchwKernel
1360564,1780240306625722006,1780240306627082570,convert_kernel,windowedChEstPreNoDftSOfdmKernel,A4_M8a_forecaster_ai/kernel/9/ampere_sgemm_32x128_tn;A4_M8a_resnet_ai/kernel/23/Kernel
1327828,1780240306532642198,1780240306533970026,convert_kernel,eqMmseCoefCompLowMimoKernel,A4_M8a_forecaster_ai/kernel/10/ampere_sgemm_128x128_tt;A4_M8a_resnet_ai/kernel/34/batch_norm_transform_input_kernel
1327156,1780240306633150902,1780240306634478058,cupy_copy__complex64_complex64,convert_kernel,A4_M8a_forecaster_ai/kernel/10/ampere_sgemm_128x128_tt;A4_M8a_resnet_ai/kernel/31/Kernel
1314836,1780240306723767755,1780240306725082591,convert_kernel,windowedChEstPreNoDftSOfdmKernel,A4_M8a_forecaster_ai/kernel/3/ampere_sgemm_64x64_tn;A4_M8a_resnet_ai/kernel/21/vectorized_elementwise_kernel
1290421,1780240306602596828,1780240306603887249,cupy_copy__complex64_complex64,convert_kernel,A4_M8a_forecaster_ai/kernel/7/fmha_cutlassF_f32_aligned_64x64_rf_sm80;A4_M8a_resnet_ai/kernel/5/ampere_fp16_s1688gemm_fp16_256x64_ldg8_f2f_nn
1269749,1780240306667773580,1780240306669043329,cupy_copy__float32_float32,convert_kernel,A4_M8a_forecaster_ai/kernel/4/vectorized_layer_norm_kernel;A4_M8a_resnet_ai/kernel/19/vectorized_elementwise_kernel
1263413,1780240306677209179,1780240306678472592,convert_kernel,eqMmseCoefCompLowMimoKernel,A4_M8a_forecaster_ai/kernel/7/vectorized_layer_norm_kernel;A4_M8a_resnet_ai/kernel/22/batch_norm_transform_input_kernel
1263221,1780240306594895839,1780240306596159060,convert_kernel,windowedChEstPreNoDftSOfdmKernel,A4_M8a_forecaster_ai/kernel/3/ampere_sgemm_64x64_tn;A4_M8a_resnet_ai/kernel/7/vectorized_elementwise_kernel
1247446,1780240306748127257,1780240306749374703,cupy_copy__complex64_complex64,convert_kernel,A4_M8a_forecaster_ai/kernel/4/vectorized_layer_norm_kernel;A4_M8a_resnet_ai/kernel/7/batch_norm_transform_input_kernel
1245270,1780240306746837220,1780240306748082490,convert_kernel,windowedChEstPreNoDftSOfdmKernel,A4_M8a_forecaster_ai/kernel/6/ampere_sgemm_128x64_tn;A4_M8a_resnet_ai/kernel/6/vectorized_elementwise_kernel
1242422,1780240306637148147,1780240306638390569,cupy_copy__float32_float32,convert_kernel,A4_M8a_forecaster_ai/kernel/8/vectorized_elementwise_kernel;A4_M8a_resnet_ai/kernel/6/nhwcToNchwKernel
1232598,1780240306678805965,1780240306680038563,cupy_copy__complex64_complex64,convert_kernel,A4_M8a_forecaster_ai/kernel/6/ampere_sgemm_32x128_tn;A4_M8a_resnet_ai/kernel/24/batch_norm_transform_input_kernel
