scenario,n_runs,n_kernels,med_dur_us,p99_dur_us,med_gap_us,p95_gap_us,p99_gap_us,p999_gap_us,max_gap_us,idle_pct,burst_share_top1,longtail_p99_p50,longtail_p999_p99
E1_single_chanpred,1,48976.00,5.95,280.48,1.28,263.81,808.32,885.48,108279.39,74.05,0.34,631.50,1.10
E2_homo_chanpred,1,48976.00,5.95,280.19,1.25,278.82,871.22,1078.26,118089.66,74.16,0.28,698.09,1.24
E3_het_chanpred_resnet,1,48976.00,5.92,280.09,1.25,278.19,872.70,1120.24,115547.06,75.25,0.33,699.28,1.28
