phase,t_start,t_end,p99_us,p50_us,n_gaps
phase1_no_ai,0.0,30.5,939.3,1.3,192975
phase2_ai_on,30.5,72.2,0.0,0.0,0
phase3_ai_off,72.2,92.8,0.0,0.0,0
phase4_ai_on2,92.8,18.7,0.0,0.0,0
