t_sec,p99_gap_us,n_gaps
0.0,1395.7,13355
2.0,1396.2,18336
4.0,1394.6,18384
6.0,1396.1,18380
8.0,1396.8,18381
10.0,1396.1,18404
12.0,1395.7,18401
14.0,1396.9,18385
16.0,1397.0,17279
18.0,1395.8,16992
20.0,1396.1,16678
