scenario,condition,runs,kernel_busy_pct,all_activity_busy_pct,kernel_gap_p50_us,kernel_gap_p99_us,all_activity_gap_p99_us,big_kernel_gaps_ge_1ms,big_gaps_with_mem_pct,mean_mem_fraction_in_big_gaps_pct
S10_2g_alone,L1 2g alone,3,15.6,47.7,1.1,1443.8,242.6,682.0,96.7,87.5
S28_3g_resnet,L1 3g + ResNet,3,17.4,41.3,1.1,925.1,226.3,69.3,77.8,43.6
S2_7g_mig,L1 7g MIG alone,3,22.7,35.7,1.2,567.3,242.2,43.0,45.6,2.2
S31_3g_resnet_chanpred,L1 3g + ResNet+ChanPred,3,19.0,42.8,1.1,874.1,175.2,37.0,62.9,24.3
S32_3g_resnet_forecaster,L1 3g + ResNet+Forecaster,3,18.7,43.9,1.1,919.0,172.5,10.3,59.7,16.5
S34_4g_resnet,L1 4g + ResNet,3,18.8,41.7,1.3,818.6,171.1,10.7,48.3,11.4
S35_2g_chanpred,L1 2g + ChanPred,3,16.9,51.2,1.1,1403.5,175.1,650.0,99.1,92.2
S5_3g_alone,L1 3g alone,3,18.8,39.7,1.2,807.9,189.1,19.3,45.3,3.6
S7_3g_neuralrx,L1 3g + NeuralRx,3,16.3,40.5,1.2,985.7,228.9,83.0,72.4,37.8
