trial,config,mode,l1_active_mean_ms,l1_active_p50_ms,l1_active_p95_ms,l1_active_p99_ms,own_l1_baseline_mean_ms,l1_slowdown_x,nrx_mean_ms,transport_mean_us,e2e_mean_ms,e2e_p99_ms,completion_throughput_slots_s,qwen_iterations_last,qwen_itps_last
trial1,l1_only_4g,standalone,1.5899306654930114,1.583103984594345,1.6059904038906097,1.727969270348549,1.5899306654930114,1.0,,,1.6327694666666668,1.7688575100000001,611.9063888472963,825,10.22
trial1,same_overlap_4g,same,98.06097040772438,104.91391813755035,207.4201587677002,208.03899436950684,1.5899306654930114,61.67625578648568,104.464417775472,,206.82907706666668,313.27098927000003,9.509185844998711,825,10.22
trial1,l1_only_2g,standalone,2.3557119965553284,2.3551999926567078,2.3671295583248138,2.369239003062248,2.3557119965553284,1.0,,,2.4010643,2.41594871,416.20554560593075,928,10.23
trial1,cross_p2p_2g2g,p2p,3.2709631939729054,3.281407952308655,3.39717121720314,3.512780729532242,2.3557119965553284,1.38852423333409,105.8768211364746,110.91463333333333,208.63136266666666,213.73121435000002,9.424898893116907,928,10.23
trial2,l1_only_4g,standalone,1.5864832023779551,1.5856639742851257,1.6053759723901748,1.6134962850809098,1.5864832023779551,1.0,,,1.6312758333333333,1.65915046,612.4612092589273,825,10.23
trial2,same_overlap_4g,same,98.06892337203026,104.8780802488327,105.7259013056755,177.93095320582398,1.5864832023779551,61.81529260759664,104.35969696044921,,206.7493644,283.5297239700001,9.51283389691436,825,10.23
trial2,l1_only_2g,standalone,2.1775360107421875,2.1744640469551086,2.1995007932186126,2.208737289905548,2.1775360107421875,1.0,,,2.221714433333333,2.2520815200000004,449.789880657251,825,10.23
trial2,cross_p2p_2g2g,p2p,3.330969589948654,3.331071972846985,3.4876415610313414,3.767121870517731,2.1775360107421875,1.5296966725309549,105.94341583251953,111.5419,208.76960116666666,214.00605296,9.418710581648384,825,10.23
trial3,l1_only_4g,standalone,1.581055994828542,1.5795199871063232,1.592422392964363,1.6049766170978546,1.581055994828542,1.0,,,1.6246829666666665,1.64853399,614.9105225251358,825,10.22
trial3,same_overlap_4g,same,94.6761729935805,104.9052181839943,207.4353168487549,207.49832557678224,1.581055994828542,59.881606535920106,104.40390040079753,,206.97260373333333,314.10324782000004,9.502912435339558,825,10.22
trial3,l1_only_2g,standalone,2.17006081144015,2.1683200299739838,2.1925375729799272,2.198528034090996,2.17006081144015,1.0,,,2.2137267333333335,2.2423186999999998,451.4288581073929,825,10.23
trial3,cross_p2p_2g2g,p2p,3.3456127842267356,3.3402880430221558,3.5308031320571898,3.8053683733940127,2.17006081144015,1.5417138388884302,105.92887522379557,111.23649999999998,208.7416228,213.94091255,9.419935189734343,825,10.23
