config,metric,n,mean,stdev,min,max
l1_only_4g,l1_active_mean_ms,3,1.5858232875665028,0.004473987094245884,1.581055994828542,1.5899306654930114
l1_only_4g,l1_active_p99_ms,3,1.6488140575091044,0.06868265410843336,1.6049766170978546,1.727969270348549
l1_only_4g,own_l1_baseline_mean_ms,3,1.5858232875665028,0.004473987094245884,1.581055994828542,1.5899306654930114
l1_only_4g,l1_slowdown_x,3,1.0,0.0,1.0,1.0
l1_only_4g,e2e_mean_ms,3,1.6295760888888888,0.0043028733359019656,1.6246829666666665,1.6327694666666668
l1_only_4g,e2e_p99_ms,3,1.6921806533333335,0.06661593367975595,1.64853399,1.7688575100000001
l1_only_4g,completion_throughput_slots_s,3,613.0927068771198,1.5985295492794165,611.9063888472963,614.9105225251358
l1_only_4g,qwen_itps_last,3,10.223333333333334,0.005773502691896135,10.22,10.23
same_overlap_4g,l1_active_mean_ms,3,96.93535559111172,1.9565135622201129,94.6761729935805,98.06892337203026
same_overlap_4g,l1_active_p99_ms,3,197.82275771737102,17.228929036073566,177.93095320582398,208.03899436950684
same_overlap_4g,own_l1_baseline_mean_ms,3,1.5858232875665028,0.004473987094245884,1.581055994828542,1.5899306654930114
same_overlap_4g,l1_slowdown_x,3,61.12438497666748,1.0785205139430627,59.881606535920106,61.81529260759664
same_overlap_4g,nrx_mean_ms,3,104.40933837890624,0.052571769793230395,104.35969696044921,104.464417775472
same_overlap_4g,e2e_mean_ms,3,206.8503484,0.11312958146793983,206.7493644,206.97260373333333
same_overlap_4g,e2e_p99_ms,3,303.6346536866667,17.416351878553414,283.5297239700001,314.10324782000004
same_overlap_4g,completion_throughput_slots_s,3,9.508310725750876,0.005018289072833012,9.502912435339558,9.51283389691436
same_overlap_4g,qwen_itps_last,3,10.223333333333334,0.005773502691896135,10.22,10.23
l1_only_2g,l1_active_mean_ms,3,2.2344362729125553,0.10509434099874261,2.17006081144015,2.3557119965553284
l1_only_2g,l1_active_p99_ms,3,2.258834775686264,0.09574903285640923,2.198528034090996,2.369239003062248
l1_only_2g,own_l1_baseline_mean_ms,3,2.2344362729125553,0.10509434099874261,2.17006081144015,2.3557119965553284
l1_only_2g,l1_slowdown_x,3,1.0,0.0,1.0,1.0
l1_only_2g,e2e_mean_ms,3,2.2788351555555555,0.10592886127745416,2.2137267333333335,2.4010643
l1_only_2g,e2e_p99_ms,3,2.3034496433333334,0.097549260193204,2.2423186999999998,2.41594871
l1_only_2g,completion_throughput_slots_s,3,439.14142812352486,19.879954525002777,416.20554560593075,451.4288581073929
l1_only_2g,qwen_itps_last,3,10.23,0.0,10.23,10.23
cross_p2p_2g2g,l1_active_mean_ms,3,3.3158485227160983,0.0395553452387258,3.2709631939729054,3.3456127842267356
cross_p2p_2g2g,l1_active_p99_ms,3,3.6950903244813285,0.15903864327087736,3.512780729532242,3.8053683733940127
cross_p2p_2g2g,own_l1_baseline_mean_ms,3,2.2344362729125553,0.10509434099874261,2.17006081144015,2.3557119965553284
cross_p2p_2g2g,l1_slowdown_x,3,1.486644914917825,0.08518717149699451,1.38852423333409,1.5417138388884302
cross_p2p_2g2g,nrx_mean_ms,3,105.9163707309299,0.035014070624533745,105.8768211364746,105.94341583251953
cross_p2p_2g2g,transport_mean_us,3,111.2310111111111,0.3136693541034969,110.91463333333333,111.5419
cross_p2p_2g2g,e2e_mean_ms,3,208.71419554444444,0.07308667102177135,208.63136266666666,208.76960116666666
cross_p2p_2g2g,e2e_p99_ms,3,213.89272662000002,0.14361573129067387,213.73121435000002,214.00605296
cross_p2p_2g2g,completion_throughput_slots_s,3,9.421181554833211,0.0032770213880327003,9.418710581648384,9.424898893116907
cross_p2p_2g2g,qwen_itps_last,3,10.23,0.0,10.23,10.23
