#Time         gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk  pviol  tviol     fb   bar1   ccpm 
#HH:MM:SS     Idx      W      C      C      %      %      %      %      %      %    MHz    MHz      %   bool     MB     MB     MB 
 11:15:34       0     87     31     31      -      -      -      -      -      -   1215   1410      0      0   7536      7      0 
 11:15:36       0     99     31     32      -      -      -      -      -      -   1215   1410      0      0   7536      7      0 
 11:15:38       0     98     31     32      -      -      -      -      -      -   1215   1410      0      0   7536      7      0 
 11:15:40       0     99     31     32      -      -      -      -      -      -   1215   1410      0      0   7536      7      0 
 11:15:42       0     98     31     32      -      -      -      -      -      -   1215   1410      0      0   7536      7      0 
 11:15:44       0     98     31     31      -      -      -      -      -      -   1215   1410      0      0   7536      7      0 
 11:15:46       0     99     31     31      -      -      -      -      -      -   1215   1410      0      0   7534      7      0 
 11:15:48       0     98     31     32      -      -      -      -      -      -   1215   1410      0      0   7536      7      0 
 11:15:50       0     97     31     32      -      -      -      -      -      -   1215   1410      0      0   7536      7      0 
 11:15:52       0     98     31     31      -      -      -      -      -      -   1215   1410      0      0   7536      7      0 
 11:15:54       0     98     31     31      -      -      -      -      -      -   1215   1410      0      0   7536      7      0 
 11:15:56       0     99     31     31      -      -      -      -      -      -   1215   1410      0      0   7536      7      0 
 11:15:58       0     99     31     31      -      -      -      -      -      -   1215   1410      0      0   7536      7      0 
 11:16:00       0     98     31     31      -      -      -      -      -      -   1215   1410      0      0   7536      7      0 
 11:16:02       0     97     31     31      -      -      -      -      -      -   1215   1410      0      0   7536      7      0 
 11:16:04       0     96     31     31      -      -      -      -      -      -   1215   1410      0      0   7536      7      0 
 11:16:06       0     99     31     31      -      -      -      -      -      -   1215   1410      0      0   7536      7      0 
 11:16:08       0     98     31     31      -      -      -      -      -      -   1215   1410      0      0   7536      7      0 
 11:16:10       0     98     31     31      -      -      -      -      -      -   1215   1410      0      0   7536      7      0 
 11:16:12       0     99     31     31      -      -      -      -      -      -   1215   1410      0      0   7536      7      0 
 11:16:14       0     98     31     31      -      -      -      -      -      -   1215   1410      0      0   7534      7      0 
 11:16:16       0     99     31     31      -      -      -      -      -      -   1215   1410      0      0   7536      7      0 
 11:16:18       0     97     31     31      -      -      -      -      -      -   1215   1410      0      0   7536      7      0 
#Time         gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk  pviol  tviol     fb   bar1   ccpm 
#HH:MM:SS     Idx      W      C      C      %      %      %      %      %      %    MHz    MHz      %   bool     MB     MB     MB 
 11:16:20       0     98     31     31      -      -      -      -      -      -   1215   1410      0      0   7536      7      0 
 11:16:22       0     98     31     31      -      -      -      -      -      -   1215   1410      0      0   7536      7      0 
 11:16:24       0     99     31     31      -      -      -      -      -      -   1215   1410      0      0   7536      7      0 
 11:16:26       0     98     31     31      -      -      -      -      -      -   1215   1410      0      0   7536      7      0 
 11:16:28       0     98     31     31      -      -      -      -      -      -   1215   1410      0      0   7536      7      0 
 11:16:30       0     99     31     31      -      -      -      -      -      -   1215   1410      0      0   7534      7      0 
 11:16:32       0     99     31     31      -      -      -      -      -      -   1215   1410      0      0   7536      7      0 
 11:16:34       0     99     31     31      -      -      -      -      -      -   1215   1410      0      0   7536      7      0 
 11:16:36       0     98     31     31      -      -      -      -      -      -   1215   1410      0      0   7536      7      0 
 11:16:38       0    100     31     31      -      -      -      -      -      -   1215   1410      0      0   7536      7      0 
 11:16:40       0     97     31     31      -      -      -      -      -      -   1215   1410      0      0   7536      7      0 
 11:16:42       0     99     31     31      -      -      -      -      -      -   1215   1410      0      0   7536      7      0 
 11:16:44       0     98     31     31      -      -      -      -      -      -   1215   1410      0      0   7536      7      0 
 11:16:46       0     98     31     31      -      -      -      -      -      -   1215   1410      0      0   7536      7      0 
 11:16:48       0     99     31     31      -      -      -      -      -      -   1215   1410      0      0   7536      7      0 
 11:16:50       0     98     31     31      -      -      -      -      -      -   1215   1410      0      0   7536      7      0 
 11:16:52       0     99     31     31      -      -      -      -      -      -   1215   1410      0      0   7536      7      0 
 11:16:54       0     98     31     31      -      -      -      -      -      -   1215   1410      0      0   7536      7      0 
 11:16:56       0     99     31     31      -      -      -      -      -      -   1215   1410      0      0   7536      7      0 
 11:16:58       0     98     31     31      -      -      -      -      -      -   1215   1410      0      0   7534      7      0 
 11:17:00       0     97     31     31      -      -      -      -      -      -   1215   1410      0      0   7536      7      0 
 11:17:02       0     98     31     31      -      -      -      -      -      -   1215   1410      0      0   7536      7      0 
 11:17:04       0     98     31     31      -      -      -      -      -      -   1215   1410      0      0   7536      7      0 
 11:17:06       0     98     31     31      -      -      -      -      -      -   1215   1410      0      0   7536      7      0 
 11:17:08       0     97     31     31      -      -      -      -      -      -   1215   1410      0      0   7536      7      0 
 11:17:10       0     99     30     31      -      -      -      -      -      -   1215   1410      0      0   7536      7      0 
 11:17:12       0     99     30     31      -      -      -      -      -      -   1215   1410      0      0   7536      7      0 
 11:17:14       0     97     30     31      -      -      -      -      -      -   1215   1410      0      0   7536      7      0 
 11:17:16       0     98     30     31      -      -      -      -      -      -   1215   1410      0      0   7536      7      0 
 11:17:18       0     99     30     31      -      -      -      -      -      -   1215   1410      0      0   7536      7      0 
 11:17:20       0     98     30     31      -      -      -      -      -      -   1215   1410      0      0   7536      7      0 
 11:17:22       0     97     30     30      -      -      -      -      -      -   1215   1410      0      0   7534      7      0 
 11:17:24       0     97     30     31      -      -      -      -      -      -   1215   1410      0      0   7536      7      0 
 11:17:26       0     98     30     31      -      -      -      -      -      -   1215   1410      0      0   7536      7      0 
 11:17:28       0     99     30     31      -      -      -      -      -      -   1215   1410      0      0   7536      7      0 
 11:17:30       0     99     30     30      -      -      -      -      -      -   1215   1410      0      0   7536      7      0 
 11:17:32       0     98     30     31      -      -      -      -      -      -   1215   1410      0      0   7536      7      0 
 11:17:34       0     98     30     31      -      -      -      -      -      -   1215   1410      0      0   7536      7      0 
 11:17:36       0     97     30     31      -      -      -      -      -      -   1215   1410      0      0   7536      7      0 
 11:17:38       0     98     30     31      -      -      -      -      -      -   1215   1410      0      0   7536      7      0 
 11:17:40       0     99     30     30      -      -      -      -      -      -   1215   1410      0      0   7536      7      0 
 11:17:42       0     99     30     31      -      -      -      -      -      -   1215   1410      0      0   7536      7      0 
 11:17:44       0     98     30     31      -      -      -      -      -      -   1215   1410      0      0   7536      7      0 
 11:17:46       0     98     30     31      -      -      -      -      -      -   1215   1410      0      0   7536      7      0 
#Time         gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk  pviol  tviol     fb   bar1   ccpm 
#HH:MM:SS     Idx      W      C      C      %      %      %      %      %      %    MHz    MHz      %   bool     MB     MB     MB 
