round,job,condition,samples,deadline_ms,ran_mean_ms,ran_p99_ms,ran_p999_ms,ran_max_ms,deadline_misses,incorrect_transport_blocks,ai_units_in_window,ai_units_per_s,ai_budget_violations,ai_crossed_release
1,58625542,mps_alone,500,21.0,8.866120114,9.95126195,14.39741358299991,16.320601,0,0,0,0.0,0,0
1,58625542,protected_qwen,500,21.0,8.715460514,12.515442119999996,17.575178134999824,21.320989,1,0,498,19.92,0,0
1,58625542,uncontrolled_qwen,500,21.0,9.340044532,11.870971789999997,15.982322665999884,18.405799,0,0,1166,46.64,0,0
2,58625542,mps_alone,500,21.0,10.060864764,10.872258539999995,16.14083320999989,18.407396,0,0,0,0.0,0,0
2,58625542,protected_qwen,500,21.0,8.724027046,11.438264629999994,13.533874458999982,13.93505,0,0,499,19.96,0,0
2,58625542,uncontrolled_qwen,500,21.0,8.664908,10.597593979999997,13.955215499999952,14.992387,0,0,1179,47.16,0,0
3,58625542,mps_alone,500,21.0,8.755544412,9.115430439999999,16.384933455999835,19.860197,0,0,0,0.0,0,0
3,58625542,protected_qwen,500,21.0,8.625788208,9.03706809,12.214320817999903,14.257136,0,0,499,19.96,0,0
3,58625542,uncontrolled_qwen,500,21.0,8.742917624,9.941307319999986,13.323583057999985,13.662433,0,0,1184,47.36,0,0
