#Date        Time         gpu     fb   bar1   ccpm     sm    mem    enc    dec    jpg    ofa 
#YYYYMMDD    HH:MM:SS     Idx     MB     MB     MB      %      %      %      %      %      % 
 20260530    18:53:59       3      1      1      0      0      0      0      0      0      0 
 20260530    18:54:00       0   6323      4      0      -      -      -      -      -      - 
 20260530    18:54:00       1      1      1      0      -      -      -      -      -      - 
 20260530    18:54:00       2      1      1      0      -      -      -      -      -      - 
 20260530    18:54:00       3      1      1      0      0      0      0      0      0      0 
 20260530    18:54:01       0     88      1      0      -      -      -      -      -      - 
 20260530    18:54:01       1      1      1      0      -      -      -      -      -      - 
 20260530    18:54:01       2      1      1      0      -      -      -      -      -      - 
 20260530    18:54:01       3      1      1      0      0      0      0      0      0      0 
 20260530    18:54:02       0     88      1      0      -      -      -      -      -      - 
 20260530    18:54:02       1      1      1      0      -      -      -      -      -      - 
 20260530    18:54:02       2      1      1      0      -      -      -      -      -      - 
 20260530    18:54:02       3      1      1      0      0      0      0      0      0      0 
 20260530    18:54:03       0     88      1      0      -      -      -      -      -      - 
 20260530    18:54:03       1      1      1      0      -      -      -      -      -      - 
 20260530    18:54:03       2      1      1      0      -      -      -      -      -      - 
 20260530    18:54:03       3      1      1      0      0      0      0      0      0      0 
 20260530    18:54:04       0     88      1      0      -      -      -      -      -      - 
 20260530    18:54:04       1      1      1      0      -      -      -      -      -      - 
 20260530    18:54:04       2      1      1      0      -      -      -      -      -      - 
 20260530    18:54:04       3      1      1      0      0      0      0      0      0      0 
 20260530    18:54:05       0     88      1      0      -      -      -      -      -      - 
 20260530    18:54:05       1      1      1      0      -      -      -      -      -      - 
 20260530    18:54:05       2      1      1      0      -      -      -      -      -      - 
 20260530    18:54:05       3      1      1      0      0      0      0      0      0      0 
 20260530    18:54:06       0     88      1      0      -      -      -      -      -      - 
 20260530    18:54:06       1      1      1      0      -      -      -      -      -      - 
 20260530    18:54:06       2      1      1      0      -      -      -      -      -      - 
 20260530    18:54:06       3      1      1      0      0      0      0      0      0      0 
 20260530    18:54:07       0     88      1      0      -      -      -      -      -      - 
 20260530    18:54:07       1      1      1      0      -      -      -      -      -      - 
 20260530    18:54:07       2      1      1      0      -      -      -      -      -      - 
 20260530    18:54:07       3      1      1      0      0      0      0      0      0      0 
 20260530    18:54:08       0     88      1      0      -      -      -      -      -      - 
 20260530    18:54:08       1      1      1      0      -      -      -      -      -      - 
 20260530    18:54:08       2      1      1      0      -      -      -      -      -      - 
 20260530    18:54:08       3      1      1      0      0      0      0      0      0      0 
 20260530    18:54:09       0     88      1      0      -      -      -      -      -      - 
 20260530    18:54:09       1      1      1      0      -      -      -      -      -      - 
 20260530    18:54:09       2      1      1      0      -      -      -      -      -      - 
 20260530    18:54:09       3      1      1      0      0      0      0      0      0      0 
#Date        Time         gpu     fb   bar1   ccpm     sm    mem    enc    dec    jpg    ofa 
#YYYYMMDD    HH:MM:SS     Idx     MB     MB     MB      %      %      %      %      %      % 
 20260530    18:54:10       0     88      1      0      -      -      -      -      -      - 
 20260530    18:54:10       1      1      1      0      -      -      -      -      -      - 
 20260530    18:54:10       2      1      1      0      -      -      -      -      -      - 
 20260530    18:54:10       3      1      1      0      0      0      0      0      0      0 
 20260530    18:54:11       0     88      1      0      -      -      -      -      -      - 
 20260530    18:54:11       1      1      1      0      -      -      -      -      -      - 
 20260530    18:54:11       2      1      1      0      -      -      -      -      -      - 
 20260530    18:54:11       3      1      1      0      0      0      0      0      0      0 
 20260530    18:54:12       0     88      1      0      -      -      -      -      -      - 
 20260530    18:54:12       1      1      1      0      -      -      -      -      -      - 
 20260530    18:54:12       2      1      1      0      -      -      -      -      -      - 
 20260530    18:54:12       3      1      1      0      0      0      0      0      0      0 
 20260530    18:54:14       0     88      1      0      -      -      -      -      -      - 
 20260530    18:54:14       1      1      1      0      -      -      -      -      -      - 
 20260530    18:54:14       2      1      1      0      -      -      -      -      -      - 
 20260530    18:54:14       3      1      1      0      0      0      0      0      0      0 
 20260530    18:54:15       0     88      1      0      -      -      -      -      -      - 
 20260530    18:54:15       1      1      1      0      -      -      -      -      -      - 
 20260530    18:54:15       2      1      1      0      -      -      -      -      -      - 
 20260530    18:54:15       3      1      1      0      0      0      0      0      0      0 
 20260530    18:54:16       0     88      1      0      -      -      -      -      -      - 
 20260530    18:54:16       1      1      1      0      -      -      -      -      -      - 
 20260530    18:54:16       2      1      1      0      -      -      -      -      -      - 
 20260530    18:54:16       3      1      1      0      0      0      0      0      0      0 
 20260530    18:54:17       0     88      1      0      -      -      -      -      -      - 
 20260530    18:54:17       1      1      1      0      -      -      -      -      -      - 
 20260530    18:54:17       2      1      1      0      -      -      -      -      -      - 
 20260530    18:54:17       3      1      1      0      0      0      0      0      0      0 
 20260530    18:54:18       0     88      1      0      -      -      -      -      -      - 
 20260530    18:54:18       1      1      1      0      -      -      -      -      -      - 
 20260530    18:54:18       2      1      1      0      -      -      -      -      -      - 
 20260530    18:54:18       3      1      1      0      0      0      0      0      0      0 
