[04:26:06] setting up RAN AI mix: 2× NRx + 4× CsiNet + 8× BeamPred
[04:26:07] 14 workers running
[04:26:10] elapsed=3s total_iters=6444 rate=2145/s
[04:26:13] elapsed=6s total_iters=12619 rate=2101/s
[04:26:16] elapsed=9s total_iters=18844 rate=2091/s
[04:26:19] elapsed=12s total_iters=25325 rate=2107/s
[04:26:22] elapsed=15s total_iters=34147 rate=2273/s
[04:26:25] elapsed=18s total_iters=41690 rate=2313/s
[04:26:28] elapsed=21s total_iters=48264 rate=2295/s
[04:26:31] elapsed=24s total_iters=55045 rate=2291/s
