[04:26:59] setting up RAN AI mix: 2× NRx + 4× CsiNet + 8× BeamPred
[04:27:00] 14 workers running
[04:27:03] elapsed=3s total_iters=7449 rate=2480/s
[04:27:06] elapsed=6s total_iters=13924 rate=2318/s
[04:27:09] elapsed=9s total_iters=20375 rate=2261/s
[04:27:12] elapsed=12s total_iters=26793 rate=2229/s
[04:27:15] elapsed=15s total_iters=36040 rate=2399/s
[04:27:18] elapsed=18s total_iters=44545 rate=2471/s
[04:27:21] elapsed=21s total_iters=51135 rate=2432/s
[04:27:24] elapsed=24s total_iters=57738 rate=2402/s
