[04:30:25] setting up RAN AI mix: 4× NRx + 8× CsiNet + 16× BeamPred
[04:30:26] 28 workers running
[04:30:29] elapsed=3s total_iters=6250 rate=2080/s
[04:30:32] elapsed=6s total_iters=11432 rate=1901/s
[04:30:35] elapsed=9s total_iters=16533 rate=1834/s
[04:30:38] elapsed=12s total_iters=21856 rate=1818/s
[04:30:41] elapsed=15s total_iters=28466 rate=1895/s
[04:30:44] elapsed=18s total_iters=34661 rate=1923/s
[04:30:47] elapsed=21s total_iters=40437 rate=1922/s
[04:30:50] elapsed=24s total_iters=46305 rate=1926/s
