[04:25:14] setting up RAN AI mix: 2× NRx + 4× CsiNet + 8× BeamPred
[04:25:14] 14 workers running
[04:25:17] elapsed=3s total_iters=6597 rate=2196/s
[04:25:20] elapsed=6s total_iters=13074 rate=2176/s
[04:25:23] elapsed=9s total_iters=19607 rate=2176/s
[04:25:26] elapsed=12s total_iters=26277 rate=2186/s
[04:25:29] elapsed=15s total_iters=35197 rate=2343/s
[04:25:32] elapsed=18s total_iters=42932 rate=2381/s
[04:25:35] elapsed=21s total_iters=51119 rate=2430/s
[04:25:38] elapsed=24s total_iters=57609 rate=2397/s
