[04:16:20] setting up RAN AI mix: 4× NRx + 8× CsiNet + 16× BeamPred
[04:16:21] 28 workers running
[04:16:24] elapsed=3s total_iters=5925 rate=1973/s
[04:16:27] elapsed=6s total_iters=12259 rate=2040/s
[04:16:30] elapsed=9s total_iters=18540 rate=2057/s
[04:16:33] elapsed=12s total_iters=24808 rate=2064/s
[04:16:36] elapsed=15s total_iters=33049 rate=2199/s
[04:16:39] elapsed=18s total_iters=39355 rate=2183/s
[04:16:42] elapsed=21s total_iters=45586 rate=2167/s
[04:16:45] elapsed=24s total_iters=51714 rate=2151/s
