[04:00:54] setting up RAN AI mix: 4× NRx + 8× CsiNet + 16× BeamPred
[04:00:54] 28 workers running
[04:00:57] elapsed=3s total_iters=5705 rate=1899/s
[04:01:00] elapsed=6s total_iters=11266 rate=1874/s
[04:01:03] elapsed=9s total_iters=16787 rate=1861/s
[04:01:06] elapsed=12s total_iters=22524 rate=1873/s
[04:01:09] elapsed=15s total_iters=30491 rate=2029/s
[04:01:12] elapsed=18s total_iters=37817 rate=2097/s
[04:01:15] elapsed=21s total_iters=44964 rate=2137/s
[04:01:18] elapsed=24s total_iters=51704 rate=2150/s
