[03:55:42] setting up RAN AI mix: 2× NRx + 4× CsiNet + 8× BeamPred
[03:55:42] 14 workers running
[03:55:45] elapsed=3s total_iters=6945 rate=2313/s
[03:55:48] elapsed=6s total_iters=13556 rate=2256/s
[03:55:51] elapsed=9s total_iters=19937 rate=2212/s
[03:55:54] elapsed=12s total_iters=26825 rate=2232/s
[03:55:57] elapsed=15s total_iters=35526 rate=2365/s
[03:56:00] elapsed=18s total_iters=43491 rate=2413/s
[03:56:03] elapsed=21s total_iters=50886 rate=2420/s
[03:56:06] elapsed=24s total_iters=57811 rate=2405/s
