[03:54:48] setting up RAN AI mix: 2× NRx + 4× CsiNet + 8× BeamPred
[03:54:48] 14 workers running
[03:54:51] elapsed=3s total_iters=6999 rate=2330/s
[03:54:54] elapsed=6s total_iters=13402 rate=2230/s
[03:54:57] elapsed=9s total_iters=19835 rate=2201/s
[03:55:00] elapsed=12s total_iters=28168 rate=2344/s
[03:55:03] elapsed=15s total_iters=37986 rate=2529/s
[03:55:06] elapsed=18s total_iters=49761 rate=2761/s
[03:55:09] elapsed=21s total_iters=60056 rate=2856/s
[03:55:12] elapsed=24s total_iters=67297 rate=2800/s
