[04:12:44] setting up RAN AI mix: 2× NRx + 4× CsiNet + 8× BeamPred
[04:12:45] 14 workers running
[04:12:48] elapsed=3s total_iters=6386 rate=2126/s
[04:12:51] elapsed=6s total_iters=12856 rate=2139/s
[04:12:54] elapsed=9s total_iters=19471 rate=2160/s
[04:12:57] elapsed=12s total_iters=25950 rate=2159/s
[04:13:00] elapsed=15s total_iters=37418 rate=2491/s
[04:13:03] elapsed=18s total_iters=46136 rate=2559/s
[04:13:06] elapsed=21s total_iters=52984 rate=2519/s
[04:13:09] elapsed=24s total_iters=59509 rate=2476/s
