[04:01:48] setting up RAN AI mix: 4× NRx + 8× CsiNet + 16× BeamPred
[04:01:48] 28 workers running
[04:01:51] elapsed=3s total_iters=5784 rate=1923/s
[04:01:54] elapsed=6s total_iters=11641 rate=1935/s
[04:01:57] elapsed=9s total_iters=17556 rate=1946/s
[04:02:00] elapsed=12s total_iters=23532 rate=1957/s
[04:02:03] elapsed=15s total_iters=31481 rate=2095/s
[04:02:06] elapsed=18s total_iters=38339 rate=2126/s
[04:02:09] elapsed=21s total_iters=45991 rate=2186/s
[04:02:12] elapsed=24s total_iters=53132 rate=2210/s
