[04:15:48] setting up RAN AI mix: 4× NRx + 8× CsiNet + 16× BeamPred
[04:15:49] 28 workers running
[04:15:52] elapsed=3s total_iters=5303 rate=1765/s
[04:15:55] elapsed=6s total_iters=10667 rate=1774/s
[04:15:58] elapsed=9s total_iters=16019 rate=1776/s
[04:16:01] elapsed=12s total_iters=21410 rate=1780/s
[04:16:04] elapsed=15s total_iters=28904 rate=1923/s
[04:16:07] elapsed=18s total_iters=34656 rate=1921/s
[04:16:10] elapsed=21s total_iters=40342 rate=1917/s
[04:16:13] elapsed=24s total_iters=46395 rate=1929/s
