[04:32:11] setting up RAN AI mix: 4× NRx + 8× CsiNet + 16× BeamPred
[04:32:11] 28 workers running
[04:32:14] elapsed=3s total_iters=6311 rate=2097/s
[04:32:17] elapsed=6s total_iters=12152 rate=2020/s
[04:32:20] elapsed=9s total_iters=18144 rate=2011/s
[04:32:23] elapsed=12s total_iters=24089 rate=2003/s
[04:32:26] elapsed=15s total_iters=30771 rate=2047/s
[04:32:29] elapsed=18s total_iters=36794 rate=2039/s
[04:32:32] elapsed=21s total_iters=42940 rate=2040/s
[04:32:35] elapsed=24s total_iters=48966 rate=2035/s
