[04:13:48] setting up RAN AI mix: 2× NRx + 4× CsiNet + 8× BeamPred
[04:13:48] 14 workers running
[04:13:51] elapsed=3s total_iters=6304 rate=2099/s
[04:13:54] elapsed=6s total_iters=12881 rate=2144/s
[04:13:57] elapsed=9s total_iters=19409 rate=2153/s
[04:14:00] elapsed=12s total_iters=25925 rate=2158/s
[04:14:03] elapsed=15s total_iters=33864 rate=2255/s
[04:14:06] elapsed=18s total_iters=40469 rate=2246/s
[04:14:09] elapsed=21s total_iters=47944 rate=2280/s
[04:14:12] elapsed=24s total_iters=56103 rate=2334/s
