#Time         gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk  pviol  tviol     fb   bar1   ccpm 
#HH:MM:SS     Idx      W      C      C      %      %      %      %      %      %    MHz    MHz      %   bool     MB     MB     MB 
 11:04:46       0    326     58     61      -      -      -      -      -      -   1215   1410      0      0  15536      7      0 
 11:04:48       0    327     58     61      -      -      -      -      -      -   1215   1410      0      0  15536      7      0 
 11:04:50       0    326     58     61      -      -      -      -      -      -   1215   1410      0      0  15536      7      0 
 11:04:52       0    327     58     61      -      -      -      -      -      -   1215   1410      0      0  15536      7      0 
 11:04:54       0    328     58     61      -      -      -      -      -      -   1215   1410      0      0  15536      7      0 
 11:04:56       0    301     58     61      -      -      -      -      -      -   1215   1410      0      0  15536      7      0 
 11:04:58       0    326     58     61      -      -      -      -      -      -   1215   1410      0      0  15536      7      0 
 11:05:00       0    326     58     61      -      -      -      -      -      -   1215   1410      0      0  15536      7      0 
 11:05:02       0    327     59     61      -      -      -      -      -      -   1215   1410      0      0  15536      7      0 
 11:05:04       0    324     59     61      -      -      -      -      -      -   1215   1410      0      0  15536      7      0 
 11:05:06       0    326     59     61      -      -      -      -      -      -   1215   1410      0      0  15536      7      0 
 11:05:08       0    329     59     61      -      -      -      -      -      -   1215   1410      0      0  15536      7      0 
 11:05:10       0    327     59     61      -      -      -      -      -      -   1215   1410      0      0  15536      7      0 
 11:05:12       0    327     59     61      -      -      -      -      -      -   1215   1410      0      0  15536      7      0 
 11:05:14       0    328     59     61      -      -      -      -      -      -   1215   1410      0      0  15536      7      0 
 11:05:16       0    327     59     61      -      -      -      -      -      -   1215   1410      0      0  15536      7      0 
 11:05:18       0    328     59     61      -      -      -      -      -      -   1215   1410      0      0  15534      7      0 
 11:05:20       0    324     59     61      -      -      -      -      -      -   1215   1410      0      0  15536      7      0 
 11:05:22       0    327     59     61      -      -      -      -      -      -   1215   1410      0      0  15536      7      0 
 11:05:24       0    326     59     61      -      -      -      -      -      -   1215   1410      0      0  15534      7      0 
 11:05:26       0    328     59     62      -      -      -      -      -      -   1215   1410      0      0  15536      7      0 
 11:05:28       0    327     59     61      -      -      -      -      -      -   1215   1410      0      0  15536      7      0 
 11:05:30       0    324     59     61      -      -      -      -      -      -   1215   1410      0      0  15536      7      0 
#Time         gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk  pviol  tviol     fb   bar1   ccpm 
#HH:MM:SS     Idx      W      C      C      %      %      %      %      %      %    MHz    MHz      %   bool     MB     MB     MB 
 11:05:32       0    326     59     62      -      -      -      -      -      -   1215   1410      0      0  15536      7      0 
 11:05:34       0    326     59     62      -      -      -      -      -      -   1215   1410      0      0  15536      7      0 
 11:05:36       0    327     59     61      -      -      -      -      -      -   1215   1410      0      0  15536      7      0 
 11:05:38       0    328     59     62      -      -      -      -      -      -   1215   1410      0      0  15536      7      0 
 11:05:41       0    326     59     62      -      -      -      -      -      -   1215   1410      0      0  15536      7      0 
 11:05:43       0    327     59     61      -      -      -      -      -      -   1215   1410      0      0  15536      7      0 
 11:05:45       0    328     59     62      -      -      -      -      -      -   1215   1410      0      0  15536      7      0 
 11:05:47       0    327     59     62      -      -      -      -      -      -   1215   1410      0      0  15536      7      0 
 11:05:49       0    327     59     62      -      -      -      -      -      -   1215   1410      0      0  15536      7      0 
 11:05:51       0    324     59     62      -      -      -      -      -      -   1215   1410      0      0  15536      7      0 
 11:05:53       0    328     59     62      -      -      -      -      -      -   1215   1410      0      0  15536      7      0 
 11:05:55       0    327     59     61      -      -      -      -      -      -   1215   1410      0      0  15536      7      0 
 11:05:57       0    327     59     62      -      -      -      -      -      -   1215   1410      0      0  15536      7      0 
 11:05:59       0    327     59     62      -      -      -      -      -      -   1215   1410      0      0  15536      7      0 
 11:06:01       0    317     59     61      -      -      -      -      -      -   1215   1410      0      0  15536      7      0 
 11:06:03       0    328     59     61      -      -      -      -      -      -   1215   1410      0      0  15536      7      0 
 11:06:05       0    325     59     62      -      -      -      -      -      -   1215   1410      0      0  15536      7      0 
 11:06:07       0    328     59     61      -      -      -      -      -      -   1215   1410      0      0  15536      7      0 
 11:06:09       0    326     59     61      -      -      -      -      -      -   1215   1410      0      0  15536      7      0 
 11:06:11       0    328     58     61      -      -      -      -      -      -   1215   1410      0      0  15536      7      0 
 11:06:13       0    326     59     61      -      -      -      -      -      -   1215   1410      0      0  15534      7      0 
 11:06:15       0    326     59     61      -      -      -      -      -      -   1215   1410      0      0  15534      7      0 
 11:06:17       0    327     59     61      -      -      -      -      -      -   1215   1410      0      0  15536      7      0 
 11:06:19       0    323     59     61      -      -      -      -      -      -   1215   1410      0      0  15536      7      0 
 11:06:21       0    327     59     61      -      -      -      -      -      -   1215   1410      0      0  15536      7      0 
 11:06:23       0    328     59     61      -      -      -      -      -      -   1215   1410      0      0  15536      7      0 
 11:06:25       0    326     59     62      -      -      -      -      -      -   1215   1410      0      0  15536      7      0 
 11:06:27       0    328     59     61      -      -      -      -      -      -   1215   1410      0      0  15536      7      0 
