kernel,baseline_p99_gap_us,baseline_total_dur_us,count,S10_2g_alone,S12_2g_2AI,S13_3g_sat_compute,S14_3g_sat_hbm,S15_4g_sat_compute,S17_2g_sat_compute,S18_4g_neuralrx,S21_4g_2sat,S22_2g_neuralrx,S24_3g_2sat,S26_4g_3sat,S27_3g_chanpred,S28_3g_resnet,S29_3g_forecaster,S2_7g_mig,S30_3g_xapp,S31_3g_resnet_chanpred,S32_3g_resnet_forecaster,S33_4g_chanpred,S34_4g_resnet,S35_2g_chanpred,S36_4g_forecaster,S6_3g_qwen,S7_3g_neuralrx,S9_3g_3AI_1g
convert_kernel,827.573,996477.646,7728,93.98711654440152,87.57620173688605,19.283132726659762,19.48045670895498,19.805261892304365,70.4629078039037,20.219122663499174,17.388798329573344,132.27558173115847,7.420493418707473,117.76411265229774,5.231441818425686,28.837576866330828,20.968905462116332,-10.830706173352683,6.387835272537891,21.52196845474659,19.198185537710874,22.05557697024915,13.780899086847928,71.59162998309515,0.6573438234451825,25.28030759824209,66.76969886644441,92.8890865216724
cupy_copy__complex64_complex64,141.662,119289.157,19200,-4.178961189309765,-12.10698705369118,1.5812285581172085,-1.648995496322232,3.523880786661208,-3.997543448490068,10.797532154000367,8.5612231932346,-1.490872640510511,3.139868136832743,8.85558583106267,1.761940393330604,-3.4109358896528357,0.33883469102511615,-3.3657579308494867,0.13553387641004644,-0.6099024438452091,-4.721096694949951,-4.133783230506417,2.6203216105942313,-9.73585012212167,12.695006423741017,-2.30407589897079,-10.819415227795739,-2.8462114046109757
cupy_copy__float16_float16,1.216,23845.119,1920,23.684210526315788,0.0,0.0,0.0,5.263157894736842,0.0,1081.578947368421,7.894736842105263,326.3157894736842,0.0,7.894736842105263,0.0,0.0,0.0,5.263157894736842,0.0,0.0,0.0,7.894736842105263,7.894736842105263,0.0,7.894736842105263,0.0,0.0,0.0
ch_est::chEstFilterNoDftSOfdmDispatchKernel,1.248,21548.292,3840,20.51282051282051,-2.564102564102564,-2.564102564102564,-2.564102564102564,30.76923076923077,0.0,30.76923076923077,5.128205128205128,0.0,-2.564102564102564,5.128205128205128,-2.564102564102564,-2.564102564102564,-2.564102564102564,2.564102564102564,-2.564102564102564,51.28205128205128,-2.564102564102564,48.717948717948715,5.128205128205128,-2.564102564102564,5.128205128205128,-2.564102564102564,0.0,56.41025641025641
pusch_noise_intf_est::noiseIntfEstNoDftSOfdmKernel,8.416,16832.961,1920,-76.80608365019012,-79.08745247148289,-30.038022813688215,16.730038022813687,-2.2813688212927756,-84.79087452471484,64.25855513307985,47.90874524714829,-74.90494296577947,131.55893536121673,20.912547528517113,-15.96958174904943,73.76425855513308,-27.376425855513308,350.19011406844106,9.885931558935361,-32.69961977186312,-41.825095057034225,-11.418726235741444,13.688212927756654,-81.36882129277566,41.06463878326996,-42.96577946768061,-79.46768060836501,47.52851711026616
ch_est::windowedChEstPreNoDftSOfdmKernel,1.248,14312.781,1920,12.82051282051282,64.1025641025641,53.84615384615385,0.0,5.128205128205128,56.41025641025641,5.128205128205128,5.128205128205128,0.0,0.0,7.6923076923076925,0.0,0.0,0.0,2.564102564102564,0.0,53.84615384615385,0.0,192.30769230769232,5.128205128205128,0.0,5.128205128205128,56.41025641025641,69.23076923076923,0.0
channel_eq::eqMmseCoefCompLowMimoKernel,1.248,11681.037,1920,23.076923076923077,-2.564102564102564,-2.564102564102564,-2.564102564102564,5.128205128205128,-2.564102564102564,5.128205128205128,5.128205128205128,0.0,-2.564102564102564,5.128205128205128,-2.564102564102564,28.205128205128204,-2.564102564102564,2.564102564102564,-2.564102564102564,-2.564102564102564,-2.564102564102564,5.128205128205128,35.8974358974359,0.0,5.128205128205128,0.0,2.564102564102564,0.0
channel_eq::eqMmseSoftDemapKernel,1.216,10100.818,1920,23.684210526315788,0.0,0.0,0.0,5.263157894736842,0.0,5.263157894736842,7.894736842105263,0.0,0.0,7.894736842105263,0.0,0.0,0.0,2.631578947368421,0.0,0.0,0.0,5.263157894736842,7.894736842105263,2.631578947368421,7.894736842105263,2.631578947368421,2.631578947368421,2.631578947368421
cupy_copy__float32_float32,283.132,9538.077,5760,15.698684712430952,-4.125284319681279,-4.294463359846291,-3.83142845033412,-4.520506336267182,-3.89888815110973,-2.5765367390475116,10.997343995027055,21.383665569416387,8.962957207239027,17.134410804854273,6.577850613847957,16.1052088778379,15.39317350211209,13.415297458429285,9.617775454558299,-2.7234646737210912,-3.7858666628992834,-4.306118700817993,-5.006498735572101,-3.458457539239648,-2.9272565446505516,10.612364550810224,16.422022236977803,9.765056581382535
