scenario,run,window,n_gaps,median_gap_us,p99_gap_us,max_gap_us
S7_3g_neuralrx,3,7,589,1.216,5271.192,76266.636
S7_3g_neuralrx,3,8,1776,1.216,1184.016,3687.245
S7_3g_neuralrx,3,9,2422,1.216,923.987,1952.389
S9_3g_3AI_1g,1,0,16,23.04,108619.626,108619.626
S9_3g_3AI_1g,1,1,19,41.439,71547.144,71547.144
S9_3g_3AI_1g,1,2,544,1.216,816.437,87672.138
S9_3g_3AI_1g,1,3,2422,1.216,803.573,1731.176
S9_3g_3AI_1g,1,4,1289,1.216,814.004,38047.926
S9_3g_3AI_1g,1,5,1367,1.216,2771.994,10781.996
S9_3g_3AI_1g,1,6,2425,1.216,809.493,1124.944
S9_3g_3AI_1g,1,7,2438,1.216,694.583,839.988
S9_3g_3AI_1g,1,8,2423,1.216,805.109,868.692
S9_3g_3AI_1g,1,9,2432,1.216,810.613,858.132
S9_3g_3AI_1g,2,0,16,22.304,107601.053,107601.053
S9_3g_3AI_1g,2,1,20,85.758,73892.491,73892.491
S9_3g_3AI_1g,2,2,1350,1.216,820.053,70805.589
S9_3g_3AI_1g,2,3,2551,1.216,821.781,880.884
S9_3g_3AI_1g,2,4,704,1.248,4168.583,90597.159
S9_3g_3AI_1g,2,5,2539,1.216,812.213,830.996
S9_3g_3AI_1g,2,6,2564,1.216,813.908,863.348
S9_3g_3AI_1g,2,7,839,1.216,3499.568,37292.13
S9_3g_3AI_1g,2,8,2241,1.216,823.348,4673.184
S9_3g_3AI_1g,2,9,2551,1.216,820.34,1578.506
S9_3g_3AI_1g,3,0,16,22.432,110723.83,110723.83
S9_3g_3AI_1g,3,1,19,41.919,72111.59,72111.59
S9_3g_3AI_1g,3,2,875,1.216,815.828,78203.219
S9_3g_3AI_1g,3,3,2458,1.216,811.125,1101.617
S9_3g_3AI_1g,3,4,2352,1.216,809.141,3306.194
S9_3g_3AI_1g,3,5,2122,1.216,829.972,2453.982
S9_3g_3AI_1g,3,6,2369,1.216,809.717,917.747
S9_3g_3AI_1g,3,7,2448,1.216,804.373,976.594
S9_3g_3AI_1g,3,8,1646,1.216,813.556,68092.22
S9_3g_3AI_1g,3,9,1070,1.216,2339.872,37097.924
