workload,partition,alone_p99_ms,with_l1_p99_ms,p99_delta_pct
chanpred,1g,0.5957631945610047,0.6494208097457885,9.006534085127926
chanpred,2g,0.44441600441932677,0.5642239928245545,26.958522468552548
chanpred,3g,0.44789759516716005,0.5541887879371643,23.73113718780635
chanpred,4g,0.4765695989131927,0.5701632022857666,19.639020950142893
forecaster,1g,10.73438720703125,10.800947189331055,0.6200631765566067
forecaster,2g,20.049510955810547,20.148223876953125,0.49234578020453945
forecaster,3g,41.52442855834961,41.727385711669925,0.4887656744875457
forecaster,4g,33.02256698608399,32.72417221069336,-0.9036086610600957
neuralrx,1g,1.6844799995422364,1.7190912008285522,2.0547113231217606
neuralrx,2g,1.0885119915008545,1.1345920085906982,4.233303578613579
neuralrx,3g,0.7974912047386169,0.9005056023597717,12.91730830497604
neuralrx,4g,0.8572927951812744,0.8579071879386901,0.07166661855426693
qwen,2g,24.895487976074218,26.558053970336914,6.67818198968626
qwen,3g,24.40704002380371,25.54347496032715,4.656176805606482
qwen,4g,24.57968635559082,25.36980438232422,3.2145163095365525
resnet,1g,50.23600692749024,50.37916107177735,0.2849632226815668
resnet,2g,48.89518051147461,49.06864700317383,0.35477216749104645
resnet,3g,56.73062438964844,56.84817886352539,0.20721519486466278
resnet,4g,48.22405090332031,48.41041946411133,0.386463926816627
xapp,1g,0.1396735966205597,0.15482879877090455,10.850441684777268
xapp,2g,0.13946880102157594,0.1544191986322403,10.719528311103431
xapp,3g,0.1421312004327774,0.15114240050315858,6.340057667101129
xapp,4g,0.13864960074424743,0.15564799904823304,12.259969168855234
