label,condition,mean_ms,p99_ms,p99_delta_pct_vs_3g_alone
L1 3g / Qwen-small on 2g + 2g,n20_phase2_M1_3way_balanced,53.358,71.636,73.36463299532925
L1 2g / AI on 3g + 2g,n20_phase2_M2_3way_L1small,65.983,84.451,104.37791921783113
L1 4g / AI on 2g + 1g,n20_phase2_M3_3way_asym,53.957,70.903,71.59071658478742
L1 4g / three AI workloads on 1g each,n20_phase2_M4_4way_1L1_3AI,53.211,73.534,77.9579390624622
L1 2g / Qwen-small on 3g,n20_phase3_D1_L1_starved,66.706,82.888,100.59533893177806
L1 ~3g / AI on 4g,n20_phase3_D2_L1_boosted,53.674,73.099,76.90520558553764
