label,condition,mean_ms,p99_ms,mean_delta_pct_vs_full
Full GPU,n20_baseline_fullGPU_v2,36.377,39.176,0.0
7g MIG,n20_baseline_7g_single,37.208,38.596,2.2844104791488906
4g MIG,n20_baseline_4g_alone,39.073,40.468,7.411276355939189
3g MIG,n20_baseline_3g_alone,40.203,41.321,10.517634769222317
2g MIG,n20_baseline_2g_alone,51.01,52.143,40.22596695714324
