scenario,memcpy_total_ms,memcpy_p99_us
S27_3g_chanpred,154.689264,39.487
S28_3g_resnet,465.74870400000003,184.861
S29_3g_forecaster,403.044636,163.933
S35_2g_chanpred,146.620068,35.072
S5_3g_alone,140.310387,32.928
S6_3g_qwen,393.956839,164.766
S7_3g_neuralrx,585.3807850000001,170.718
