block,n,mean_p99_delta_pct,max_p99_delta_pct
B_D2D,12,-17.185,-15.03
C_H2D,6,-13.461666666666666,-12.2
D_GEMM,4,-16.29,-12.06
E_chanpred,5,-15.508000000000001,-9.57
E_forecaster,3,-16.736666666666668,-16.34
E_resnet,3,-17.433333333333334,-17.01
F_stack_chanpred,3,-15.443333333333333,-14.44
F_stack_resnet,2,-16.810000000000002,-16.11
G_kitchen,1,-18.56,-18.56
