label,condition,p99_ms,p99_delta_pct_vs_3g_alone
3g alone,n20_baseline_3g_alone,41.321,0.0
Qwen-small,n20_phase1_qwen_small,67.958,64.46358994216017
ChanPred,n20_phase4_chanpred,71.059,71.96824859030517
XApp,n20_phase4_xapp,68.85,66.62229858909512
NeuralRx,n20_phase4_neuralrx,196.682,375.98557634132766
