[bursty] e4_burst_kpb1000_idle90_N6_t3_c6 duration=90s kernels/burst=1000 burst_int=100ms idle=90ms
[bursty] burst 10: 34.63ms, total_kernels=20000
[bursty] burst 20: 35.03ms, total_kernels=40000
[bursty] burst 30: 34.59ms, total_kernels=60000
[bursty] burst 40: 34.49ms, total_kernels=80000
[bursty] burst 50: 34.42ms, total_kernels=100000
[bursty] burst 60: 34.76ms, total_kernels=120000
[bursty] burst 70: 34.90ms, total_kernels=140000
[bursty] burst 80: 34.79ms, total_kernels=160000
[bursty] burst 90: 35.51ms, total_kernels=180000
[bursty] burst 100: 35.20ms, total_kernels=200000
[bursty] burst 110: 34.67ms, total_kernels=220000
[bursty] burst 120: 34.42ms, total_kernels=240000
[bursty] burst 130: 36.03ms, total_kernels=260000
[bursty] burst 140: 35.37ms, total_kernels=280000
[bursty] burst 150: 43.85ms, total_kernels=300000
[bursty] burst 160: 35.52ms, total_kernels=320000
[bursty] burst 170: 34.11ms, total_kernels=340000
[bursty] burst 180: 34.82ms, total_kernels=360000
