[bursty] e4_burst_kpb500_idle90_N6_t3_c2 duration=90s kernels/burst=500 burst_int=100ms idle=90ms
[bursty] burst 10: 16.98ms, total_kernels=10000
[bursty] burst 20: 16.99ms, total_kernels=20000
[bursty] burst 30: 17.06ms, total_kernels=30000
[bursty] burst 40: 17.14ms, total_kernels=40000
[bursty] burst 50: 17.24ms, total_kernels=50000
[bursty] burst 60: 16.72ms, total_kernels=60000
[bursty] burst 70: 17.10ms, total_kernels=70000
[bursty] burst 80: 17.10ms, total_kernels=80000
[bursty] burst 90: 17.12ms, total_kernels=90000
[bursty] burst 100: 17.04ms, total_kernels=100000
[bursty] burst 110: 17.12ms, total_kernels=110000
[bursty] burst 120: 17.10ms, total_kernels=120000
[bursty] burst 130: 16.66ms, total_kernels=130000
[bursty] burst 140: 17.20ms, total_kernels=140000
[bursty] burst 150: 17.05ms, total_kernels=150000
[bursty] burst 160: 16.97ms, total_kernels=160000
[bursty] burst 170: 16.85ms, total_kernels=170000
[bursty] burst 180: 17.09ms, total_kernels=180000
[bursty] burst 190: 16.38ms, total_kernels=190000
[bursty] burst 200: 16.76ms, total_kernels=200000
[bursty] burst 210: 16.72ms, total_kernels=210000
[bursty] burst 220: 17.05ms, total_kernels=220000
[bursty] burst 230: 16.94ms, total_kernels=230000
