[bursty] e4_burst_kpb500_idle90_N4_t1_c4 duration=90s kernels/burst=500 burst_int=100ms idle=90ms
[bursty] burst 10: 18.23ms, total_kernels=10000
[bursty] burst 20: 18.33ms, total_kernels=20000
[bursty] burst 30: 17.98ms, total_kernels=30000
[bursty] burst 40: 18.18ms, total_kernels=40000
[bursty] burst 50: 18.10ms, total_kernels=50000
[bursty] burst 60: 18.13ms, total_kernels=60000
[bursty] burst 70: 17.91ms, total_kernels=70000
[bursty] burst 80: 18.10ms, total_kernels=80000
[bursty] burst 90: 18.28ms, total_kernels=90000
[bursty] burst 100: 18.15ms, total_kernels=100000
[bursty] burst 110: 18.14ms, total_kernels=110000
[bursty] burst 120: 18.08ms, total_kernels=120000
[bursty] burst 130: 18.82ms, total_kernels=130000
[bursty] burst 140: 17.84ms, total_kernels=140000
[bursty] burst 150: 20.29ms, total_kernels=150000
[bursty] burst 160: 21.82ms, total_kernels=160000
[bursty] burst 170: 21.57ms, total_kernels=170000
[bursty] burst 180: 20.03ms, total_kernels=180000
[bursty] burst 190: 20.51ms, total_kernels=190000
[bursty] burst 200: 17.92ms, total_kernels=200000
[bursty] burst 210: 18.36ms, total_kernels=210000
[bursty] burst 220: 18.35ms, total_kernels=220000
