[bursty] e4_burst_kpb500_idle90_N4_t2_c3 duration=90s kernels/burst=500 burst_int=100ms idle=90ms
[bursty] burst 10: 18.02ms, total_kernels=10000
[bursty] burst 20: 18.20ms, total_kernels=20000
[bursty] burst 30: 18.10ms, total_kernels=30000
[bursty] burst 40: 18.06ms, total_kernels=40000
[bursty] burst 50: 18.07ms, total_kernels=50000
[bursty] burst 60: 18.22ms, total_kernels=60000
[bursty] burst 70: 17.97ms, total_kernels=70000
[bursty] burst 80: 17.83ms, total_kernels=80000
[bursty] burst 90: 18.40ms, total_kernels=90000
[bursty] burst 100: 18.10ms, total_kernels=100000
[bursty] burst 110: 18.14ms, total_kernels=110000
[bursty] burst 120: 18.17ms, total_kernels=120000
[bursty] burst 130: 18.37ms, total_kernels=130000
[bursty] burst 140: 17.56ms, total_kernels=140000
[bursty] burst 150: 17.62ms, total_kernels=150000
[bursty] burst 160: 17.56ms, total_kernels=160000
[bursty] burst 170: 18.56ms, total_kernels=170000
[bursty] burst 180: 18.83ms, total_kernels=180000
[bursty] burst 190: 18.19ms, total_kernels=190000
[bursty] burst 200: 18.12ms, total_kernels=200000
[bursty] burst 210: 18.01ms, total_kernels=210000
[bursty] burst 220: 18.07ms, total_kernels=220000
