[bursty] e4_burst_kpb1000_idle90_N4_t2_c4 duration=90s kernels/burst=1000 burst_int=100ms idle=90ms
[bursty] burst 10: 34.92ms, total_kernels=20000
[bursty] burst 20: 37.00ms, total_kernels=40000
[bursty] burst 30: 35.07ms, total_kernels=60000
[bursty] burst 40: 35.08ms, total_kernels=80000
[bursty] burst 50: 34.70ms, total_kernels=100000
[bursty] burst 60: 35.11ms, total_kernels=120000
[bursty] burst 70: 35.12ms, total_kernels=140000
[bursty] burst 80: 35.02ms, total_kernels=160000
[bursty] burst 90: 34.35ms, total_kernels=180000
[bursty] burst 100: 34.53ms, total_kernels=200000
[bursty] burst 110: 34.30ms, total_kernels=220000
[bursty] burst 120: 34.76ms, total_kernels=240000
[bursty] burst 130: 35.10ms, total_kernels=260000
[bursty] burst 140: 35.14ms, total_kernels=280000
[bursty] burst 150: 34.75ms, total_kernels=300000
[bursty] burst 160: 34.52ms, total_kernels=320000
[bursty] burst 170: 34.90ms, total_kernels=340000
[bursty] burst 180: 34.56ms, total_kernels=360000
