[bursty] e4_steady_N4_t1_c4 duration=90s kernels/burst=100 burst_int=100ms idle=0ms
[bursty] burst 1210: 3.38ms, total_kernels=242000
[bursty] burst 1220: 3.38ms, total_kernels=244000
[bursty] burst 1230: 3.38ms, total_kernels=246000
[bursty] burst 1240: 3.39ms, total_kernels=248000
[bursty] burst 1250: 3.38ms, total_kernels=250000
[bursty] burst 1260: 3.38ms, total_kernels=252000
[bursty] burst 1270: 3.37ms, total_kernels=254000
[bursty] burst 1280: 3.38ms, total_kernels=256000
[bursty] burst 1290: 3.38ms, total_kernels=258000
[bursty] burst 1300: 3.38ms, total_kernels=260000
[bursty] burst 1310: 3.38ms, total_kernels=262000
[bursty] burst 1320: 3.39ms, total_kernels=264000
[bursty] burst 1330: 3.37ms, total_kernels=266000
[bursty] burst 1340: 3.36ms, total_kernels=268000
[bursty] burst 1350: 3.36ms, total_kernels=270000
[bursty] burst 1360: 3.37ms, total_kernels=272000
[bursty] burst 1370: 3.36ms, total_kernels=274000
[bursty] burst 1380: 3.37ms, total_kernels=276000
[bursty] burst 1390: 3.40ms, total_kernels=278000
[bursty] burst 1400: 3.38ms, total_kernels=280000
[bursty] burst 1410: 3.38ms, total_kernels=282000
[bursty] burst 1420: 3.38ms, total_kernels=284000
[bursty] burst 1430: 3.37ms, total_kernels=286000
[bursty] burst 1440: 3.39ms, total_kernels=288000
[bursty] burst 1450: 3.35ms, total_kernels=290000
[bursty] burst 1460: 3.38ms, total_kernels=292000
[bursty] burst 1470: 3.38ms, total_kernels=294000
[bursty] burst 1480: 3.37ms, total_kernels=296000
[bursty] burst 1490: 3.37ms, total_kernels=298000
[bursty] burst 1500: 3.39ms, total_kernels=300000
[bursty] burst 1510: 3.39ms, total_kernels=302000
[bursty] burst 1520: 3.38ms, total_kernels=304000
[bursty] burst 1530: 3.40ms, total_kernels=306000
[bursty] burst 1540: 3.40ms, total_kernels=308000
[bursty] burst 1550: 3.36ms, total_kernels=310000
[bursty] burst 1560: 3.38ms, total_kernels=312000
[bursty] burst 1570: 3.37ms, total_kernels=314000
[bursty] burst 1580: 3.37ms, total_kernels=316000
[bursty] burst 1590: 3.38ms, total_kernels=318000
[bursty] burst 1600: 3.38ms, total_kernels=320000
[bursty] burst 1610: 3.40ms, total_kernels=322000
[bursty] burst 1620: 3.37ms, total_kernels=324000
[bursty] burst 1630: 3.38ms, total_kernels=326000
[bursty] burst 1640: 3.37ms, total_kernels=328000
[bursty] burst 1650: 3.39ms, total_kernels=330000
[bursty] burst 1660: 3.38ms, total_kernels=332000
[bursty] burst 1670: 3.38ms, total_kernels=334000
[bursty] burst 1680: 3.38ms, total_kernels=336000
[bursty] burst 1690: 3.38ms, total_kernels=338000
[bursty] burst 1700: 3.39ms, total_kernels=340000
[bursty] burst 1710: 3.39ms, total_kernels=342000
[bursty] burst 1720: 3.39ms, total_kernels=344000
[bursty] burst 1730: 3.38ms, total_kernels=346000
[bursty] burst 1740: 3.38ms, total_kernels=348000
[bursty] burst 1750: 3.37ms, total_kernels=350000
[bursty] burst 1760: 3.38ms, total_kernels=352000
[bursty] burst 1770: 3.37ms, total_kernels=354000
[bursty] burst 1780: 3.40ms, total_kernels=356000
[bursty] burst 1790: 3.38ms, total_kernels=358000
[bursty] burst 1800: 3.40ms, total_kernels=360000
[bursty] burst 1810: 3.38ms, total_kernels=362000
[bursty] burst 1820: 3.37ms, total_kernels=364000
[bursty] burst 1830: 3.38ms, total_kernels=366000
[bursty] burst 1840: 3.40ms, total_kernels=368000
[bursty] burst 1850: 3.37ms, total_kernels=370000
[bursty] burst 1860: 3.39ms, total_kernels=372000
[bursty] burst 1870: 3.39ms, total_kernels=374000
[bursty] burst 1880: 3.38ms, total_kernels=376000
[bursty] burst 1890: 3.38ms, total_kernels=378000
[bursty] burst 1900: 3.38ms, total_kernels=380000
[bursty] burst 1910: 3.37ms, total_kernels=382000
[bursty] burst 1920: 3.37ms, total_kernels=384000
[bursty] burst 1930: 3.38ms, total_kernels=386000
[bursty] burst 1940: 3.36ms, total_kernels=388000
[bursty] burst 1950: 3.38ms, total_kernels=390000
[bursty] burst 1960: 3.37ms, total_kernels=392000
[bursty] burst 1970: 3.37ms, total_kernels=394000
[bursty] burst 1980: 3.37ms, total_kernels=396000
[bursty] burst 1990: 3.39ms, total_kernels=398000
[bursty] burst 2000: 3.37ms, total_kernels=400000
[bursty] burst 2010: 3.38ms, total_kernels=402000
[bursty] burst 2020: 3.38ms, total_kernels=404000
[bursty] burst 2030: 3.37ms, total_kernels=406000
[bursty] burst 2040: 3.37ms, total_kernels=408000
[bursty] burst 2050: 3.38ms, total_kernels=410000
[bursty] burst 2060: 3.37ms, total_kernels=412000
[bursty] burst 2070: 3.38ms, total_kernels=414000
[bursty] burst 2080: 3.40ms, total_kernels=416000
[bursty] burst 2090: 3.39ms, total_kernels=418000
[bursty] burst 2100: 3.37ms, total_kernels=420000
[bursty] burst 2110: 3.37ms, total_kernels=422000
[bursty] burst 2120: 3.40ms, total_kernels=424000
[bursty] burst 2130: 3.38ms, total_kernels=426000
[bursty] burst 2140: 3.40ms, total_kernels=428000
[bursty] burst 2150: 3.38ms, total_kernels=430000
[bursty] burst 2160: 3.39ms, total_kernels=432000
[bursty] burst 2170: 3.39ms, total_kernels=434000
[bursty] burst 2180: 3.39ms, total_kernels=436000
[bursty] burst 2190: 3.37ms, total_kernels=438000
