[bursty] e4_burst_kpb500_idle90_N6_t1_c2 duration=90s kernels/burst=500 burst_int=100ms idle=90ms
[bursty] burst 10: 19.15ms, total_kernels=10000
[bursty] burst 20: 17.24ms, total_kernels=20000
[bursty] burst 30: 16.77ms, total_kernels=30000
[bursty] burst 40: 20.32ms, total_kernels=40000
[bursty] burst 50: 17.08ms, total_kernels=50000
[bursty] burst 60: 17.28ms, total_kernels=60000
[bursty] burst 70: 17.16ms, total_kernels=70000
[bursty] burst 80: 16.79ms, total_kernels=80000
[bursty] burst 90: 17.10ms, total_kernels=90000
[bursty] burst 100: 16.60ms, total_kernels=100000
[bursty] burst 110: 17.09ms, total_kernels=110000
[bursty] burst 120: 17.62ms, total_kernels=120000
[bursty] burst 130: 17.25ms, total_kernels=130000
[bursty] burst 140: 16.95ms, total_kernels=140000
[bursty] burst 150: 16.75ms, total_kernels=150000
[bursty] burst 160: 16.50ms, total_kernels=160000
[bursty] burst 170: 17.12ms, total_kernels=170000
[bursty] burst 180: 16.73ms, total_kernels=180000
[bursty] burst 190: 16.48ms, total_kernels=190000
[bursty] burst 200: 18.62ms, total_kernels=200000
[bursty] burst 210: 16.50ms, total_kernels=210000
[bursty] burst 220: 17.05ms, total_kernels=220000
[bursty] burst 230: 16.84ms, total_kernels=230000
