[bursty] e4_burst_kpb500_idle90_N6_t2_c4 duration=90s kernels/burst=500 burst_int=100ms idle=90ms
[bursty] burst 10: 18.00ms, total_kernels=10000
[bursty] burst 20: 17.29ms, total_kernels=20000
[bursty] burst 30: 17.63ms, total_kernels=30000
[bursty] burst 40: 17.37ms, total_kernels=40000
[bursty] burst 50: 17.35ms, total_kernels=50000
[bursty] burst 60: 17.38ms, total_kernels=60000
[bursty] burst 70: 17.71ms, total_kernels=70000
[bursty] burst 80: 17.40ms, total_kernels=80000
[bursty] burst 90: 17.43ms, total_kernels=90000
[bursty] burst 100: 17.78ms, total_kernels=100000
[bursty] burst 110: 17.53ms, total_kernels=110000
[bursty] burst 120: 17.70ms, total_kernels=120000
[bursty] burst 130: 17.34ms, total_kernels=130000
[bursty] burst 140: 17.48ms, total_kernels=140000
[bursty] burst 150: 17.23ms, total_kernels=150000
[bursty] burst 160: 18.28ms, total_kernels=160000
[bursty] burst 170: 18.44ms, total_kernels=170000
[bursty] burst 180: 19.31ms, total_kernels=180000
[bursty] burst 190: 19.94ms, total_kernels=190000
[bursty] burst 200: 17.01ms, total_kernels=200000
[bursty] burst 210: 17.12ms, total_kernels=210000
[bursty] burst 220: 17.71ms, total_kernels=220000
