scenario,n_runs,n_kernels,med_dur_us,p99_dur_us,med_gap_us,p95_gap_us,p99_gap_us,p999_gap_us,max_gap_us,idle_pct,burst_share_top1,longtail_p99_p50,longtail_p999_p99
D0_3gL1_alone,3,15376.00,5.79,280.45,1.28,278.29,977.59,994.48,113996.22,79.40,0.48,763.74,1.06
D1_3gL1_memcpy_8MB,3,15376.00,5.95,280.45,1.28,307.75,976.34,1780.71,114358.10,80.00,0.45,762.77,1.82
D2_3gL1_memcpy_64MB,3,15376.00,5.95,280.03,1.25,292.19,863.04,1645.05,106071.62,78.85,0.45,691.54,1.91
D3_3gL1_compute_only,3,15376.00,5.71,280.29,1.28,264.90,811.97,1623.12,117507.97,80.95,0.48,634.35,2.00
D4_3gL1_launch_storm,3,15376.00,5.66,280.25,1.28,280.69,941.73,1217.44,117592.48,79.59,0.47,735.73,1.24
D5_3gL1_chanpred_full,3,15376.00,5.66,280.12,1.28,273.37,939.47,954.18,116601.79,79.03,0.45,733.96,1.02
