#Entity         GRACT        SMACT        SMOCC        TENSO        DRAMA        FP64A        FP32A        FP16A        
ID                                                                                                                      
GPU 0           0.060        0.000        0.000        0.000        0.011        0.000        0.000        0.000        
GPU 1           0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        
GPU 2           0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        
GPU 3           0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        
GPU 0           0.060        0.000        0.000        0.000        0.011        0.000        0.000        0.000        
GPU 1           0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        
GPU 2           0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        
GPU 3           0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        
GPU 0           0.087        0.000        0.000        0.000        0.018        0.000        0.001        0.000        
GPU 1           0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        
GPU 2           0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        
GPU 3           0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        
GPU 0           0.099        0.074        0.006        0.012        0.020        0.000        0.000        0.000        
GPU 1           0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        
GPU 2           0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        
GPU 3           0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        
GPU 0           0.099        0.074        0.006        0.012        0.020        0.000        0.000        0.000        
GPU 1           0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        
GPU 2           0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        
GPU 3           0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        
GPU 0           0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        
GPU 1           0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        
GPU 2           0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        
GPU 3           0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        
GPU 0           0.019        0.000        0.000        0.000        0.007        0.000        0.001        0.000        
GPU 1           0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        
GPU 2           0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        
GPU 3           0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        
GPU 0           0.019        0.000        0.000        0.000        0.007        0.000        0.001        0.000        
GPU 1           0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        
