condition,transition,count,p50_gap_us,p99_gap_us,max_gap_ms,mean_mem_us_inside,mean_mem_fraction
L1 2g + GEMM/sat-compute,copy_complex64 -> copy_float32,6,73245.3,73996.4,74.0,0.0,0.0%
L1 2g + GEMM/sat-compute,convert_kernel -> convert_kernel,6,70211.2,71672.7,71.7,22.6,0.0%
L1 2g + GEMM/sat-compute,convert_kernel -> noise_intf_est,4,979.3,1530.8,1.5,105.1,11.8%
L1 2g + GEMM/sat-compute,convert_kernel -> ch_est_pre,1920,1271.4,1413.8,3.2,1219.5,93.7%
L1 2g + GEMM/sat-compute,copy_complex64 -> convert_kernel,5,521.1,967.2,1.0,0.0,0.0%
L1 4g + NeuralRx,convert_kernel -> copy_complex64,3,113031.7,116313.3,116.3,9.6,0.0%
L1 4g + NeuralRx,convert_kernel -> copy_float16,3,76024.9,76284.1,76.3,0.0,0.0%
L1 4g + NeuralRx,ch_est_filter -> copy_complex64,3,75003.7,75478.7,75.5,0.0,0.0%
L1 4g + NeuralRx,copy_complex64 -> copy_float32,6,73334.7,74658.4,74.7,0.0,0.0%
L1 4g + NeuralRx,convert_kernel -> convert_kernel,6,69264.0,71533.5,71.5,30.2,0.0%
L1 4g + NeuralRx,copy_complex64 -> convert_kernel,5,679.9,2228.0,2.2,0.0,0.0%
L1 4g + NeuralRx,convert_kernel -> eq_coef,2,1088.2,1088.2,1.1,70.3,9.0%
L1 4g + NeuralRx,convert_kernel -> ch_est_pre,1920,698.4,1047.8,2.2,686.3,89.2%
L1 4g + NeuralRx,convert_kernel -> noise_intf_est,6,567.3,863.9,0.9,244.2,39.3%
L1 4g + NeuralRx,copy_complex64 -> copy_complex64,1,585.4,585.4,0.6,0.0,0.0%
L1 4g + 2 synthetic stressors,convert_kernel -> copy_complex64,3,115417.5,118716.6,118.7,10.0,0.0%
L1 4g + 2 synthetic stressors,convert_kernel -> noise_intf_est,18,2883.5,93942.0,93.9,78.3,3.4%
L1 4g + 2 synthetic stressors,ch_est_filter -> copy_complex64,3,75577.7,78647.0,78.6,0.0,0.0%
L1 4g + 2 synthetic stressors,convert_kernel -> copy_float16,3,74643.6,74646.8,74.6,0.0,0.0%
L1 4g + 2 synthetic stressors,copy_complex64 -> copy_float32,6,71673.8,73797.0,73.8,0.0,0.0%
L1 4g + 2 synthetic stressors,convert_kernel -> convert_kernel,6,70160.9,72182.3,72.2,31.6,0.0%
L1 4g + 2 synthetic stressors,convert_kernel -> eq_coef,18,1605.3,21865.5,21.9,40.3,2.9%
L1 4g + 2 synthetic stressors,copy_complex64 -> convert_kernel,29,1757.6,13862.9,13.9,0.0,0.0%
L1 4g + 2 synthetic stressors,copy_float32 -> convert_kernel,16,2407.6,6659.1,6.7,0.0,0.0%
L1 4g + 2 synthetic stressors,convert_kernel -> ch_est_pre,1920,690.9,1022.5,36.4,671.5,88.6%
L1 4g + 2 synthetic stressors,noise_intf_est -> copy_complex64,1,929.1,929.1,0.9,0.0,0.0%
L1 4g + 2 synthetic stressors,copy_complex64 -> copy_complex64,1,621.4,621.4,0.6,0.0,0.0%
L1 2g + NeuralRx,convert_kernel -> copy_complex64,3,114329.5,120785.3,120.8,10.2,0.0%
L1 2g + NeuralRx,copy_complex64 -> copy_float32,6,71390.0,96404.4,96.4,0.0,0.0%
L1 2g + NeuralRx,convert_kernel -> noise_intf_est,49,1413.6,89846.4,89.8,158.1,15.9%
L1 2g + NeuralRx,convert_kernel -> copy_float16,3,78331.3,80624.4,80.6,0.0,0.0%
L1 2g + NeuralRx,ch_est_filter -> copy_complex64,3,73825.2,75069.2,75.1,0.0,0.0%
L1 2g + NeuralRx,convert_kernel -> convert_kernel,6,70548.9,71824.5,71.8,30.5,0.0%
L1 2g + NeuralRx,convert_kernel -> eq_coef,37,1314.2,38075.1,38.1,54.4,6.6%
L1 2g + NeuralRx,copy_complex64 -> convert_kernel,51,1213.8,6058.2,6.1,0.0,0.0%
L1 2g + NeuralRx,copy_float32 -> convert_kernel,37,1272.0,6034.5,6.0,0.0,0.0%
L1 2g + NeuralRx,convert_kernel -> ch_est_pre,1920,1281.3,2422.6,67.0,1271.6,92.9%
L1 2g + NeuralRx,copy_complex64 -> copy_complex64,1,603.7,603.7,0.6,0.0,0.0%
L1 3g + 2 synthetic stressors,convert_kernel -> copy_complex64,3,114924.7,115297.5,115.3,9.6,0.0%
L1 3g + 2 synthetic stressors,convert_kernel -> copy_float16,3,76218.3,77303.4,77.3,0.0,0.0%
L1 3g + 2 synthetic stressors,ch_est_filter -> copy_complex64,3,75302.7,75452.8,75.5,0.0,0.0%
L1 3g + 2 synthetic stressors,copy_complex64 -> copy_float32,7,73934.2,74176.9,74.2,0.0,0.0%
L1 3g + 2 synthetic stressors,convert_kernel -> convert_kernel,6,69612.1,70531.8,70.5,24.4,0.0%
L1 3g + 2 synthetic stressors,copy_float32 -> convert_kernel,25,1213.8,39340.9,39.3,0.0,0.0%
L1 3g + 2 synthetic stressors,convert_kernel -> eq_coef,20,1320.1,39183.2,39.2,17.7,1.4%
L1 3g + 2 synthetic stressors,convert_kernel -> noise_intf_est,25,1534.6,20322.7,20.3,59.4,5.0%
L1 3g + 2 synthetic stressors,copy_complex64 -> convert_kernel,31,1347.8,6269.7,6.3,0.0,0.0%
L1 3g + 2 synthetic stressors,convert_kernel -> ch_est_pre,1920,682.2,1194.1,74.2,632.5,88.4%
L1 3g + 2 synthetic stressors,noise_intf_est -> copy_complex64,1,703.2,703.2,0.7,0.0,0.0%
L1 4g + 3 synthetic stressors,convert_kernel -> copy_complex64,3,116681.8,117920.5,117.9,10.8,0.0%
L1 4g + 3 synthetic stressors,copy_complex64 -> copy_float32,7,69294.3,95752.4,95.8,0.0,0.0%
L1 4g + 3 synthetic stressors,convert_kernel -> noise_intf_est,37,1614.9,90414.5,90.4,68.2,5.4%
L1 4g + 3 synthetic stressors,convert_kernel -> eq_coef,38,1945.1,75086.4,75.1,27.6,2.0%
L1 4g + 3 synthetic stressors,ch_est_filter -> copy_complex64,3,73646.9,74893.8,74.9,0.0,0.0%
L1 4g + 3 synthetic stressors,convert_kernel -> copy_float16,3,74375.2,74717.2,74.7,0.0,0.0%
L1 4g + 3 synthetic stressors,convert_kernel -> convert_kernel,6,68960.2,70409.7,70.4,31.9,0.0%
L1 4g + 3 synthetic stressors,copy_complex64 -> convert_kernel,76,1757.5,40682.4,40.7,0.0,0.0%
L1 4g + 3 synthetic stressors,copy_float32 -> convert_kernel,34,1474.1,39230.8,39.2,0.0,0.0%
L1 4g + 3 synthetic stressors,convert_kernel -> ch_est_pre,1920,695.0,2025.4,37.2,673.0,87.9%
L1 4g + 3 synthetic stressors,copy_complex64 -> copy_complex64,3,913.8,1987.6,2.0,0.0,0.0%
L1 4g + 3 synthetic stressors,copy_float32 -> copy_complex64,2,1227.3,1227.3,1.2,2.1,0.2%
L1 3g + ChanPred,convert_kernel -> copy_complex64,3,116489.0,118903.5,118.9,9.7,0.0%
L1 3g + ChanPred,copy_complex64 -> convert_kernel,31,1923.4,89982.8,90.0,0.0,0.0%
L1 3g + ChanPred,convert_kernel -> copy_float16,3,75354.3,78649.1,78.6,0.0,0.0%
L1 3g + ChanPred,ch_est_filter -> copy_complex64,3,75438.4,76218.0,76.2,0.0,0.0%
L1 3g + ChanPred,copy_complex64 -> copy_float32,6,73606.9,74009.4,74.0,0.0,0.0%
L1 3g + ChanPred,convert_kernel -> convert_kernel,6,70351.6,72067.6,72.1,26.7,0.0%
L1 3g + ChanPred,convert_kernel -> eq_coef,14,1777.0,5311.3,5.3,18.2,1.2%
L1 3g + ChanPred,copy_float32 -> convert_kernel,15,1950.5,4617.9,4.6,0.0,0.0%
L1 3g + ChanPred,convert_kernel -> noise_intf_est,16,1507.4,3859.1,3.9,62.1,4.7%
L1 3g + ChanPred,noise_intf_est -> copy_complex64,1,994.5,994.5,1.0,0.0,0.0%
L1 3g + ChanPred,convert_kernel -> ch_est_pre,1920,689.2,891.9,87.1,635.7,88.0%
L1 3g + ChanPred,copy_float32 -> copy_complex64,1,623.9,623.9,0.6,0.0,0.0%
