condition,transition,count,p50_gap_us,p99_gap_us,max_gap_ms,mean_mem_us_inside,mean_mem_fraction
L1 3g + Qwen,convert_kernel -> copy_float16,3,73876.1,75706.9,75.7,0.0,0.0%
L1 3g + Qwen,convert_kernel -> eq_coef,17,2527.6,75058.4,75.1,53.6,2.6%
L1 3g + Qwen,copy_complex64 -> copy_float32,6,70760.1,73490.4,73.5,0.0,0.0%
L1 3g + Qwen,convert_kernel -> convert_kernel,6,68656.8,70848.9,70.8,38.9,0.1%
L1 3g + Qwen,copy_float32 -> convert_kernel,15,1965.6,38416.0,38.4,0.0,0.0%
L1 3g + Qwen,copy_complex64 -> convert_kernel,32,1556.3,6068.1,6.1,0.0,0.0%
L1 3g + Qwen,convert_kernel -> ch_est_pre,1920,816.4,1074.1,3.8,722.9,89.1%
L1 3g + Qwen,eq_coef -> eq_softdemap,1,803.4,803.4,0.8,0.0,0.0%
L1 3g + Qwen,copy_float32 -> copy_complex64,1,638.6,638.6,0.6,1.8,0.3%
L1 3g + NeuralRx,convert_kernel -> copy_complex64,3,109402.1,109969.6,110.0,10.0,0.0%
L1 3g + NeuralRx,copy_complex64 -> convert_kernel,58,1377.3,76266.6,76.3,0.0,0.0%
L1 3g + NeuralRx,ch_est_filter -> copy_complex64,3,73877.8,73992.3,74.0,0.0,0.0%
L1 3g + NeuralRx,convert_kernel -> copy_float16,3,72311.1,72618.2,72.6,0.0,0.0%
L1 3g + NeuralRx,copy_complex64 -> copy_float32,6,70640.6,72177.0,72.2,0.0,0.0%
L1 3g + NeuralRx,convert_kernel -> convert_kernel,6,69468.3,70854.0,70.9,41.0,0.1%
L1 3g + NeuralRx,convert_kernel -> noise_intf_est,36,1387.5,69276.6,69.3,119.2,13.2%
L1 3g + NeuralRx,convert_kernel -> eq_coef,36,1380.1,62632.5,62.6,92.6,10.0%
L1 3g + NeuralRx,copy_float32 -> convert_kernel,33,1318.5,4067.8,4.1,0.0,0.0%
L1 3g + NeuralRx,convert_kernel -> ch_est_pre,1920,851.5,2051.7,37.8,791.9,89.4%
L1 3g + NeuralRx,copy_complex64 -> copy_complex64,3,591.8,757.7,0.8,0.0,0.0%
L1 3g + 3 AI on 1g slices,convert_kernel -> copy_complex64,3,108619.6,110723.8,110.7,11.0,0.0%
L1 3g + 3 AI on 1g slices,convert_kernel -> eq_coef,36,1422.3,90597.2,90.6,19.8,1.5%
L1 3g + 3 AI on 1g slices,copy_complex64 -> copy_float32,6,70805.6,87672.1,87.7,0.0,0.0%
L1 3g + 3 AI on 1g slices,convert_kernel -> copy_float16,3,77426.9,78203.2,78.2,0.0,0.0%
L1 3g + 3 AI on 1g slices,ch_est_filter -> copy_complex64,3,71547.1,72111.6,72.1,0.0,0.0%
L1 3g + 3 AI on 1g slices,convert_kernel -> convert_kernel,6,68739.4,69779.9,69.8,26.9,0.0%
L1 3g + 3 AI on 1g slices,convert_kernel -> noise_intf_est,43,1600.3,68092.2,68.1,61.3,4.7%
L1 3g + 3 AI on 1g slices,copy_complex64 -> convert_kernel,63,1410.4,37097.9,37.1,0.0,0.0%
L1 3g + 3 AI on 1g slices,copy_float32 -> convert_kernel,41,1412.5,10782.0,10.8,0.0,0.0%
L1 3g + 3 AI on 1g slices,copy_complex64 -> copy_complex64,1,6090.5,6090.5,6.1,0.0,0.0%
L1 3g + 3 AI on 1g slices,convert_kernel -> ch_est_pre,1920,691.0,2073.4,37.3,638.2,87.9%
